  7112.000   26  1  1  2.7113397E-02 -4.0751477E+00 -1.1814480E+00  1  1  7.2659529E+03  0.0000000E+00  0.0000000E+00  3.5592420E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  7.1027206E-05
   7097.20  1.0604593E-04
   7097.40  1.9961055E-04
   7097.60  6.4908439E-04
   7097.80  6.3114153E-03
   7098.00  2.4893030E-03
   7098.20  3.7350812E-04
   7098.40  1.7603721E-04
   7098.60  2.9507897E-03
   7098.80  9.5740324E-05
   7099.00  5.6025177E-05
   7099.20  4.3601136E-05
   7099.40  3.7057167E-05
   7099.60  3.3005625E-05
   7099.80  3.0312156E-05
   7100.00  2.8463384E-05
   7100.20  2.7244010E-05
   7100.40  2.6999139E-05
   7100.60  2.5872548E-04
   7100.80  2.5903372E-05
   7101.00  2.4803229E-05
   7101.20  2.4601587E-05
   7101.40  2.4851522E-05
   7101.60  2.6046863E-05
   7101.80  3.2456631E-05
   7102.00  1.6959095E-03
   7102.20  4.6316827E-05
   7102.40  3.5193027E-05
   7102.60  2.7934475E-05
   7102.80  8.7373480E-05
   7103.00  3.2488600E-05
   7103.20  2.7217781E-05
   7103.40  1.4319352E-04
   7103.60  2.8067306E-05
   7103.80  2.9239222E-05
   7104.00  3.1544870E-05
   7104.20  3.6144728E-05
   7104.40  4.9707663E-05
   7104.60  2.5453087E-04
   7104.80  1.8065286E-04
   7105.00  6.3004508E-04
   7105.20  3.0641849E-04
   7105.40  6.3955979E-03
   7105.60  1.4396280E-04
   7105.80  5.9887940E-05
   7106.00  5.2255568E-05
   7106.20  1.2903742E-04
   7106.40  7.6061507E-05
   7106.60  6.5311040E-05
   7106.80  8.4133059E-05
   7107.00  2.0146271E-04
   7107.20  4.7846164E-04
   7107.40  2.5476566E-04
   7107.60  1.0751840E-03
   7107.80  1.0288346E-03
   7108.00  1.1577579E-03
   7108.20  2.2245085E-04
   7108.40  2.1541191E-02
   7108.60  4.2718783E-02
   7108.80  7.0043272E-03
   7109.00  2.1212164E-02
   7109.20  1.7015149E-02
   7109.40  1.5072938E-02
   7109.60  1.0081508E-02
   7109.80  1.2295322E-02
   7110.00  6.8045791E-03
   7110.20  8.0874926E-03
   7110.40  1.0454793E-02
   7110.60  7.1973476E-03
   7110.80  5.3114630E-03
   7111.00  8.1797650E-03
   7111.20  1.8107870E-02
   7111.40  2.3192408E-02
   7111.60  1.8231074E-02
   7111.80  1.1946491E-02
   7112.00  1.1497954E-02
   7112.20  8.0322585E-03
   7112.40  5.5520228E-03
   7112.60  4.3923025E-03
   7112.80  3.7397999E-03
   7113.00  3.3283387E-03
   7113.20  3.0611757E-03
   7113.40  2.8885834E-03
   7113.60  2.7804836E-03
   7113.80  2.7024812E-03
   7114.00  2.6815325E-03
   7114.20  2.7096979E-03
   7114.40  2.7822640E-03
   7114.60  2.9169121E-03
   7114.80  3.0813482E-03
   7115.00  3.2692073E-03
   7115.20  3.4914473E-03
