  7112.000   26  1  1  1.0724028E-02 -1.1628151E+00 -4.8812205E-01  1  1  7.2650069E+03  0.0000000E+00  0.0000000E+00  2.4108040E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9136443E-03
   7097.20  1.3045211E-03
   7097.40  1.8108929E-04
   7097.60  7.9459484E-05
   7097.80  5.0666976E-05
   7098.00  3.8681724E-05
   7098.20  3.2607868E-05
   7098.40  2.9156947E-05
   7098.60  2.7066012E-05
   7098.80  2.5774253E-05
   7099.00  2.5015038E-05
   7099.20  2.4670990E-05
   7099.40  2.4724961E-05
   7099.60  2.5271840E-05
   7099.80  2.6614057E-05
   7100.00  2.9609896E-05
   7100.20  3.7190310E-05
   7100.40  6.4784932E-05
   7100.60  3.9387827E-04
   7100.80  4.4160121E-04
   7101.00  6.6923721E-05
   7101.20  3.8120432E-05
   7101.40  3.0568724E-05
   7101.60  2.7910919E-05
   7101.80  2.7236891E-05
   7102.00  2.8071311E-05
   7102.20  3.1620622E-05
   7102.40  4.8038832E-05
   7102.60  1.3660295E-03
   7102.80  7.5381750E-05
   7103.00  1.0383329E-04
   7103.20  2.8472194E-03
   7103.40  6.9486992E-05
   7103.60  3.8911602E-05
   7103.80  3.3572686E-05
   7104.00  3.4118790E-05
   7104.20  4.4208499E-05
   7104.40  4.5270051E-04
   7104.60  6.8350531E-05
   7104.80  4.0482455E-05
   7105.00  3.9895889E-05
   7105.20  4.5173491E-05
   7105.40  6.0231461E-05
   7105.60  1.4114591E-04
   7105.80  9.2877626E-04
   7106.00  4.2421721E-04
   7106.20  1.1848677E-03
   7106.40  4.6880422E-04
   7106.60  4.9577055E-03
   7106.80  2.0370553E-04
   7107.00  9.4879076E-05
   7107.20  7.2743698E-05
   7107.40  6.9120431E-05
   7107.60  7.7184062E-05
   7107.80  3.6463732E-04
   7108.00  1.5096619E-03
   7108.20  1.8198386E-04
   7108.40  8.9787504E-04
   7108.60  9.5732412E-04
   7108.80  7.1088400E-03
   7109.00  5.3518595E-04
   7109.20  2.7278580E-03
   7109.40  1.4370979E-03
   7109.60  4.0123283E-03
   7109.80  1.1621800E-02
   7110.00  1.4622743E-02
   7110.20  9.6267129E-03
   7110.40  7.5207066E-03
   7110.60  1.2393606E-03
   7110.80  8.2608082E-04
   7111.00  7.8442857E-02
   7111.20  6.0193522E-04
