  7112.000   26  1  1  1.1283373E-02 -3.2693667E+00 -6.4391487E-01  1  1  7.2652463E+03  0.0000000E+00  0.0000000E+00  3.5540972E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  9.1662464E-04
   7097.20  1.4608426E-04
   7097.40  7.2091463E-05
   7097.60  5.0396754E-05
   7097.80  4.1550967E-05
   7098.00  3.7644199E-05
   7098.20  3.6448038E-05
   7098.40  3.7604813E-05
   7098.60  4.2391874E-05
   7098.80  5.7029309E-05
   7099.00  1.2716757E-04
   7099.20  1.0460242E-02
   7099.40  3.4885741E-04
   7099.60  6.4851312E-04
   7099.80  8.3277887E-05
   7100.00  5.0606148E-05
   7100.20  4.3421464E-05
   7100.40  4.4486180E-05
   7100.60  5.7105201E-05
   7100.80  1.4380478E-04
   7101.00  5.5173637E-03
   7101.20  1.0427952E-04
   7101.40  5.6662146E-05
   7101.60  5.1715834E-05
   7101.80  6.0948663E-05
   7102.00  1.0777808E-04
   7102.20  1.2353874E-03
   7102.40  3.5220341E-04
   7102.60  1.7522820E-02
   7102.80  1.6804075E-04
   7103.00  1.4419916E-04
   7103.20  7.9485606E-05
   7103.40  9.3429282E-05
   7103.60  1.5783602E-04
   7103.80  8.1746470E-04
   7104.00  9.1843903E-03
   7104.20  3.1634263E-04
   7104.40  1.9543342E-04
   7104.60  3.8872617E-04
   7104.80  6.8469711E-03
   7105.00  8.5072923E-04
   7105.20  1.5953622E-03
   7105.40  1.0234584E-01
   7105.60  1.2437993E-03
   7105.80  3.9675157E-03
   7106.00  3.6112961E-04
   7106.20  5.8006650E-04
   7106.40  2.7012397E-03
   7106.60  3.1608052E-03
   7106.80  2.8309232E-04
   7107.00  5.2189964E-04
   7107.20  3.5363504E-03
   7107.40  6.7576856E-03
   7107.60  2.5107974E-03
   7107.80  1.0950928E-02
   7108.00  4.1995923E-03
   7108.20  1.6820063E-03
   7108.40  3.7567688E-02
   7108.60  5.9053501E-04
   7108.80  4.1416457E-02
   7109.00  1.2512169E-03
   7109.20  1.0582897E-02
   7109.40  5.2361814E-02
   7109.60  1.8427653E-02
   7109.80  8.1522842E-03
   7110.00  5.4211859E-03
   7110.20  1.3969952E-02
   7110.40  2.1911140E-02
   7110.60  1.0906453E-02
   7110.80  9.4813497E-03
   7111.00  1.4243100E-02
   7111.20  1.4554680E-02
   7111.40  3.0780729E-02
   7111.60  6.4149952E-02
   7111.80  4.3134409E-02
   7112.00  2.8161806E-02
   7112.20  2.3188714E-02
   7112.40  1.7697965E-02
   7112.60  1.6604078E-02
   7112.80  1.4133591E-02
   7113.00  8.9731883E-03
   7113.20  5.3547734E-03
   7113.40  3.4511056E-03
   7113.60  2.6628653E-03
   7113.80  2.8917669E-03
   7114.00  7.3737280E-03
   7114.20  7.9783629E-03
   7114.40  2.3689523E-03
   7114.60  1.7338009E-03
   7114.80  1.8321670E-03
   7115.00  2.5499256E-03
   7115.20  4.8515133E-03
   7115.40  4.3237919E-03
   7115.60  2.1104704E-03
   7115.80  1.6631030E-03
   7116.00  1.4110682E-03
   7116.20  1.2050945E-03
   7116.40  1.0421608E-03
   7116.60  9.1910989E-04
   7116.80  8.2908532E-04
   7117.00  7.6565593E-04
   7117.20  7.2415732E-04
   7117.40  7.0161472E-04
   7117.60  6.9604981E-04
   7117.80  7.0527313E-04
   7118.00  7.2578345E-04
   7118.20  7.5275890E-04
   7118.40  7.7972863E-04
   7118.60  7.9851332E-04
   7118.80  8.0393907E-04
   7119.00  7.9798378E-04
   7119.20  7.8749922E-04
   7119.40  7.8018390E-04
   7119.60  7.8216887E-04
   7119.80  7.9661491E-04
   7120.00  8.2699484E-04
   7120.20  8.7379921E-04
   7120.40  9.3860655E-04
   7120.60  1.0238013E-03
   7120.80  1.1330457E-03
   7121.00  1.2716330E-03
   7121.20  1.4460163E-03
   7121.40  1.6596044E-03
   7121.60  1.9005396E-03
   7121.80  2.1394241E-03
   7122.00  2.3729765E-03
   7122.20  2.6440885E-03
   7122.40  2.9618634E-03
   7122.60  3.3473867E-03
   7122.80  3.8097020E-03
   7123.00  4.3684141E-03
   7123.20  5.0409423E-03
   7123.40  5.8147886E-03
   7123.60  6.6868916E-03
   7123.80  7.6080923E-03
   7124.00  8.6193620E-03
   7124.20  9.7397916E-03
   7124.40  1.1075667E-02
   7124.60  1.2626422E-02
   7124.80  1.4346350E-02
   7125.00  1.6202879E-02
   7125.20  1.8399274E-02
   7125.40  2.1367409E-02
   7125.60  2.5588198E-02
   7125.80  3.0895758E-02
   7126.00  3.5328178E-02
   7126.20  3.6318991E-02
   7126.40  3.5513078E-02
   7126.60  3.4787997E-02
   7126.80  3.4318014E-02
   7127.00  3.4170143E-02
   7127.20  3.3925646E-02
   7127.40  3.3321471E-02
   7127.60  3.2379621E-02
   7127.80  3.1266873E-02
   7128.00  3.0012352E-02
   7128.20  2.8684790E-02
   7128.40  2.7591896E-02
   7128.60  2.7176245E-02
   7128.80  2.7749653E-02
   7129.00  2.9479365E-02
   7129.20  3.2470064E-02
   7129.40  3.6710263E-02
   7129.60  4.1923897E-02
   7129.80  4.7503957E-02
   7130.00  5.2750498E-02
   7130.20  5.7266955E-02
   7130.40  6.0922506E-02
   7130.60  6.3497471E-02
   7130.80  6.4685348E-02
   7131.00  6.4418240E-02
   7131.20  6.3012828E-02
   7131.40  6.0996417E-02
   7131.60  5.8853839E-02
   7131.80  5.6901282E-02
   7132.00  5.5286467E-02
   7132.20  5.4038887E-02
   7132.40  5.3119051E-02
   7132.60  5.2452191E-02
   7132.80  5.1950426E-02
   7133.00  5.1529956E-02
   7133.20  5.1130861E-02
   7133.40  5.0741293E-02
   7133.60  5.0401784E-02
   7133.80  5.0118827E-02
   7134.00  4.9832641E-02
   7134.20  4.9652986E-02
   7134.40  4.9687607E-02
   7134.60  4.9821154E-02
   7134.80  4.9932487E-02
   7135.00  5.0057720E-02
   7135.20  5.0259766E-02
   7135.40  5.0546997E-02
   7135.60  5.0893799E-02
   7135.80  5.1268314E-02
   7136.00  5.1643278E-02
   7136.20  5.1997684E-02
   7136.40  5.2315913E-02
   7136.60  5.2586050E-02
   7136.80  5.2798725E-02
   7137.00  5.2946472E-02
   7137.20  5.3023473E-02
   7137.40  5.3025674E-02
   7137.60  5.2950195E-02
   7137.80  5.2795468E-02
   7138.00  5.2563470E-02
   7138.20  5.2257638E-02
   7138.40  5.1883282E-02
   7138.60  5.1447581E-02
   7138.80  5.0958885E-02
   7139.00  5.0426741E-02
   7139.20  4.9860532E-02
   7139.40  4.9269650E-02
   7139.60  4.8662778E-02
   7139.80  4.8047395E-02
   7140.00  4.7429873E-02
   7140.20  4.6815271E-02
   7140.40  4.6207366E-02
   7140.60  4.5608748E-02
   7140.80  4.5021460E-02
   7141.00  4.4446525E-02
   7141.20  4.3884594E-02
   7141.40  4.3336172E-02
   7141.60  4.2810069E-02
   7141.80  4.2298843E-02
   7142.00  4.1800738E-02
   7142.20  4.1316391E-02
   7142.40  4.0846675E-02
   7142.60  4.0393040E-02
   7142.80  3.9957248E-02
   7143.00  3.9541346E-02
   7143.20  3.9147763E-02
   7143.40  3.8779184E-02
   7143.60  3.8438505E-02
   7143.80  3.8128704E-02
   7144.00  3.7852656E-02
   7144.20  3.7613049E-02
   7144.40  3.7412337E-02
   7144.60  3.7225475E-02
   7144.80  3.7111085E-02
   7145.00  3.7041062E-02
   7145.20  3.7016064E-02
   7145.40  3.7036183E-02
   7145.60  3.7100817E-02
   7145.80  3.7208634E-02
   7146.00  3.7357525E-02
   7146.20  3.7544589E-02
   7146.40  3.7765907E-02
   7146.60  3.8016740E-02
   7146.80  3.8291425E-02
   7147.00  3.8583513E-02
   7147.20  3.8885864E-02
   7147.40  3.9190637E-02
   7147.60  3.9489814E-02
   7147.80  3.9775445E-02
   7148.00  4.0039817E-02
   7148.20  4.0276101E-02
   7148.40  4.0478604E-02
   7148.60  4.0644877E-02
   7148.80  4.0766994E-02
   7149.00  4.0847138E-02
   7149.20  4.0875911E-02
   7149.40  4.0866950E-02
   7149.60  4.0822460E-02
   7149.80  4.0743934E-02
   7150.00  4.0633844E-02
   7150.20  4.0493457E-02
   7150.40  4.0323781E-02
   7150.60  4.0125679E-02
   7150.80  3.9899422E-02
   7151.00  3.9645136E-02
   7151.20  3.9362054E-02
   7151.40  3.9037521E-02
   7151.60  3.8694134E-02
   7151.80  3.8319353E-02
   7152.00  3.7912304E-02
   7152.20  3.7467074E-02
   7152.40  3.6993971E-02
   7152.60  3.6480884E-02
   7152.80  3.5941104E-02
   7153.00  3.5370578E-02
   7153.20  3.4770278E-02
   7153.40  3.4141892E-02
   7153.60  3.3487690E-02
   7153.80  3.2810290E-02
   7154.00  3.2112818E-02
   7154.20  3.1398346E-02
   7154.40  3.0669340E-02
   7154.60  2.9928667E-02
   7154.80  2.9178703E-02
   7155.00  2.8422268E-02
   7155.20  2.7662762E-02
   7155.40  2.6903097E-02
