  7112.000   26  1  1  1.0703864E-02 -2.7159515E+00 -7.8160177E-01  1  1  7.2654516E+03  0.0000000E+00  0.0000000E+00  2.7259810E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.0099664E-04
   7097.20  5.9635017E-05
   7097.40  4.4748409E-05
   7097.60  3.7772252E-05
   7097.80  3.4067284E-05
   7098.00  3.2030957E-05
   7098.20  3.1013222E-05
   7098.40  3.0748918E-05
   7098.60  3.1185462E-05
   7098.80  3.2451177E-05
   7099.00  3.4944234E-05
   7099.20  3.9648656E-05
   7099.40  4.9208010E-05
   7099.60  7.2550855E-05
   7099.80  1.5719101E-04
   7100.00  1.5887735E-03
   7100.20  1.2708435E-03
   7100.40  1.6211374E-04
   7100.60  7.8485727E-05
   7100.80  6.0058861E-05
   7101.00  6.7344273E-05
   7101.20  2.8795824E-04
   7101.40  2.0599863E-04
   7101.60  6.7926664E-05
   7101.80  7.3584049E-05
   7102.00  1.8109386E-04
   7102.20  4.3826515E-03
   7102.40  1.9370748E-04
   7102.60  9.7711327E-05
   7102.80  6.7881842E-04
   7103.00  5.9161644E-05
   7103.20  4.7970769E-05
   7103.40  4.6904583E-05
   7103.60  4.8989759E-05
   7103.80  5.3559939E-05
   7104.00  6.1451479E-05
   7104.20  7.5451247E-05
   7104.40  1.0483535E-04
   7104.60  2.1474659E-04
   7104.80  7.4760740E-04
   7105.00  1.5672310E-03
   7105.20  2.1905060E-02
   7105.40  1.5954939E-03
   7105.60  1.9360938E-02
   7105.80  7.0945223E-04
   7106.00  6.4804622E-02
   7106.20  1.1030035E-03
   7106.40  4.9800237E-04
   7106.60  3.9471795E-04
   7106.80  4.3598883E-04
   7107.00  1.5721143E-03
   7107.20  2.1166090E-02
   7107.40  1.8973768E-03
   7107.60  2.0099438E-03
   7107.80  1.9963412E-03
   7108.00  9.5499740E-02
   7108.20  1.1067943E-03
   7108.40  5.2576343E-04
   7108.60  1.4433136E-03
   7108.80  2.6369872E-02
   7109.00  2.4761039E-03
   7109.20  1.6180157E-03
   7109.40  2.3547964E-03
   7109.60  2.3555254E-03
   7109.80  2.7153802E-03
   7110.00  1.3013932E-02
   7110.20  4.9165349E-02
   7110.40  1.2808398E-02
   7110.60  8.2702417E-03
   7110.80  1.7141936E-02
   7111.00  1.9359709E-02
   7111.20  1.4226178E-02
   7111.40  1.8014640E-02
   7111.60  4.0226059E-02
   7111.80  6.3753067E-02
   7112.00  4.2166782E-02
   7112.20  3.4747905E-02
   7112.40  1.4966297E-02
   7112.60  8.6172791E-03
   7112.80  6.0191612E-03
   7113.00  4.7424892E-03
   7113.20  4.1208776E-03
   7113.40  4.0313301E-03
   7113.60  4.9084426E-03
   7113.80  1.0043510E-02
   7114.00  1.0970178E-02
   7114.20  2.9719448E-03
   7114.40  1.9335965E-03
   7114.60  1.7642042E-03
   7114.80  2.2744698E-03
   7115.00  6.2267285E-03
   7115.20  3.5454280E-03
   7115.40  1.4688696E-03
   7115.60  1.1030281E-03
   7115.80  1.0317855E-03
   7116.00  1.0618543E-03
   7116.20  1.1356624E-03
   7116.40  1.2074232E-03
   7116.60  1.2313070E-03
   7116.80  1.1878968E-03
   7117.00  1.0978964E-03
   7117.20  9.9665654E-04
   7117.40  9.0778816E-04
   7117.60  8.3955248E-04
   7117.80  7.9177748E-04
   7118.00  7.6203869E-04
   7118.20  7.4877971E-04
   7118.40  7.5196405E-04
   7118.60  7.7269592E-04
   7118.80  8.1251924E-04
   7119.00  8.7275667E-04
   7119.20  9.5303717E-04
   7119.40  1.0499848E-03
   7119.60  1.1566494E-03
   7119.80  1.2641027E-03
   7120.00  1.3653250E-03
   7120.20  1.4585984E-03
   7120.40  1.5472157E-03
   7120.60  1.6361140E-03
   7120.80  1.7292314E-03
   7121.00  1.8299881E-03
   7121.20  1.9433414E-03
   7121.40  2.0764465E-03
   7121.60  2.2369643E-03
   7121.80  2.4312303E-03
   7122.00  2.6640870E-03
   7122.20  2.9398680E-03
   7122.40  3.2639480E-03
   7122.60  3.6459921E-03
   7122.80  4.0961979E-03
   7123.00  4.6449690E-03
