  7112.000   26  1  1  2.0214222E-02 -3.5614941E+00 -2.4252575E+00  1  1  7.2663535E+03  0.0000000E+00  0.0000000E+00  3.1737461E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.1228836E-05
   7097.20  2.1197600E-05
   7097.40  2.1232893E-05
   7097.60  2.1329216E-05
   7097.80  2.1486632E-05
   7098.00  2.1711742E-05
   7098.20  2.2018070E-05
   7098.40  2.2428934E-05
   7098.60  2.2984894E-05
   7098.80  2.3756842E-05
   7099.00  2.4877303E-05
   7099.20  2.6617004E-05
   7099.40  2.9605573E-05
   7099.60  3.5612181E-05
   7099.80  5.1416951E-05
   7100.00  1.2585314E-04
   7100.20  9.7288921E-03
   7100.40  2.6037177E-04
   7100.60  9.2080090E-05
   7100.80  4.8746144E-05
   7101.00  6.8652751E-05
   7101.20  1.0821088E-03
   7101.40  6.5028952E-05
   7101.60  8.0773832E-05
   7101.80  4.5172496E-04
   7102.00  1.4057665E-03
   7102.20  1.4255761E-04
   7102.40  3.1499573E-03
   7102.60  1.9287681E-04
   7102.80  1.6765338E-04
   7103.00  3.0598797E-04
   7103.20  4.7915201E-04
   7103.40  4.8862495E-04
   7103.60  1.0552687E-04
   7103.80  6.0660817E-04
   7104.00  4.2473991E-04
   7104.20  4.3161566E-04
   7104.40  3.5084204E-03
   7104.60  2.2299985E-04
   7104.80  4.2632083E-04
   7105.00  2.8586142E-03
   7105.20  1.7283336E-04
   7105.40  2.0545590E-03
   7105.60  6.0866646E-04
   7105.80  3.0499665E-04
   7106.00  4.7218799E-04
   7106.20  1.1065813E-03
   7106.40  5.3171874E-02
   7106.60  2.3519267E-03
   7106.80  3.7063235E-04
   7107.00  3.1083976E-04
   7107.20  3.7191067E-03
   7107.40  2.4954542E-04
   7107.60  2.4388128E-03
   7107.80  4.8212781E-04
   7108.00  7.6032246E-04
   7108.20  2.1940404E-03
   7108.40  4.4140901E-03
   7108.60  4.4512182E-03
   7108.80  4.2172224E-02
   7109.00  1.3579274E-03
   7109.20  1.0596981E-02
   7109.40  9.1319673E-03
   7109.60  1.4677738E-02
   7109.80  1.3043117E-02
   7110.00  6.7375551E-03
   7110.20  9.8789744E-03
   7110.40  2.3325887E-02
   7110.60  4.1244661E-02
   7110.80  4.1364522E-02
   7111.00  5.5766405E-02
   7111.20  2.5652310E-02
   7111.40  1.2273118E-02
   7111.60  1.1256634E-02
   7111.80  1.0092293E-02
   7112.00  1.1390337E-02
   7112.20  2.3114257E-02
   7112.40  4.9547249E-02
   7112.60  7.1622875E-02
   7112.80  4.3410586E-02
   7113.00  3.3748972E-02
   7113.20  3.0097966E-02
   7113.40  2.5442612E-02
   7113.60  2.0402910E-02
   7113.80  1.6744008E-02
   7114.00  1.4676149E-02
   7114.20  1.3310472E-02
   7114.40  1.1872583E-02
   7114.60  1.0822820E-02
   7114.80  1.0341698E-02
   7115.00  1.1146924E-02
   7115.20  1.4251620E-02
   7115.40  1.9344241E-02
   7115.60  1.9830902E-02
   7115.80  1.6121782E-02
   7116.00  1.2676475E-02
   7116.20  1.0415591E-02
   7116.40  9.0218010E-03
   7116.60  8.2050566E-03
   7116.80  7.8277060E-03
   7117.00  7.8780233E-03
   7117.20  8.3986821E-03
   7117.40  9.0502977E-03
   7117.60  8.8687945E-03
   7117.80  8.2489362E-03
   7118.00  7.7992812E-03
   7118.20  7.4684470E-03
   7118.40  7.1775238E-03
   7118.60  6.9306912E-03
   7118.80  6.8023977E-03
   7119.00  6.8282364E-03
   7119.20  7.0194348E-03
   7119.40  7.3722117E-03
   7119.60  7.8006109E-03
