  7112.000   26  1  1  2.1214018E-02 -4.4832344E+00 -2.7278345E+00  1  1  7.2669503E+03  0.0000000E+00  0.0000000E+00  3.6478887E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9262916E-05
   7097.20  1.9389660E-05
   7097.40  1.9553669E-05
   7097.60  1.9769828E-05
   7097.80  2.0063663E-05
   7098.00  2.0481939E-05
   7098.20  2.1119920E-05
   7098.40  2.2198520E-05
   7098.60  2.4339104E-05
   7098.80  2.9922953E-05
   7099.00  5.5996791E-05
   7099.20  2.9796006E-03
   7099.40  7.8105747E-05
   7099.60  3.4639777E-05
   7099.80  2.9302314E-05
   7100.00  3.3734071E-05
   7100.20  5.8536834E-04
   7100.40  5.2645061E-05
   7100.60  7.2486210E-05
   7100.80  7.2767324E-05
   7101.00  3.2640455E-05
   7101.20  3.2499211E-05
   7101.40  4.0407820E-05
   7101.60  8.4785966E-05
   7101.80  1.4004438E-02
   7102.00  9.6682741E-05
   7102.20  6.9743113E-05
   7102.40  1.4482727E-03
   7102.60  1.4785032E-03
   7102.80  1.6762853E-04
   7103.00  2.3782774E-04
   7103.20  5.7491585E-05
   7103.40  6.0821498E-05
   7103.60  2.8826913E-04
   7103.80  1.7939637E-04
   7104.00  6.8866525E-05
   7104.20  1.0605583E-04
   7104.40  1.9611120E-02
   7104.60  1.3752746E-04
   7104.80  1.0307779E-03
   7105.00  2.2471644E-04
   7105.20  3.3492404E-04
   7105.40  9.3796134E-04
   7105.60  2.4590969E-04
   7105.80  6.0242119E-04
   7106.00  3.2840834E-04
   7106.20  4.0882943E-02
   7106.40  1.1781907E-03
   7106.60  2.7636111E-04
   7106.80  4.1913221E-04
   7107.00  1.5427006E-02
   7107.20  5.0429302E-03
   7107.40  4.9505642E-04
   7107.60  2.5207309E-03
   7107.80  4.6026496E-04
   7108.00  9.2058855E-04
   7108.20  3.2484959E-03
   7108.40  6.7716194E-03
   7108.60  5.5441681E-03
   7108.80  7.1649534E-03
   7109.00  6.9766719E-03
   7109.20  5.8765568E-03
   7109.40  6.2764740E-03
   7109.60  7.7727863E-03
   7109.80  7.5370501E-03
   7110.00  6.5190947E-03
   7110.20  8.6593146E-03
   7110.40  1.3213560E-02
   7110.60  1.4366100E-02
   7110.80  1.6525910E-02
   7111.00  1.9127629E-02
   7111.20  2.3149684E-02
   7111.40  3.9535504E-02
   7111.60  9.3401582E-02
   7111.80  7.6550943E-02
   7112.00  6.1132809E-02
   7112.20  8.5193939E-02
   7112.40  9.5453759E-02
   7112.60  5.5043598E-02
   7112.80  3.0463762E-02
   7113.00  1.9653343E-02
   7113.20  1.4158114E-02
   7113.40  1.0678934E-02
   7113.60  8.0755930E-03
   7113.80  6.4159334E-03
   7114.00  5.2738470E-03
   7114.20  4.5098232E-03
   7114.40  4.0157383E-03
   7114.60  3.7201371E-03
   7114.80  3.5925668E-03
   7115.00  3.6534234E-03
   7115.20  3.9315655E-03
   7115.40  4.1931551E-03
   7115.60  4.1434304E-03
   7115.80  4.0484980E-03
   7116.00  4.0623239E-03
   7116.20  4.1220779E-03
   7116.40  4.1508290E-03
   7116.60  4.1354127E-03
   7116.80  4.1486731E-03
   7117.00  4.1897298E-03
   7117.20  4.2597298E-03
   7117.40  4.5241964E-03
   7117.60  4.6517621E-03
   7117.80  4.8190050E-03
   7118.00  5.0612687E-03
   7118.20  5.5547905E-03
   7118.40  6.5265568E-03
   7118.60  8.3687404E-03
   7118.80  9.9376896E-03
   7119.00  9.5320248E-03
   7119.20  8.6157306E-03
   7119.40  7.2363611E-03
   7119.60  5.7118641E-03
   7119.80  4.8279194E-03
   7120.00  4.5794982E-03
   7120.20  4.7072805E-03
   7120.40  5.0341935E-03
   7120.60  5.5815090E-03
   7120.80  6.4118769E-03
   7121.00  7.2270072E-03
   7121.20  7.1536590E-03
   7121.40  6.5128188E-03
   7121.60  6.3671708E-03
   7121.80  6.6104317E-03
   7122.00  6.9758993E-03
   7122.20  7.3660121E-03
   7122.40  7.7479151E-03
   7122.60  8.1217172E-03
   7122.80  8.5183228E-03
   7123.00  8.9734648E-03
   7123.20  9.4678758E-03
   7123.40  9.9591681E-03
   7123.60  1.0432940E-02
   7123.80  1.0901348E-02
   7124.00  1.1419324E-02
   7124.20  1.2003258E-02
   7124.40  1.2708558E-02
   7124.60  1.3612803E-02
   7124.80  1.4757091E-02
   7125.00  1.6153860E-02
   7125.20  1.7753134E-02
   7125.40  1.9439539E-02
   7125.60  2.0772391E-02
   7125.80  2.1488007E-02
   7126.00  2.1419532E-02
   7126.20  2.0638287E-02
   7126.40  1.9396435E-02
   7126.60  1.8009032E-02
   7126.80  1.6728565E-02
   7127.00  1.5693290E-02
   7127.20  1.4896491E-02
   7127.40  1.4368510E-02
   7127.60  1.4096490E-02
   7127.80  1.4043821E-02
   7128.00  1.4145105E-02
   7128.20  1.4317856E-02
   7128.40  1.4492034E-02
   7128.60  1.4634821E-02
   7128.80  1.4758276E-02
   7129.00  1.4909284E-02
   7129.20  1.5147455E-02
   7129.40  1.5523536E-02
   7129.60  1.6066513E-02
   7129.80  1.6778492E-02
   7130.00  1.7631895E-02
   7130.20  1.8570976E-02
   7130.40  1.9528770E-02
   7130.60  2.0460271E-02
   7130.80  2.1369054E-02
   7131.00  2.2302550E-02
   7131.20  2.3318954E-02
   7131.40  2.4455134E-02
   7131.60  2.5716413E-02
   7131.80  2.7082565E-02
   7132.00  2.8522911E-02
   7132.20  3.0015732E-02
   7132.40  3.1560177E-02
   7132.60  3.3172756E-02
   7132.80  3.4873406E-02
   7133.00  3.6673087E-02
   7133.20  3.8570426E-02
   7133.40  4.0549727E-02
   7133.60  4.2581103E-02
   7133.80  4.4625911E-02
   7134.00  4.6639861E-02
   7134.20  4.8506941E-02
   7134.40  4.9977630E-02
   7134.60  5.0672217E-02
   7134.80  5.0323599E-02
   7135.00  4.8947361E-02
   7135.20  4.6880941E-02
   7135.40  4.4542058E-02
   7135.60  4.2239641E-02
   7135.80  4.0135669E-02
   7136.00  3.8289018E-02
   7136.20  3.6703270E-02
   7136.40  3.5357966E-02
   7136.60  3.4225002E-02
   7136.80  3.3277448E-02
   7137.00  3.2493907E-02
   7137.20  3.1860500E-02
   7137.40  3.1370899E-02
   7137.60  3.1022936E-02
   7137.80  3.0814268E-02
   7138.00  3.0737902E-02
   7138.20  3.0779229E-02
   7138.40  3.0916196E-02
   7138.60  3.1121008E-02
   7138.80  3.1362800E-02
   7139.00  3.1613858E-02
   7139.20  3.1852048E-02
   7139.40  3.2062616E-02
   7139.60  3.2238659E-02
   7139.80  3.2380081E-02
   7140.00  3.2491937E-02
   7140.20  3.2582737E-02
   7140.40  3.2662636E-02
   7140.60  3.2742083E-02
   7140.80  3.2830718E-02
   7141.00  3.2954119E-02
   7141.20  3.3102526E-02
   7141.40  3.3272162E-02
   7141.60  3.3458433E-02
   7141.80  3.3651271E-02
   7142.00  3.3836398E-02
   7142.20  3.3997396E-02
   7142.40  3.4120323E-02
   7142.60  3.4196674E-02
   7142.80  3.4225356E-02
   7143.00  3.4212102E-02
   7143.20  3.4166742E-02
   7143.40  3.4100830E-02
   7143.60  3.4025832E-02
   7143.80  3.3951757E-02
   7144.00  3.3886956E-02
   7144.20  3.3838707E-02
   7144.40  3.3813454E-02
   7144.60  3.3816757E-02
   7144.80  3.3854082E-02
   7145.00  3.3930484E-02
   7145.20  3.4050693E-02
   7145.40  3.4219076E-02
   7145.60  3.4439653E-02
   7145.80  3.4716227E-02
