  7112.000   26  1  1  2.1214018E-02 -4.1988973E+00 -2.6532427E+00  1  1  7.2664163E+03  0.0000000E+00  0.0000000E+00  3.6380460E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.0371130E-05
   7097.20  2.0520019E-05
   7097.40  2.0704383E-05
   7097.60  2.0935876E-05
   7097.80  2.1232800E-05
   7098.00  2.1626371E-05
   7098.20  2.2173523E-05
   7098.40  2.2987283E-05
   7098.60  2.4324696E-05
   7098.80  2.6884891E-05
   7099.00  3.3202845E-05
   7099.20  5.9261508E-05
   7099.40  9.2209968E-04
   7099.60  1.3053610E-04
   7099.80  4.3782673E-05
   7100.00  3.4084097E-05
   7100.20  3.5254589E-05
   7100.40  6.2744907E-05
   7100.60  1.1487662E-03
   7100.80  6.7729223E-05
   7101.00  2.4722484E-04
   7101.20  4.0392276E-05
   7101.40  3.9360974E-05
   7101.60  5.0758329E-05
   7101.80  1.1495622E-04
   7102.00  2.0077448E-03
   7102.20  1.7292130E-04
   7102.40  6.2796985E-04
   7102.60  9.5976006E-04
   7102.80  3.0460844E-03
   7103.00  2.2629714E-04
   7103.20  8.0669167E-05
   7103.40  1.0770705E-04
   7103.60  2.0457159E-03
   7103.80  6.0170100E-04
   7104.00  1.0036209E-04
   7104.20  9.7847226E-05
   7104.40  3.4502135E-04
   7104.60  2.4917676E-03
   7104.80  1.3954719E-04
   7105.00  5.3587710E-04
   7105.20  6.2768009E-03
   7105.40  5.9080038E-04
   7105.60  3.6414088E-03
   7105.80  5.0812187E-04
   7106.00  5.2712711E-04
   7106.20  2.5289570E-03
   7106.40  6.3555755E-02
   7106.60  7.0496383E-04
   7106.80  2.6290494E-04
   7107.00  1.0861767E-03
   7107.20  1.7682658E-04
   7107.40  3.3942314E-04
   7107.60  1.8896703E-03
   7107.80  5.3993327E-03
   7108.00  6.8402668E-03
   7108.20  7.0645106E-03
   7108.40  2.0036906E-02
   7108.60  1.1916293E-02
   7108.80  1.0160721E-02
   7109.00  1.5659525E-02
   7109.20  6.6375874E-03
   7109.40  1.1148058E-02
   7109.60  1.2180649E-02
   7109.80  1.0479837E-02
   7110.00  7.7185207E-03
   7110.20  8.1523609E-03
   7110.40  1.2806097E-02
   7110.60  1.4242979E-02
   7110.80  1.7221982E-02
   7111.00  1.8935177E-02
   7111.20  2.4492868E-02
   7111.40  3.1555974E-02
   7111.60  6.2056117E-02
   7111.80  9.2336254E-02
   7112.00  8.3418583E-02
   7112.20  7.4101678E-02
   7112.40  6.5929674E-02
   7112.60  6.0814671E-02
   7112.80  5.6657625E-02
   7113.00  4.8122938E-02
   7113.20  4.7325413E-02
   7113.40  3.9493839E-02
   7113.60  2.4576649E-02
   7113.80  1.5681614E-02
   7114.00  1.1431102E-02
   7114.20  8.9619203E-03
   7114.40  7.4482745E-03
   7114.60  6.3832319E-03
   7114.80  5.7718308E-03
   7115.00  5.3716791E-03
   7115.20  5.1261673E-03
   7115.40  5.0075128E-03
   7115.60  5.0047091E-03
   7115.80  5.1200952E-03
   7116.00  5.3672104E-03
   7116.20  5.7187036E-03
   7116.40  5.9138412E-03
   7116.60  5.7203766E-03
   7116.80  5.5393089E-03
   7117.00  5.7062154E-03
   7117.20  6.3704639E-03
   7117.40  7.8066515E-03
   7117.60  9.5707272E-03
   7117.80  9.5011619E-03
   7118.00  8.6710399E-03
   7118.20  7.5237925E-03
   7118.40  7.1869176E-03
   7118.60  7.4936431E-03
   7118.80  8.0254807E-03
   7119.00  7.7814402E-03
   7119.20  6.8888831E-03
   7119.40  6.2132687E-03
   7119.60  6.2264714E-03
   7119.80  6.4356365E-03
   7120.00  6.1827066E-03
   7120.20  6.2037849E-03
   7120.40  6.6789790E-03
   7120.60  6.8310688E-03
   7120.80  6.7605966E-03
   7121.00  6.9039926E-03
   7121.20  7.2866457E-03
   7121.40  7.8493658E-03
   7121.60  8.5459217E-03
   7121.80  9.2918227E-03
   7122.00  9.7799093E-03
   7122.20  1.0111888E-02
   7122.40  1.0727790E-02
   7122.60  1.1608847E-02
   7122.80  1.2687407E-02
   7123.00  1.3933730E-02
   7123.20  1.5338470E-02
   7123.40  1.6874456E-02
   7123.60  1.8454531E-02
   7123.80  1.9949711E-02
   7124.00  2.1249247E-02
   7124.20  2.2304866E-02
   7124.40  2.3172578E-02
   7124.60  2.3915869E-02
   7124.80  2.4781710E-02
   7125.00  2.5978253E-02
   7125.20  2.7428795E-02
   7125.40  2.8539092E-02
   7125.60  2.8529685E-02
   7125.80  2.7233899E-02
   7126.00  2.5337877E-02
   7126.20  2.3487975E-02
   7126.40  2.1884301E-02
   7126.60  2.0545215E-02
   7126.80  1.9546779E-02
   7127.00  1.8970882E-02
   7127.20  1.8883342E-02
   7127.40  1.9203376E-02
   7127.60  1.9787661E-02
   7127.80  2.0484909E-02
   7128.00  2.1171612E-02
   7128.20  2.1799062E-02
   7128.40  2.2378393E-02
   7128.60  2.2988817E-02
   7128.80  2.3719947E-02
   7129.00  2.4646696E-02
   7129.20  2.5830508E-02
   7129.40  2.7322228E-02
   7129.60  2.9155145E-02
   7129.80  3.1325156E-02
   7130.00  3.3761912E-02
   7130.20  3.6309118E-02
   7130.40  3.8734817E-02
   7130.60  4.0794296E-02
   7130.80  4.2348366E-02
   7131.00  4.3453596E-02
   7131.20  4.4309003E-02
   7131.40  4.5114041E-02
   7131.60  4.5980589E-02
   7131.80  4.6934824E-02
   7132.00  4.7958152E-02
   7132.20  4.9019788E-02
