  7112.000   26  1  1  1.2928637E-02 -3.0311678E+00 -5.8153289E-01  1  1  7.2651944E+03  0.0000000E+00  0.0000000E+00  3.5561607E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.5725488E-05
   7097.20  2.5374634E-05
   7097.40  2.5312040E-05
   7097.60  2.5601184E-05
   7097.80  2.6441885E-05
   7098.00  2.8414151E-05
   7098.20  3.3574062E-05
   7098.40  5.4082384E-05
   7098.60  5.3664951E-04
   7098.80  1.4567867E-04
   7099.00  3.1652132E-03
   7099.20  5.7474605E-05
   7099.40  3.4961319E-05
   7099.60  3.1871823E-05
   7099.80  3.3729645E-05
   7100.00  4.4465699E-05
   7100.20  1.4301283E-04
   7100.40  4.2934487E-04
   7100.60  5.5976459E-05
   7100.80  4.0279240E-05
   7101.00  4.1223191E-05
   7101.20  5.4671481E-05
   7101.40  1.3602816E-04
   7101.60  3.2647093E-02
   7101.80  1.3607920E-04
   7102.00  9.3794906E-05
   7102.20  9.4595418E-05
   7102.40  5.3670266E-05
   7102.60  1.5027787E-04
   7102.80  6.4655604E-05
   7103.00  1.8422481E-04
   7103.20  4.8253628E-04
   7103.40  2.4931042E-04
   7103.60  9.0954464E-04
   7103.80  1.0370239E-04
   7104.00  7.7880626E-05
   7104.20  8.6967631E-05
   7104.40  1.2782550E-04
   7104.60  3.8561881E-04
   7104.80  2.4462516E-03
   7105.00  8.6526517E-04
   7105.20  1.2809244E-03
   7105.40  2.6481808E-03
   7105.60  2.4537197E-03
   7105.80  1.4854365E-03
   7106.00  1.3127833E-02
   7106.20  5.4641704E-04
   7106.40  5.5100091E-04
   7106.60  6.3709494E-04
   7106.80  4.3855153E-03
   7107.00  2.0888059E-03
   7107.20  8.4661395E-03
   7107.40  1.8427841E-03
   7107.60  5.6361513E-04
   7107.80  1.7399019E-03
   7108.00  8.9880048E-03
   7108.20  1.9880117E-03
   7108.40  3.0984530E-03
   7108.60  1.2246509E-02
   7108.80  3.1482307E-03
   7109.00  6.9280855E-03
   7109.20  2.8048431E-04
   7109.40  1.9396312E-02
   7109.60  2.2987424E-02
   7109.80  1.5465888E-02
   7110.00  1.2286987E-02
   7110.20  6.7141618E-03
   7110.40  5.4670260E-03
   7110.60  4.9257962E-03
   7110.80  9.0943540E-03
   7111.00  1.1577510E-02
   7111.20  4.7329632E-02
   7111.40  1.4210712E-02
   7111.60  3.1045789E-02
   7111.80  1.5823296E-02
   7112.00  1.6586129E-02
   7112.20  2.2674456E-02
   7112.40  1.9813838E-02
   7112.60  1.4804425E-02
   7112.80  1.5616085E-02
   7113.00  9.5639139E-03
   7113.20  7.1115906E-03
   7113.40  7.3158373E-03
   7113.60  7.0168565E-03
   7113.80  4.8224988E-03
   7114.00  3.4939562E-03
   7114.20  2.7758320E-03
   7114.40  2.3755398E-03
   7114.60  2.1866867E-03
   7114.80  2.3593066E-03
   7115.00  2.0407467E-03
   7115.20  1.6935568E-03
   7115.40  1.7189402E-03
   7115.60  2.1642817E-03
   7115.80  2.6474856E-03
   7116.00  2.2266558E-03
   7116.20  1.6984536E-03
   7116.40  1.4380107E-03
   7116.60  1.3500234E-03
   7116.80  1.3666363E-03
   7117.00  1.4585696E-03
   7117.20  1.6102070E-03
   7117.40  1.7941690E-03
   7117.60  1.9493670E-03
   7117.80  2.0088541E-03
   7118.00  1.9627354E-03
   7118.20  1.8662753E-03
   7118.40  1.7850834E-03
   7118.60  1.7528311E-03
   7118.80  1.7728884E-03
   7119.00  1.8388061E-03
   7119.20  1.9527072E-03
   7119.40  2.1331145E-03
   7119.60  2.4147430E-03
   7119.80  2.7953483E-03
   7120.00  3.0475508E-03
   7120.20  3.2569467E-03
   7120.40  3.5814948E-03
   7120.60  4.0124329E-03
   7120.80  4.5242884E-03
   7121.00  5.1134912E-03
   7121.20  5.7926679E-03
   7121.40  6.5913656E-03
   7121.60  7.5644066E-03
   7121.80  8.8254962E-03
   7122.00  1.0485039E-02
   7122.20  1.2753191E-02
   7122.40  1.5919857E-02
   7122.60  1.9751881E-02
   7122.80  2.3545247E-02
   7123.00  2.6155996E-02
   7123.20  2.7847266E-02
   7123.40  3.0108172E-02
   7123.60  3.3971853E-02
   7123.80  3.6298554E-02
   7124.00  3.7273532E-02
   7124.20  3.7779230E-02
   7124.40  3.7979520E-02
   7124.60  3.7858119E-02
   7124.80  3.6082506E-02
   7125.00  3.3315409E-02
   7125.20  3.3619855E-02
   7125.40  3.6195577E-02
   7125.60  3.8903159E-02
   7125.80  4.1202847E-02
   7126.00  4.2734900E-02
   7126.20  4.3599583E-02
   7126.40  4.4201808E-02
   7126.60  4.4646487E-02
   7126.80  4.4655256E-02
   7127.00  4.4099748E-02
   7127.20  4.3764399E-02
   7127.40  4.4966590E-02
   7127.60  4.7774386E-02
