  7112.000   26  1  1  4.3555576E-02 -2.5111665E+00 -2.7218222E+00  1  1  7.2665240E+03  0.0000000E+00  0.0000000E+00  2.4226434E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9473529E-05
   7097.20  1.9384424E-05
   7097.40  1.9418852E-05
   7097.60  1.9482908E-05
   7097.80  1.9566867E-05
   7098.00  1.9677504E-05
   7098.20  2.1075072E-05
   7098.40  2.0107662E-05
   7098.60  2.0084945E-05
   7098.80  2.0266247E-05
   7099.00  2.0487164E-05
   7099.20  2.0752430E-05
   7099.40  2.1074098E-05
   7099.60  2.1471116E-05
   7099.80  2.1973334E-05
   7100.00  2.2630024E-05
   7100.20  2.3528269E-05
   7100.40  2.4835422E-05
   7100.60  2.6912339E-05
   7100.80  3.0672887E-05
   7101.00  3.9079956E-05
   7101.20  6.7046941E-05
   7101.40  3.5554978E-04
   7101.60  5.7071991E-04
   7101.80  8.3028937E-05
   7102.00  6.5265110E-05
   7102.20  4.2865617E-04
   7102.40  1.0682564E-04
   7102.60  7.4419874E-05
   7102.80  1.9307290E-04
   7103.00  6.6858913E-03
   7103.20  1.3161050E-04
   7103.40  7.0485419E-05
   7103.60  9.3364266E-05
   7103.80  1.9176831E-03
   7104.00  1.4983391E-04
   7104.20  5.8770324E-05
   7104.40  4.8486323E-05
   7104.60  5.4436161E-05
   7104.80  1.4577178E-04
   7105.00  2.4006991E-04
   7105.20  2.5784129E-04
   7105.40  7.1928070E-05
   7105.60  8.9656848E-04
   7105.80  7.3989063E-05
   7106.00  8.8789688E-05
   7106.20  1.2791676E-04
   7106.40  1.2032707E-04
   7106.60  2.0399925E-04
   7106.80  8.2792117E-04
   7107.00  5.2994203E-03
   7107.20  3.0744878E-03
   7107.40  4.1241339E-04
   7107.60  1.0573839E-03
   7107.80  2.9878237E-04
   7108.00  9.8212369E-03
   7108.20  2.1661206E-03
   7108.40  7.0765314E-02
   7108.60  1.7862124E-02
   7108.80  1.3647627E-03
   7109.00  1.6237287E-03
   7109.20  7.4313410E-04
   7109.40  7.0389495E-02
   7109.60  4.2321962E-03
   7109.80  3.4104261E-03
   7110.00  5.3658525E-03
   7110.20  7.0440571E-03
   7110.40  1.5214517E-02
   7110.60  7.7912129E-03
   7110.80  4.2299939E-03
   7111.00  4.5591258E-03
   7111.20  7.8844450E-03
   7111.40  7.9853176E-03
   7111.60  7.0062727E-03
   7111.80  6.5999466E-03
   7112.00  7.3737882E-03
   7112.20  2.6111392E-02
   7112.40  1.9433264E-02
   7112.60  1.0120950E-02
   7112.80  1.3882066E-02
   7113.00  2.6797799E-02
   7113.20  4.7014790E-02
   7113.40  8.0272582E-02
   7113.60  1.0620939E-01
   7113.80  8.9748787E-02
   7114.00  5.9859758E-02
   7114.20  5.0955527E-02
   7114.40  3.8529219E-02
   7114.60  2.8260261E-02
   7114.80  2.2079185E-02
   7115.00  1.8364131E-02
   7115.20  1.5989435E-02
   7115.40  1.4387396E-02
   7115.60  1.3170482E-02
   7115.80  1.2267138E-02
   7116.00  1.1690510E-02
   7116.20  1.1373685E-02
   7116.40  1.1829511E-02
   7116.60  1.3006365E-02
   7116.80  1.4480347E-02
   7117.00  1.4798712E-02
   7117.20  1.3760620E-02
   7117.40  1.2863625E-02
   7117.60  1.2308566E-02
   7117.80  1.1375713E-02
   7118.00  1.0261949E-02
   7118.20  9.3030016E-03
   7118.40  8.5161436E-03
   7118.60  7.8485869E-03
   7118.80  7.2760351E-03
   7119.00  6.7927233E-03
   7119.20  6.3995490E-03
   7119.40  6.0829984E-03
   7119.60  5.8096797E-03
   7119.80  5.5860047E-03
   7120.00  5.4642248E-03
   7120.20  5.4296363E-03
   7120.40  5.4069791E-03
   7120.60  5.3589390E-03
   7120.80  5.3042699E-03
   7121.00  5.2725133E-03
   7121.20  5.2790205E-03
   7121.40  5.3423116E-03
   7121.60  5.4563389E-03
   7121.80  5.5950839E-03
   7122.00  5.7432986E-03
   7122.20  5.9000510E-03
   7122.40  6.0683716E-03
   7122.60  6.2532997E-03
   7122.80  6.4611663E-03
   7123.00  6.6984788E-03
   7123.20  6.9714417E-03
   7123.40  7.2850207E-03
   7123.60  7.6411953E-03
   7123.80  8.0361808E-03
   7124.00  8.4582232E-03
   7124.20  8.8897570E-03
   7124.40  9.3182022E-03
   7124.60  9.7500887E-03
   7124.80  1.0212769E-02
   7125.00  1.0738936E-02
   7125.20  1.1347059E-02
   7125.40  1.2028159E-02
   7125.60  1.2743797E-02
   7125.80  1.3443502E-02
   7126.00  1.4091804E-02
   7126.20  1.4707341E-02
   7126.40  1.5341117E-02
   7126.60  1.6072493E-02
   7126.80  1.6850023E-02
   7127.00  1.7727880E-02
   7127.20  1.8718324E-02
