  7112.000   26  1  1  1.0868726E-02 -2.3741460E+00 -7.5483222E-01  1  1  7.2652436E+03  0.0000000E+00  0.0000000E+00  3.4550030E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  5.5685855E-05
   7097.20  4.0263576E-05
   7097.40  3.3697300E-05
   7097.60  3.0336241E-05
   7097.80  2.8908321E-05
   7098.00  3.2938017E-05
   7098.20  3.8032347E-04
   7098.40  2.8591327E-05
   7098.60  2.5184844E-05
   7098.80  2.4585329E-05
   7099.00  2.8545909E-05
   7099.20  2.6358888E-05
   7099.40  2.3942500E-05
   7099.60  2.3818669E-05
   7099.80  2.3982314E-05
   7100.00  2.4322774E-05
   7100.20  2.4849219E-05
   7100.40  2.5616211E-05
   7100.60  2.6735215E-05
   7100.80  2.8433228E-05
   7101.00  3.1220336E-05
   7101.20  3.6515579E-05
   7101.40  5.0043486E-05
   7101.60  1.2937966E-04
   7101.80  1.0962103E-03
   7102.00  2.7669395E-04
   7102.20  1.4472317E-04
   7102.40  4.1944622E-04
   7102.60  7.9282511E-03
   7102.80  2.4862089E-04
   7103.00  4.4488097E-04
   7103.20  1.4052829E-04
   7103.40  3.0440199E-04
   7103.60  1.3668507E-04
   7103.80  8.0363670E-05
   7104.00  7.3311137E-04
   7104.20  7.9376502E-05
   7104.40  6.0579287E-05
   7104.60  8.1507590E-05
   7104.80  2.0393040E-04
   7105.00  8.5615811E-04
   7105.20  3.3815035E-04
   7105.40  1.1482311E-02
   7105.60  1.3000730E-03
   7105.80  1.5831445E-04
   7106.00  2.4415896E-03
   7106.20  1.2974564E-03
   7106.40  2.7881868E-03
   7106.60  1.4577555E-03
   7106.80  5.0333919E-02
   7107.00  2.9264482E-02
   7107.20  1.7199248E-03
   7107.40  4.6088388E-04
   7107.60  6.7227648E-04
   7107.80  1.2559080E-02
   7108.00  2.2787752E-02
   7108.20  3.5919897E-04
   7108.40  6.2628432E-04
   7108.60  2.3563070E-02
   7108.80  2.0098120E-02
   7109.00  1.4296707E-02
   7109.20  7.1621778E-03
   7109.40  3.9292368E-03
   7109.60  3.6630608E-03
   7109.80  2.5878856E-02
   7110.00  9.2615358E-03
   7110.20  3.4320195E-02
   7110.40  1.4828493E-02
   7110.60  9.5725085E-03
   7110.80  3.1095396E-02
   7111.00  3.0498194E-02
   7111.20  1.8402448E-02
   7111.40  1.3131938E-02
   7111.60  1.8998001E-02
   7111.80  9.8376326E-03
   7112.00  1.0191264E-02
   7112.20  1.1705063E-02
   7112.40  1.8621410E-02
   7112.60  3.1744437E-02
