  7112.000   26  1  1  3.2325476E-02 -2.5667020E+00 -2.4034488E+00  1  1  7.2665704E+03  0.0000000E+00  0.0000000E+00  2.5774410E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  3.3405096E-05
   7097.20  4.1117901E-05
   7097.40  5.9454504E-05
   7097.60  1.2586288E-04
   7097.80  1.0159824E-03
   7098.00  7.9398157E-04
   7098.20  1.2130421E-04
   7098.40  6.4508970E-05
   7098.60  5.1575150E-05
   7098.80  5.1198406E-05
   7099.00  6.2003918E-05
   7099.20  1.0938667E-04
   7099.40  9.5018807E-04
   7099.60  3.8625821E-04
   7099.80  1.8357095E-04
   7100.00  1.6011572E-03
   7100.20  4.3910148E-04
   7100.40  2.0089280E-04
   7100.60  5.3210609E-04
   7100.80  7.4942297E-02
   7101.00  4.8609022E-04
   7101.20  5.9897165E-04
   7101.40  1.5615408E-04
   7101.60  2.4563981E-04
   7101.80  2.1849769E-02
   7102.00  2.0222512E-04
   7102.20  2.7611177E-04
   7102.40  2.3946967E-04
   7102.60  7.8061486E-05
   7102.80  8.3949705E-05
   7103.00  3.4172519E-03
   7103.20  4.3487158E-04
   7103.40  7.9246168E-05
   7103.60  6.0554569E-05
   7103.80  6.2236177E-05
   7104.00  8.5699841E-05
   7104.20  4.3458061E-03
   7104.40  1.2596745E-04
   7104.60  2.5808704E-03
   7104.80  1.8432423E-04
   7105.00  8.4336345E-04
   7105.20  9.0351477E-04
   7105.40  1.3372594E-02
   7105.60  2.2460486E-03
   7105.80  4.3978352E-04
   7106.00  3.1636488E-04
   7106.20  6.6949885E-04
   7106.40  3.4181947E-03
   7106.60  5.0462162E-04
   7106.80  2.6842061E-04
   7107.00  6.4075896E-04
   7107.20  2.0280878E-04
   7107.40  1.1756338E-02
   7107.60  3.4321129E-02
   7107.80  4.8129064E-04
   7108.00  2.6589222E-02
   7108.20  1.6125744E-02
   7108.40  1.4016688E-03
   7108.60  1.3624076E-03
   7108.80  1.1763969E-02
   7109.00  3.4038523E-02
   7109.20  4.2367438E-03
   7109.40  1.6510303E-02
   7109.60  1.8446388E-03
   7109.80  3.4977678E-03
   7110.00  5.2636912E-03
   7110.20  8.9712554E-03
   7110.40  1.0568302E-02
   7110.60  8.0153899E-03
   7110.80  1.5159226E-02
   7111.00  1.7900738E-02
   7111.20  2.3925831E-02
   7111.40  1.6353306E-02
   7111.60  9.2506696E-03
   7111.80  2.1510302E-02
   7112.00  5.4066275E-02
   7112.20  5.8865860E-02
   7112.40  8.3387522E-02
   7112.60  8.1041128E-02
   7112.80  4.3416656E-02
   7113.00  2.8554318E-02
   7113.20  2.0393785E-02
   7113.40  2.0095523E-02
   7113.60  2.0100945E-02
   7113.80  1.5400582E-02
   7114.00  1.2938761E-02
