  7112.000   26  1  1  2.7896073E-02 -2.9608207E+00 -4.6390684E-01  1  1  7.2650300E+03  0.0000000E+00  0.0000000E+00  4.8255310E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.8778133E-03
   7097.20  8.3438544E-03
   7097.40  6.2542380E-04
   7097.60  1.6654067E-04
   7097.80  1.8178846E-04
   7098.00  6.3246880E-05
   7098.20  4.7020668E-05
   7098.40  3.9075467E-05
   7098.60  3.4340979E-05
   7098.80  3.1389362E-05
   7099.00  2.9872905E-05
   7099.20  3.3664087E-05
   7099.40  5.4696363E-05
   7099.60  2.7232145E-05
   7099.80  2.5695662E-05
   7100.00  2.5625667E-05
   7100.20  3.0001650E-05
   7100.40  5.6204194E-05
   7100.60  2.6248189E-05
   7100.80  2.6227850E-05
   7101.00  3.5460930E-05
   7101.20  5.8469604E-05
   7101.40  2.8452255E-05
   7101.60  2.9841301E-05
   7101.80  5.3386081E-04
   7102.00  3.6159168E-05
   7102.20  4.6391943E-05
   7102.40  1.6117123E-04
   7102.60  5.1454647E-03
   7102.80  7.1824462E-03
   7103.00  8.8990276E-05
   7103.20  7.0637384E-04
   7103.40  1.4067015E-03
   7103.60  1.4052071E-04
   7103.80  3.6999739E-03
   7104.00  2.6255903E-04
   7104.20  5.0121080E-05
   7104.40  4.0085586E-05
   7104.60  3.9421280E-05
   7104.80  4.2392732E-05
   7105.00  5.4295342E-05
   7105.20  3.2438391E-04
   7105.40  7.7749927E-04
   7105.60  1.3641705E-04
   7105.80  1.0573174E-04
   7106.00  2.3431954E-04
   7106.20  2.4362990E-03
   7106.40  1.6484941E-03
   7106.60  8.5318692E-04
   7106.80  2.3007684E-04
   7107.00  2.6868375E-04
   7107.20  2.5444951E-03
   7107.40  7.4348220E-04
   7107.60  5.0327323E-04
   7107.80  7.0167779E-03
   7108.00  1.0232858E-02
   7108.20  1.0326969E-02
   7108.40  3.4383794E-03
   7108.60  1.3162123E-03
   7108.80  2.0959669E-02
   7109.00  2.3722148E-03
   7109.20  7.6604686E-03
   7109.40  2.2927326E-02
   7109.60  4.6901860E-03
   7109.80  1.3871267E-02
   7110.00  1.6589332E-02
   7110.20  2.2200737E-02
   7110.40  1.1196310E-02
   7110.60  4.6883761E-03
   7110.80  4.8031155E-03
   7111.00  3.0218051E-03
   7111.20  4.7481242E-03
   7111.40  1.1684188E-02
   7111.60  9.9249758E-03
   7111.80  1.0112054E-02
   7112.00  9.7739255E-03
   7112.20  9.0729612E-03
   7112.40  8.3748199E-03
   7112.60  5.4825277E-03
   7112.80  4.6858595E-03
   7113.00  5.5320895E-03
   7113.20  6.5179846E-03
   7113.40  6.5573753E-03
   7113.60  4.1982291E-03
   7113.80  2.2624445E-03
   7114.00  1.4154769E-03
   7114.20  1.0211529E-03
   7114.40  8.2286542E-04
   7114.60  7.2899411E-04
   7114.80  7.0951448E-04
   7115.00  7.8066307E-04
   7115.20  1.0491999E-03
   7115.40  1.2661164E-03
   7115.60  9.9409069E-04
   7115.80  8.3343205E-04
   7116.00  8.0584314E-04
   7116.20  8.5053505E-04
   7116.40  9.4525519E-04
   7116.60  1.0969558E-03
   7116.80  1.3238560E-03
   7117.00  1.6547823E-03
   7117.20  2.1134281E-03
   7117.40  2.6797441E-03
   7117.60  3.3349052E-03
   7117.80  4.2545954E-03
   7118.00  5.8118735E-03
   7118.20  8.4334107E-03
   7118.40  1.2328863E-02
   7118.60  1.7488007E-02
   7118.80  2.3223761E-02
   7119.00  2.6796733E-02
   7119.20  2.7529501E-02
   7119.40  2.7309945E-02
   7119.60  2.7310175E-02
   7119.80  2.7587211E-02
   7120.00  2.7842164E-02
   7120.20  2.7885104E-02
   7120.40  2.8006759E-02
   7120.60  2.8615135E-02
   7120.80  2.9698594E-02
   7121.00  3.0925363E-02
   7121.20  3.1767889E-02
   7121.40  3.1774033E-02
   7121.60  3.0904912E-02
   7121.80  2.9565676E-02
   7122.00  2.8258765E-02
   7122.20  2.7337679E-02
   7122.40  2.6808284E-02
   7122.60  2.6549629E-02
   7122.80  2.6464539E-02
   7123.00  2.6690140E-02
   7123.20  2.7267929E-02
   7123.40  2.7813633E-02
   7123.60  2.7962391E-02
   7123.80  2.7949324E-02
   7124.00  2.7753585E-02
   7124.20  2.7145528E-02
   7124.40  2.6291689E-02
   7124.60  2.5548598E-02
   7124.80  2.5133288E-02
   7125.00  2.5074123E-02
   7125.20  2.5245544E-02
   7125.40  2.5515581E-02
   7125.60  2.5840673E-02
   7125.80  2.6215646E-02
   7126.00  2.6525423E-02
   7126.20  2.6752133E-02
   7126.40  2.7052789E-02
   7126.60  2.7429613E-02
   7126.80  2.7972849E-02
   7127.00  2.8686230E-02
   7127.20  2.9560067E-02
   7127.40  3.0576375E-02
   7127.60  3.1658274E-02
   7127.80  3.2652790E-02
   7128.00  3.3459957E-02
   7128.20  3.4146764E-02
   7128.40  3.4857854E-02
   7128.60  3.5699640E-02
   7128.80  3.6725160E-02
   7129.00  3.7949572E-02
   7129.20  3.9346064E-02
   7129.40  4.0827278E-02
   7129.60  4.2290173E-02
   7129.80  4.3448706E-02
   7130.00  4.4202992E-02
   7130.20  4.4496682E-02
   7130.40  4.4412046E-02
   7130.60  4.4092995E-02
   7130.80  4.3698690E-02
   7131.00  4.3352776E-02
   7131.20  4.3112434E-02
   7131.40  4.2957679E-02
   7131.60  4.2826366E-02
   7131.80  4.2679370E-02
   7132.00  4.2514261E-02
   7132.20  4.2324969E-02
   7132.40  4.2081269E-02
   7132.60  4.1749453E-02
   7132.80  4.1318948E-02
   7133.00  4.0814068E-02
   7133.20  4.0282938E-02
   7133.40  3.9811726E-02
   7133.60  3.9498179E-02
   7133.80  3.9438023E-02
   7134.00  3.9672780E-02
   7134.20  4.0152846E-02
   7134.40  4.0775885E-02
   7134.60  4.1444752E-02
   7134.80  4.2102622E-02
   7135.00  4.2739640E-02
   7135.20  4.3373325E-02
   7135.40  4.4025416E-02
   7135.60  4.4705939E-02
   7135.80  4.5401494E-02
   7136.00  4.6069523E-02
   7136.20  4.6641982E-02
   7136.40  4.7042951E-02
   7136.60  4.7216517E-02
   7136.80  4.7149314E-02
   7137.00  4.6869306E-02
   7137.20  4.6424886E-02
   7137.40  4.5862717E-02
   7137.60  4.5218893E-02
   7137.80  4.4520809E-02
   7138.00  4.3791332E-02
   7138.20  4.3050906E-02
   7138.40  4.2317321E-02
   7138.60  4.1604086E-02
   7138.80  4.0919235E-02
   7139.00  4.0264850E-02
   7139.20  3.9638278E-02
   7139.40  3.9035749E-02
   7139.60  3.8466618E-02
   7139.80  3.7912393E-02
   7140.00  3.7375852E-02
   7140.20  3.6863779E-02
   7140.40  3.6385939E-02
   7140.60  3.5953161E-02
   7140.80  3.5576548E-02
   7141.00  3.5260405E-02
   7141.20  3.5008852E-02
   7141.40  3.4819911E-02
   7141.60  3.4687290E-02
   7141.80  3.4600894E-02
   7142.00  3.4547633E-02
   7142.20  3.4512713E-02
   7142.40  3.4480752E-02
   7142.60  3.4437358E-02
   7142.80  3.4370846E-02
   7143.00  3.4273451E-02
   7143.20  3.4142399E-02
   7143.40  3.3979797E-02
   7143.60  3.3792523E-02
   7143.80  3.3590177E-02
   7144.00  3.3383514E-02
   7144.20  3.3182536E-02
   7144.40  3.2994282E-02
   7144.60  3.2822274E-02
   7144.80  3.2666812E-02
   7145.00  3.2525395E-02
   7145.20  3.2393927E-02
   7145.40  3.2268115E-02
   7145.60  3.2144367E-02
   7145.80  3.2019912E-02
   7146.00  3.1892725E-02
   7146.20  3.1761404E-02
