  7112.000   26  1  1  3.3325057E-02 -4.3161641E+00 -7.3606667E-01  1  1  7.2654788E+03  0.0000000E+00  0.0000000E+00  6.1482029E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  4.6293404E-05
   7097.20  5.0580794E-05
   7097.40  5.9809776E-05
   7097.60  7.8938892E-05
   7097.80  1.2482234E-04
   7098.00  2.8702497E-04
   7098.20  3.1467935E-03
   7098.40  2.8408994E-02
   7098.60  1.9971431E-02
   7098.80  3.6719401E-04
   7099.00  1.3704766E-04
   7099.20  8.3587016E-05
   7099.40  2.0822000E-04
   7099.60  5.3157952E-05
   7099.80  4.9907927E-05
   7100.00  8.9536115E-05
   7100.20  8.5748018E-05
   7100.40  5.1064493E-05
   7100.60  6.9741648E-05
   7100.80  6.9597106E-04
   7101.00  5.4558205E-04
   7101.20  9.2627102E-04
   7101.40  4.8093165E-04
   7101.60  7.2224232E-04
   7101.80  1.0820619E-04
   7102.00  8.8218598E-04
   7102.20  2.3639652E-04
   7102.40  6.6882889E-05
   7102.60  4.8031274E-05
   7102.80  4.3329053E-05
   7103.00  4.7161445E-05
   7103.20  4.7207558E-05
   7103.40  6.5811240E-05
   7103.60  1.1052285E-04
   7103.80  9.9193943E-05
   7104.00  2.1545327E-04
   7104.20  1.9184207E-04
   7104.40  1.1889876E-03
   7104.60  3.0252385E-02
   7104.80  3.9698936E-03
   7105.00  4.2078363E-04
   7105.20  2.9942144E-04
   7105.40  6.3497001E-04
   7105.60  2.7804186E-04
   7105.80  4.1997348E-02
   7106.00  4.4485194E-03
   7106.20  3.9078608E-03
   7106.40  2.7569223E-03
   7106.60  1.9367219E-02
   7106.80  7.0651076E-04
   7107.00  9.3005467E-04
   7107.20  2.0074323E-02
   7107.40  3.3455137E-03
   7107.60  7.0847290E-04
   7107.80  8.8009220E-04
   7108.00  5.8218434E-03
   7108.20  1.4998550E-02
   7108.40  2.9934289E-02
   7108.60  3.4575790E-02
   7108.80  2.5365769E-02
   7109.00  1.8050149E-02
   7109.20  4.2652263E-02
   7109.40  5.8802085E-02
   7109.60  2.5190486E-02
   7109.80  8.3822612E-03
   7110.00  7.4821233E-03
   7110.20  1.1525616E-02
   7110.40  1.4541954E-02
   7110.60  1.5842573E-02
   7110.80  1.5788234E-02
   7111.00  2.0548550E-02
   7111.20  1.2255591E-02
   7111.40  1.5036722E-02
   7111.60  1.6583825E-02
   7111.80  1.4515217E-02
   7112.00  1.6802849E-02
   7112.20  1.9545429E-02
   7112.40  1.8658546E-02
   7112.60  1.8334149E-02
   7112.80  1.5735953E-02
   7113.00  1.1340653E-02
   7113.20  8.2172608E-03
   7113.40  6.3496851E-03
   7113.60  5.2899217E-03
   7113.80  4.8167621E-03
   7114.00  5.0464569E-03
   7114.20  7.4376873E-03
   7114.40  5.9822879E-03
   7114.60  3.9861138E-03
   7114.80  3.6525206E-03
   7115.00  3.5289399E-03
   7115.20  3.1805537E-03
   7115.40  2.7668663E-03
   7115.60  2.5207507E-03
   7115.80  2.4552551E-03
   7116.00  2.5398490E-03
   7116.20  2.7873190E-03
   7116.40  3.2692001E-03
   7116.60  4.0434908E-03
   7116.80  4.7926156E-03
   7117.00  4.9567118E-03
   7117.20  4.9300383E-03
   7117.40  5.0346274E-03
   7117.60  5.1211961E-03
   7117.80  5.1376464E-03
   7118.00  5.1452486E-03
   7118.20  5.1841085E-03
   7118.40  5.2731081E-03
   7118.60  5.4305639E-03
   7118.80  5.6736837E-03
   7119.00  6.0203798E-03
   7119.20  6.4907453E-03
   7119.40  7.0950440E-03
   7119.60  7.8097249E-03
   7119.80  8.5610615E-03
   7120.00  9.2432473E-03
   7120.20  9.7771776E-03
   7120.40  1.0161016E-02
   7120.60  1.0487290E-02
   7120.80  1.0836445E-02
   7121.00  1.1332988E-02
   7121.20  1.2063093E-02
   7121.40  1.2974086E-02
   7121.60  1.4004210E-02
   7121.80  1.5048603E-02
   7122.00  1.6068757E-02
   7122.20  1.7076717E-02
   7122.40  1.8097084E-02
   7122.60  1.9166638E-02
   7122.80  2.0208723E-02
   7123.00  2.1132822E-02
   7123.20  2.1882968E-02
   7123.40  2.2605357E-02
   7123.60  2.3423094E-02
   7123.80  2.4272268E-02
   7124.00  2.5036702E-02
   7124.20  2.5703145E-02
   7124.40  2.6429476E-02
   7124.60  2.7210158E-02
   7124.80  2.7653688E-02
   7125.00  2.7759433E-02
   7125.20  2.7938124E-02
   7125.40  2.8246230E-02
   7125.60  2.8483853E-02
   7125.80  2.8609934E-02
   7126.00  2.8573842E-02
   7126.20  2.8291457E-02
   7126.40  2.7861555E-02
   7126.60  2.7439164E-02
   7126.80  2.7140148E-02
   7127.00  2.7039642E-02
   7127.20  2.7195008E-02
   7127.40  2.7651515E-02
