  7112.000   26  1  1  8.2516912E-03 -2.1822415E-01 -2.1397561E-01  1  1  7.2641076E+03  0.0000000E+00  0.0000000E+00  2.0334895E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  2.3273746E-05
   7097.20  2.2555011E-05
   7097.40  2.2906560E-05
   7097.60  2.3755619E-05
   7097.80  2.5183031E-05
   7098.00  2.7568580E-05
   7098.20  3.1849546E-05
   7098.40  4.0604923E-05
   7098.60  6.3081666E-05
   7098.80  1.5536198E-04
   7099.00  2.3932793E-03
   7099.20  5.0737513E-04
   7099.40  1.0135384E-04
   7099.60  5.2008007E-05
   7099.80  3.7028621E-05
   7100.00  3.0675998E-05
   7100.20  2.7506810E-05
   7100.40  2.5818601E-05
   7100.60  2.4958887E-05
   7100.80  2.4663618E-05
   7101.00  2.4861745E-05
   7101.20  2.5637370E-05
   7101.40  2.7309837E-05
   7101.60  3.0770917E-05
   7101.80  3.8878331E-05
   7102.00  6.4918208E-05
   7102.20  2.7828823E-04
   7102.40  2.1345190E-02
   7102.60  1.2869907E-04
   7102.80  5.2761570E-05
   7103.00  5.9324129E-04
   7103.20  3.1997665E-05
   7103.40  2.8549718E-05
   7103.60  2.7557406E-05
   7103.80  2.7667889E-05
   7104.00  2.8851330E-05
   7104.20  3.1960052E-05
   7104.40  4.1179645E-05
   7104.60  9.8186643E-05
   7104.80  1.7900055E-03
   7105.00  7.1787111E-05
   7105.20  5.8348592E-05
   7105.40  1.0898401E-04
   7105.60  7.1695981E-03
   7105.80  1.7381423E-04
   7106.00  6.4322204E-04
   7106.20  2.6124836E-04
   7106.40  6.1794872E-05
   7106.60  4.3088950E-05
   7106.80  3.8077398E-05
   7107.00  4.6452706E-05
   7107.20  3.6715518E-05
   7107.40  3.7456001E-05
   7107.60  3.9402081E-05
   7107.80  4.2848903E-05
   7108.00  5.4602020E-05
   7108.20  6.9226328E-05
   7108.40  6.4291518E-05
   7108.60  8.5524470E-05
   7108.80  1.5276002E-04
   7109.00  1.0229763E-03
   7109.20  1.6156552E-03
   7109.40  1.1011516E-03
   7109.60  2.4620334E-04
   7109.80  4.5194580E-04
