  7112.000   26  1  1  9.3184654E-03 -2.4656816E+00 -2.0601778E+00  1  1  7.2659193E+03  0.0000000E+00  0.0000000E+00  2.0545111E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9388219E-05
   7097.20  1.9420528E-05
   7097.40  1.9464143E-05
   7097.60  1.9519403E-05
   7097.80  1.9587008E-05
   7098.00  1.9667984E-05
   7098.20  1.9763691E-05
   7098.40  1.9875898E-05
   7098.60  2.0006883E-05
   7098.80  2.0159528E-05
   7099.00  2.0337573E-05
   7099.20  2.0545947E-05
   7099.40  2.0791165E-05
   7099.60  2.1082096E-05
   7099.80  2.1431117E-05
   7100.00  2.1855881E-05
   7100.20  2.2382486E-05
   7100.40  2.3051074E-05
   7100.60  2.3926254E-05
   7100.80  2.5118282E-05
   7101.00  2.6828891E-05
   7101.20  2.9463829E-05
   7101.40  3.3950091E-05
   7101.60  4.2832073E-05
   7101.80  6.5499298E-05
   7102.00  1.6404318E-04
   7102.20  4.9006182E-03
   7102.40  3.3795446E-04
   7102.60  1.1403919E-04
   7102.80  2.1412287E-04
   7103.00  1.2174944E-03
   7103.20  9.1560671E-05
   7103.40  5.4685492E-05
   7103.60  5.1337938E-05
   7103.80  7.0579938E-05
   7104.00  3.4597532E-04
   7104.20  3.3151008E-04
   7104.40  8.1045586E-05
   7104.60  1.0054041E-04
   7104.80  2.9186101E-03
   7105.00  1.4436802E-04
   7105.20  7.1008564E-05
   7105.40  9.3151037E-05
   7105.60  3.1052216E-04
   7105.80  2.2212814E-04
   7106.00  1.3072622E-04
   7106.20  2.4631730E-03
   7106.40  9.1131516E-05
   7106.60  8.9238603E-05
   7106.80  1.2870162E-04
   7107.00  3.0309097E-04
   7107.20  2.4497921E-02
   7107.40  3.7950915E-02
   7107.60  5.5356942E-04
   7107.80  2.5060930E-04
   7108.00  2.3701645E-04
   7108.20  7.8927081E-04
   7108.40  7.3843088E-04
   7108.60  1.6581161E-03
   7108.80  2.0305731E-02
   7109.00  5.3653669E-02
   7109.20  9.0477873E-03
   7109.40  8.6406691E-04
   7109.60  4.0882940E-03
   7109.80  2.6725960E-04
   7110.00  1.1380830E-02
   7110.20  6.9816693E-03
   7110.40  1.4163521E-02
   7110.60  1.3853510E-02
   7110.80  8.1288219E-03
   7111.00  7.1474667E-03
   7111.20  3.4589006E-03
   7111.40  1.2602540E-02
   7111.60  6.0552356E-03
   7111.80  9.4128055E-03
   7112.00  1.1420284E-02
   7112.20  2.1370330E-02
   7112.40  1.3157915E-02
   7112.60  1.6383853E-02
   7112.80  2.8408830E-02
   7113.00  3.7011254E-02
   7113.20  4.6379855E-02
   7113.40  6.6562224E-02
   7113.60  7.1293042E-02
   7113.80  6.0123621E-02
   7114.00  5.8184416E-02
   7114.20  7.1934574E-02
   7114.40  5.1463189E-02
   7114.60  3.2381923E-02
   7114.80  2.3426871E-02
   7115.00  1.8682827E-02
   7115.20  1.5810738E-02
   7115.40  1.3915170E-02
