  7112.000   26  1  1  8.6492253E-03 -2.3584876E+00 -2.3277752E+00  1  1  7.2662183E+03  0.0000000E+00  0.0000000E+00  1.5019450E+00  1.0000000E+00  0.0000000E+00 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_cut, ninitl, ninit1, Epsii, UnitCell_Volume, Surface_ref, f0_forward, natomsym_f, abs_u_i
    Energy    <xanes>    
   7097.00  1.9296258E-05
   7097.20  1.9335011E-05
   7097.40  1.9384640E-05
   7097.60  1.9445717E-05
   7097.80  1.9519103E-05
   7098.00  1.9605931E-05
   7098.20  1.9707714E-05
   7098.40  1.9826340E-05
   7098.60  1.9964189E-05
   7098.80  2.0124365E-05
   7099.00  2.0310859E-05
   7099.20  2.0528873E-05
   7099.40  2.0785421E-05
   7099.60  2.1090095E-05
   7099.80  2.1456282E-05
   7100.00  2.1903375E-05
   7100.20  2.2460394E-05
   7100.40  2.3172648E-05
   7100.60  2.4114637E-05
   7100.80  2.5416598E-05
   7101.00  2.7326384E-05
   7101.20  3.0369640E-05
   7101.40  3.5847689E-05
   7101.60  4.7847315E-05
   7101.80  8.5993161E-05
   7102.00  4.3077987E-04
   7102.20  1.0248849E-03
   7102.40  1.6394437E-04
   7102.60  1.0953919E-03
   7102.80  2.6497097E-04
   7103.00  1.0742209E-04
   7103.20  2.3697880E-03
   7103.40  1.0540380E-04
   7103.60  5.3776589E-05
   7103.80  5.1443890E-05
   7104.00  8.0378151E-05
   7104.20  2.8752744E-03
   7104.40  1.1563276E-04
   7104.60  7.3362135E-05
   7104.80  1.7495109E-04
   7105.00  7.8183378E-04
   7105.20  1.0383388E-04
   7105.40  2.4838345E-04
   7105.60  4.1130736E-04
   7105.80  1.4063132E-04
   7106.00  3.7102809E-04
   7106.20  8.1779223E-05
   7106.40  8.6680158E-05
   7106.60  3.4570917E-03
   7106.80  1.8982651E-04
   7107.00  1.7615048E-03
   7107.20  7.0547731E-03
   7107.40  1.9006591E-03
   7107.60  7.3161998E-04
   7107.80  1.9893864E-03
   7108.00  1.9392512E-04
   7108.20  1.0006023E-03
   7108.40  3.6271257E-04
   7108.60  2.2100593E-03
   7108.80  9.6991084E-03
   7109.00  7.8702094E-04
   7109.20  1.2976080E-02
   7109.40  2.2403407E-03
   7109.60  4.0958625E-03
   7109.80  4.9086119E-03
   7110.00  1.2547617E-02
   7110.20  1.7886508E-03
   7110.40  8.1837489E-03
   7110.60  1.0638365E-02
   7110.80  1.1233339E-02
   7111.00  6.1344070E-03
   7111.20  3.2763624E-03
   7111.40  9.4758801E-03
   7111.60  1.3680904E-02
   7111.80  6.0524179E-03
   7112.00  4.8076360E-03
   7112.20  5.4880676E-03
   7112.40  8.3466043E-03
   7112.60  1.5470921E-02
   7112.80  2.9213977E-02
   7113.00  3.1072249E-02
   7113.20  3.7872430E-02
   7113.40  6.5328463E-02
   7113.60  9.4538690E-02
   7113.80  1.1915767E-01
   7114.00  8.8765964E-02
   7114.20  4.5331694E-02
   7114.40  2.8948216E-02
   7114.60  2.1324307E-02
   7114.80  1.7075278E-02
   7115.00  1.4432571E-02
   7115.20  1.2677397E-02
   7115.40  1.1476715E-02
   7115.60  1.0659994E-02
   7115.80  1.0149921E-02
   7116.00  9.9354190E-03
   7116.20  1.0068648E-02
   7116.40  1.0630900E-02
   7116.60  1.1882086E-02
   7116.80  1.3541096E-02
   7117.00  1.4502326E-02
   7117.20  1.4074483E-02
   7117.40  1.3080360E-02
   7117.60  1.1961336E-02
   7117.80  1.0705981E-02
   7118.00  9.5351913E-03
   7118.20  8.6270468E-03
   7118.40  7.9883475E-03
   7118.60  7.5537549E-03
   7118.80  7.2498818E-03
   7119.00  7.0337652E-03
   7119.20  6.8914215E-03
