    FDMNES
    energy     <xanes>
   7097.00  4.4683927E-03
   7097.33  4.5677352E-03
   7097.67  4.6715519E-03
   7098.00  4.7801547E-03
   7098.33  4.8945956E-03
   7098.67  5.0146772E-03
   7099.00  5.1408302E-03
   7099.33  5.2744459E-03
   7099.67  5.4153302E-03
   7100.00  5.5640956E-03
   7100.33  5.7226355E-03
   7100.67  5.8907873E-03
   7101.00  6.0694519E-03
   7101.33  6.2612955E-03
   7101.67  6.4662487E-03
   7102.00  6.6856906E-03
   7102.33  6.9235342E-03
   7102.67  7.1799397E-03
   7103.00  7.4571242E-03
   7103.33  7.7611257E-03
   7103.67  8.0926504E-03
   7104.00  8.4554820E-03
   7104.33  8.8595414E-03
   7104.67  9.3068553E-03
   7105.00  9.8043881E-03
   7105.33  1.0369806E-02
   7105.67  1.1008530E-02
   7106.00  1.1734711E-02
   7106.33  1.2583355E-02
   7106.67  1.3569578E-02
   7107.00  1.4726281E-02
   7107.33  1.6133994E-02
   7107.67  1.7840466E-02
   7108.00  1.9938743E-02
   7108.33  2.2660334E-02
   7108.67  2.6195376E-02
   7109.00  3.0901430E-02
   7109.33  3.7732625E-02
   7109.67  4.7817388E-02
   7110.00  6.3379365E-02
   7110.33  9.0787859E-02
   7110.67  1.3577158E-01
   7111.00  1.9436092E-01
   7111.33  2.3883911E-01
   7111.67  2.6534721E-01
   7112.00  2.8760193E-01
   7112.33  3.0898080E-01
   7112.67  3.1048537E-01
   7113.00  2.8438316E-01
   7113.33  2.3405177E-01
   7113.67  1.8536229E-01
   7114.00  1.5111846E-01
   7114.33  1.3309585E-01
   7114.67  1.2462268E-01
   7115.00  1.1918130E-01
   7115.33  1.1034204E-01
   7115.67  1.0175376E-01
   7116.00  9.6482121E-02
   7116.33  9.4555578E-02
   7116.67  9.4070843E-02
   7117.00  9.4017463E-02
   7117.33  9.4040365E-02
   7117.67  9.4335011E-02
   7118.00  9.5181010E-02
   7118.33  9.7091880E-02
   7118.67  1.0028624E-01
   7119.00  1.0475970E-01
   7119.33  1.1030718E-01
   7119.67  1.1611737E-01
   7120.00  1.2073331E-01
   7120.33  1.2261590E-01
   7120.67  1.2390085E-01
   7121.00  1.2665797E-01
   7121.33  1.3215450E-01
   7121.67  1.4025978E-01
   7122.00  1.5101305E-01
   7122.33  1.6466669E-01
   7122.67  1.8058001E-01
   7123.00  1.9833192E-01
   7123.33  2.1756389E-01
   7123.67  2.3751098E-01
   7124.00  2.5754175E-01
   7124.33  2.7686115E-01
   7124.67  2.9493303E-01
   7125.00  3.1113874E-01
   7125.33  3.2466362E-01
   7125.67  3.3653330E-01
   7126.00  3.4838285E-01
   7126.33  3.6202132E-01
   7126.67  3.7715981E-01
   7127.00  3.9208080E-01
   7127.33  4.0360180E-01
   7127.67  4.1054533E-01
   7128.00  4.1333926E-01
   7128.33  4.1311168E-01
   7128.67  4.1133971E-01
   7129.00  4.0844015E-01
   7129.33  4.0449150E-01
   7129.67  3.9997448E-01
   7130.00  3.9549729E-01
   7130.33  3.9205056E-01
   7130.67  3.9026161E-01
   7131.00  3.9050702E-01
   7131.33  3.9318893E-01
   7131.67  3.9794065E-01
   7132.00  4.0460055E-01
   7132.33  4.1319334E-01
   7132.67  4.2334450E-01
   7133.00  4.3494101E-01
   7133.33  4.4806515E-01
   7133.67  4.6253320E-01
   7134.00  4.7835961E-01
   7134.33  4.9560965E-01
   7134.67  5.1375535E-01
   7135.00  5.3219484E-01
   7135.33  5.4984933E-01
   7135.67  5.6565035E-01
   7136.00  5.7865136E-01
   7136.33  5.8760948E-01
   7136.67  5.9274350E-01
   7137.00  5.9437622E-01
   7137.33  5.9305492E-01
   7137.67  5.9029123E-01
   7138.00  5.8714503E-01
   7138.33  5.8480037E-01
   7138.67  5.8400243E-01
   7139.00  5.8522842E-01
   7139.33  5.8905702E-01
   7139.67  5.9523622E-01
   7140.00  6.0363198E-01
   7140.33  6.1418026E-01
   7140.67  6.2622556E-01
   7141.00  6.3935472E-01
   7141.33  6.5313643E-01
   7141.67  6.6701466E-01
   7142.00  6.8062414E-01
   7142.33  6.9355619E-01
   7142.67  7.0567266E-01
   7143.00  7.1688902E-01
   7143.33  7.2708964E-01
   7143.67  7.3642646E-01
   7144.00  7.4491911E-01
   7144.33  7.5247768E-01
   7144.67  7.5920257E-01
   7145.00  7.6506617E-01
   7145.33  7.6990097E-01
   7145.67  7.7376287E-01
   7146.00  7.7661199E-01
   7146.33  7.7829568E-01
   7146.67  7.7894835E-01
   7147.00  7.7859394E-01
   7147.33  7.7715681E-01
   7147.67  7.7481386E-01
   7148.00  7.7162001E-01
   7148.33  7.6754821E-01
   7148.67  7.6277518E-01
   7149.00  7.5737668E-01
   7149.33  7.5138232E-01
   7149.67  7.4496005E-01
   7150.00  7.3820001E-01
   7150.33  7.3117615E-01
   7150.67  7.2401482E-01
   7151.00  7.1679441E-01
   7151.33  7.0960479E-01
   7151.67  7.0251836E-01
   7152.00  6.9558801E-01
   7152.33  6.8888630E-01
   7152.67  6.8242174E-01
   7153.00  6.7621462E-01
   7153.33  6.7031296E-01
   7153.67  6.6468755E-01
   7154.00  6.5933622E-01
   7154.33  6.5428375E-01
   7154.67  6.4948325E-01
   7155.00  6.4491818E-01
   7155.33  6.4058795E-01
   7155.67  6.3643114E-01
   7156.00  6.3240976E-01
   7156.33  6.2847910E-01
   7156.67  6.2456348E-01
   7157.00  6.2060046E-01
   7157.33  6.1650133E-01
   7157.67  6.1221657E-01
   7158.00  6.0770612E-01
   7158.33  6.0291728E-01
   7158.67  5.9788939E-01
   7159.00  5.9265390E-01
   7159.33  5.8724923E-01
   7159.67  5.8176033E-01
   7160.00  5.7624521E-01
   7160.33  5.7076845E-01
   7160.67  5.6537115E-01
   7161.00  5.6007977E-01
   7161.33  5.5492539E-01
   7161.67  5.4989270E-01
   7162.00  5.4497240E-01
   7162.33  5.4015765E-01
   7162.67  5.3541283E-01
   7163.00  5.3071510E-01
   7163.33  5.2603953E-01
   7163.67  5.2135827E-01
   7164.00  5.1665327E-01
   7164.33  5.1190478E-01
   7164.67  5.0711156E-01
   7165.00  5.0227698E-01
   7165.33  4.9741142E-01
   7165.67  4.9254187E-01
   7166.00  4.8769537E-01
   7166.33  4.8291760E-01
   7166.67  4.7824194E-01
   7167.00  4.7370046E-01
   7167.33  4.6934690E-01
   7167.67  4.6518919E-01
   7168.00  4.6124905E-01
   7168.33  4.5757784E-01
   7168.67  4.5416358E-01
   7169.00  4.5101935E-01
   7169.33  4.4819261E-01
   7169.67  4.4565674E-01
   7170.00  4.4341598E-01
   7170.33  4.4150692E-01
   7170.67  4.3988585E-01
   7171.00  4.3854169E-01
   7171.33  4.3748669E-01
   7171.67  4.3665940E-01
   7172.00  4.3602484E-01
