    FDMNES
    energy     <xanes>
   7097.00  5.1829569E-03
   7097.33  5.3063160E-03
   7097.67  5.4352586E-03
   7098.00  5.5701563E-03
   7098.33  5.7122900E-03
   7098.67  5.8613853E-03
   7099.00  6.0179437E-03
   7099.33  6.1836279E-03
   7099.67  6.3581502E-03
   7100.00  6.5422041E-03
   7100.33  6.7379990E-03
   7100.67  6.9452532E-03
   7101.00  7.1649529E-03
   7101.33  7.4001158E-03
   7101.67  7.6505104E-03
   7102.00  7.9175859E-03
   7102.33  8.2056024E-03
   7102.67  8.5144751E-03
   7103.00  8.8464201E-03
   7103.33  9.2076964E-03
   7103.67  9.5985840E-03
   7104.00  1.0022640E-02
   7104.33  1.0489530E-02
   7104.67  1.1000407E-02
   7105.00  1.1561344E-02
   7105.33  1.2188252E-02
   7105.67  1.2884437E-02
   7106.00  1.3661143E-02
   7106.33  1.4546906E-02
   7106.67  1.5550777E-02
   7107.00  1.6696071E-02
   7107.33  1.8040651E-02
   7107.67  1.9611247E-02
   7108.00  2.1465205E-02
   7108.33  2.3744785E-02
   7108.67  2.6546181E-02
   7109.00  3.0057141E-02
   7109.33  3.4768262E-02
   7109.67  4.1189966E-02
   7110.00  5.0328010E-02
   7110.33  6.4998138E-02
   7110.67  8.7516409E-02
   7111.00  1.1611927E-01
   7111.33  1.4169171E-01
   7111.67  1.6702253E-01
   7112.00  1.9888643E-01
   7112.33  2.3752860E-01
   7112.67  2.8542768E-01
   7113.00  3.5569618E-01
   7113.33  4.6291718E-01
   7113.67  5.8039068E-01
   7114.00  6.6956367E-01
   7114.33  6.5931181E-01
   7114.67  5.5881238E-01
   7115.00  4.3554828E-01
   7115.33  3.4574134E-01
   7115.67  2.8846118E-01
   7116.00  2.5540288E-01
   7116.33  2.3931452E-01
   7116.67  2.2982127E-01
   7117.00  2.2100959E-01
   7117.33  2.1025326E-01
   7117.67  1.9844295E-01
   7118.00  1.8604741E-01
   7118.33  1.7373070E-01
   7118.67  1.6246319E-01
   7119.00  1.5272095E-01
   7119.33  1.4472972E-01
   7119.67  1.3811427E-01
   7120.00  1.3272230E-01
   7120.33  1.2864229E-01
   7120.67  1.2580036E-01
   7121.00  1.2419320E-01
   7121.33  1.2376325E-01
   7121.67  1.2412403E-01
   7122.00  1.2518961E-01
   7122.33  1.2723898E-01
   7122.67  1.3032222E-01
   7123.00  1.3443273E-01
   7123.33  1.3965442E-01
   7123.67  1.4585500E-01
   7124.00  1.5311463E-01
   7124.33  1.6202837E-01
   7124.67  1.7308111E-01
   7125.00  1.8672087E-01
   7125.33  2.0342850E-01
   7125.67  2.2274735E-01
   7126.00  2.4465932E-01
   7126.33  2.6944301E-01
   7126.67  2.9621291E-01
   7127.00  3.2406273E-01
   7127.33  3.5192553E-01
   7127.67  3.7887239E-01
   7128.00  4.0411458E-01
   7128.33  4.2718461E-01
   7128.67  4.5006794E-01
   7129.00  4.7582858E-01
   7129.33  5.0885289E-01
   7129.67  5.4992312E-01
   7130.00  5.9816762E-01
   7130.33  6.5045294E-01
   7130.67  7.0140220E-01
   7131.00  7.4784345E-01
   7131.33  7.8859886E-01
   7131.67  8.2651878E-01
   7132.00  8.6386630E-01
   7132.33  9.0184176E-01
   7132.67  9.3911806E-01
   7133.00  9.7281273E-01
   7133.33  9.9728575E-01
   7133.67  1.0090993E+00
   7134.00  1.0059099E+00
   7134.33  9.8607886E-01
   7134.67  9.5470960E-01
   7135.00  9.1566173E-01
   7135.33  8.7227995E-01
   7135.67  8.2744372E-01
   7136.00  7.8229228E-01
   7136.33  7.3766833E-01
   7136.67  6.9411892E-01
   7137.00  6.5220386E-01
   7137.33  6.1299718E-01
   7137.67  5.7707767E-01
   7138.00  5.4520426E-01
   7138.33  5.1871402E-01
   7138.67  4.9748159E-01
   7139.00  4.8163998E-01
   7139.33  4.7162076E-01
   7139.67  4.6618838E-01
   7140.00  4.6462732E-01
   7140.33  4.6638641E-01
   7140.67  4.7024695E-01
   7141.00  4.7562353E-01
   7141.33  4.8215937E-01
   7141.67  4.8941968E-01
   7142.00  4.9723721E-01
   7142.33  5.0551959E-01
   7142.67  5.1407682E-01
   7143.00  5.2277030E-01
   7143.33  5.3139850E-01
   7143.67  5.3974511E-01
   7144.00  5.4760893E-01
   7144.33  5.5467735E-01
   7144.67  5.6083654E-01
   7145.00  5.6593771E-01
   7145.33  5.6971063E-01
   7145.67  5.7224773E-01
   7146.00  5.7355554E-01
   7146.33  5.7355270E-01
   7146.67  5.7249984E-01
   7147.00  5.7052622E-01
   7147.33  5.6771367E-01
   7147.67  5.6435327E-01
   7148.00  5.6062701E-01
   7148.33  5.5671191E-01
   7148.67  5.5280743E-01
   7149.00  5.4905325E-01
   7149.33  5.4563049E-01
   7149.67  5.4262252E-01
   7150.00  5.4011456E-01
   7150.33  5.3827150E-01
   7150.67  5.3709248E-01
   7151.00  5.3662305E-01
   7151.33  5.3699531E-01
   7151.67  5.3813816E-01
   7152.00  5.4005464E-01
   7152.33  5.4281950E-01
   7152.67  5.4629206E-01
   7153.00  5.5041010E-01
   7153.33  5.5514461E-01
   7153.67  5.6030676E-01
   7154.00  5.6578034E-01
   7154.33  5.7144466E-01
   7154.67  5.7713807E-01
   7155.00  5.8274646E-01
   7155.33  5.8812376E-01
   7155.67  5.9319127E-01
   7156.00  5.9787272E-01
   7156.33  6.0203729E-01
   7156.67  6.0568494E-01
   7157.00  6.0877802E-01
   7157.33  6.1121203E-01
   7157.67  6.1304098E-01
   7158.00  6.1425666E-01
   7158.33  6.1478097E-01
   7158.67  6.1469686E-01
   7159.00  6.1401470E-01
   7159.33  6.1267961E-01
   7159.67  6.1078759E-01
   7160.00  6.0836306E-01
   7160.33  6.0537615E-01
   7160.67  6.0192564E-01
   7161.00  5.9804518E-01
   7161.33  5.9372776E-01
   7161.67  5.8906517E-01
   7162.00  5.8409436E-01
   7162.33  5.7882409E-01
   7162.67  5.7332626E-01
   7163.00  5.6763095E-01
   7163.33  5.6175548E-01
   7163.67  5.5575931E-01
   7164.00  5.4967505E-01
   7164.33  5.4353024E-01
   7164.67  5.3736146E-01
   7165.00  5.3119166E-01
   7165.33  5.2504664E-01
   7165.67  5.1894356E-01
   7166.00  5.1289819E-01
   7166.33  5.0693556E-01
   7166.67  5.0105984E-01
   7167.00  4.9528155E-01
   7167.33  4.8962547E-01
   7167.67  4.8408882E-01
   7168.00  4.7868176E-01
   7168.33  4.7343635E-01
   7168.67  4.6835175E-01
   7169.00  4.6344335E-01
   7169.33  4.5875141E-01
   7169.67  4.5427007E-01
   7170.00  4.5001539E-01
   7170.33  4.4603429E-01
   7170.67  4.4231696E-01
   7171.00  4.3888864E-01
   7171.33  4.3583641E-01
   7171.67  4.3319864E-01
   7172.00  4.3107730E-01
