    FDMNES
    energy     <xanes>
   7097.00  5.2819173E-03
   7097.33  5.4114709E-03
   7097.67  5.5470923E-03
   7098.00  5.6892030E-03
   7098.33  5.8392256E-03
   7098.67  5.9968879E-03
   7099.00  6.1627676E-03
   7099.33  6.3387375E-03
   7099.67  6.5245238E-03
   7100.00  6.7209407E-03
   7100.33  6.9305206E-03
   7100.67  7.1530203E-03
   7101.00  7.3896247E-03
   7101.33  7.6438688E-03
   7101.67  7.9156118E-03
   7102.00  8.2066451E-03
   7102.33  8.5220965E-03
   7102.67  8.8620876E-03
   7103.00  9.2294542E-03
   7103.33  9.6319944E-03
   7103.67  1.0070459E-02
   7104.00  1.0549601E-02
   7104.33  1.1082004E-02
   7104.67  1.1669938E-02
   7105.00  1.2321973E-02
   7105.33  1.3060031E-02
   7105.67  1.3890258E-02
   7106.00  1.4829659E-02
   7106.33  1.5920570E-02
   7106.67  1.7180077E-02
   7107.00  1.8646694E-02
   7107.33  2.0415016E-02
   7107.67  2.2538424E-02
   7108.00  2.5122876E-02
   7108.33  2.8431974E-02
   7108.67  3.2675162E-02
   7109.00  3.8248869E-02
   7109.33  4.6207781E-02
   7109.67  5.7776402E-02
   7110.00  7.5369742E-02
   7110.33  1.0591925E-01
   7110.67  1.5593554E-01
   7111.00  2.2241043E-01
   7111.33  2.7515162E-01
   7111.67  3.0178449E-01
   7112.00  3.1022968E-01
   7112.33  3.1762980E-01
   7112.67  3.3789444E-01
   7113.00  3.7692401E-01
   7113.33  4.2728477E-01
   7113.67  4.5559966E-01
   7114.00  4.3736058E-01
   7114.33  3.7973258E-01
   7114.67  3.2047719E-01
   7115.00  2.7489400E-01
   7115.33  2.4628042E-01
   7115.67  2.2766565E-01
   7116.00  2.1303783E-01
   7116.33  1.9567789E-01
   7116.67  1.7500685E-01
   7117.00  1.5527648E-01
   7117.33  1.4101175E-01
   7117.67  1.3169469E-01
   7118.00  1.2614252E-01
   7118.33  1.2362609E-01
   7118.67  1.2333830E-01
   7119.00  1.2502383E-01
   7119.33  1.2862267E-01
   7119.67  1.3401381E-01
   7120.00  1.4138599E-01
   7120.33  1.5074849E-01
   7120.67  1.6141929E-01
   7121.00  1.7268729E-01
   7121.33  1.8336141E-01
   7121.67  1.9364577E-01
   7122.00  2.0444561E-01
   7122.33  2.1537746E-01
   7122.67  2.2501476E-01
   7123.00  2.3401429E-01
   7123.33  2.4557339E-01
   7123.67  2.6157184E-01
   7124.00  2.8207205E-01
   7124.33  3.0570099E-01
   7124.67  3.2998009E-01
   7125.00  3.5443521E-01
   7125.33  3.8095415E-01
   7125.67  4.1164934E-01
   7126.00  4.4735656E-01
   7126.33  4.8690606E-01
   7126.67  5.2536524E-01
   7127.00  5.5795774E-01
   7127.33  5.7990858E-01
   7127.67  5.9290522E-01
   7128.00  6.0032778E-01
   7128.33  6.0711964E-01
   7128.67  6.1701998E-01
   7129.00  6.3126896E-01
   7129.33  6.5006715E-01
   7129.67  6.7173476E-01
   7130.00  6.9523424E-01
   7130.33  7.1969044E-01
   7130.67  7.4403456E-01
   7131.00  7.6735562E-01
   7131.33  7.8877598E-01
   7131.67  8.0878604E-01
   7132.00  8.2801146E-01
   7132.33  8.4639883E-01
   7132.67  8.6297425E-01
   7133.00  8.7652965E-01
   7133.33  8.8561551E-01
   7133.67  8.9033985E-01
   7134.00  8.9030290E-01
   7134.33  8.8298778E-01
   7134.67  8.6634247E-01
   7135.00  8.3938102E-01
   7135.33  8.0376263E-01
   7135.67  7.6493148E-01
   7136.00  7.2592832E-01
   7136.33  6.8895182E-01
   7136.67  6.5466791E-01
   7137.00  6.2344035E-01
   7137.33  5.9587674E-01
   7137.67  5.7159322E-01
   7138.00  5.5048827E-01
   7138.33  5.3271533E-01
   7138.67  5.1764600E-01
   7139.00  5.0506160E-01
   7139.33  4.9501432E-01
   7139.67  4.8703277E-01
   7140.00  4.8097769E-01
   7140.33  4.7692027E-01
   7140.67  4.7449697E-01
   7141.00  4.7359572E-01
   7141.33  4.7426739E-01
   7141.67  4.7620039E-01
   7142.00  4.7923642E-01
   7142.33  4.8319582E-01
   7142.67  4.8754724E-01
   7143.00  4.9180925E-01
   7143.33  4.9528720E-01
   7143.67  4.9757148E-01
   7144.00  4.9844238E-01
   7144.33  4.9774687E-01
   7144.67  4.9590648E-01
   7145.00  4.9321427E-01
   7145.33  4.8990306E-01
   7145.67  4.8627547E-01
   7146.00  4.8249912E-01
   7146.33  4.7876308E-01
   7146.67  4.7525079E-01
   7147.00  4.7211970E-01
   7147.33  4.6960028E-01
   7147.67  4.6775143E-01
   7148.00  4.6664929E-01
   7148.33  4.6644828E-01
   7148.67  4.6707063E-01
   7149.00  4.6851239E-01
   7149.33  4.7084886E-01
   7149.67  4.7394164E-01
   7150.00  4.7774788E-01
   7150.33  4.8228939E-01
   7150.67  4.8741366E-01
   7151.00  4.9305077E-01
   7151.33  4.9916099E-01
   7151.67  5.0558748E-01
   7152.00  5.1223136E-01
   7152.33  5.1897983E-01
   7152.67  5.2568937E-01
   7153.00  5.3224335E-01
   7153.33  5.3846769E-01
   7153.67  5.4426056E-01
   7154.00  5.4950774E-01
   7154.33  5.5400797E-01
   7154.67  5.5774527E-01
   7155.00  5.6065055E-01
   7155.33  5.6254988E-01
   7155.67  5.6351233E-01
   7156.00  5.6351719E-01
   7156.33  5.6243991E-01
   7156.67  5.6041892E-01
   7157.00  5.5748841E-01
   7157.33  5.5360367E-01
   7157.67  5.4895417E-01
   7158.00  5.4362722E-01
   7158.33  5.3766857E-01
   7158.67  5.3127443E-01
   7159.00  5.2455592E-01
   7159.33  5.1761565E-01
   7159.67  5.1059958E-01
   7160.00  5.0360482E-01
   7160.33  4.9674965E-01
   7160.67  4.9010898E-01
   7161.00  4.8374978E-01
   7161.33  4.7778138E-01
   7161.67  4.7221380E-01
   7162.00  4.6708276E-01
   7162.33  4.6247071E-01
   7162.67  4.5832577E-01
   7163.00  4.5464104E-01
   7163.33  4.5144910E-01
   7163.67  4.4865748E-01
   7164.00  4.4622344E-01
   7164.33  4.4412700E-01
   7164.67  4.4227011E-01
   7165.00  4.4060148E-01
   7165.33  4.3908149E-01
   7165.67  4.3764492E-01
   7166.00  4.3625720E-01
   7166.33  4.3488900E-01
   7166.67  4.3351612E-01
   7167.00  4.3212745E-01
   7167.33  4.3071710E-01
   7167.67  4.2929415E-01
   7168.00  4.2787195E-01
   7168.33  4.2647625E-01
   7168.67  4.2513067E-01
   7169.00  4.2385798E-01
   7169.33  4.2269920E-01
   7169.67  4.2167071E-01
   7170.00  4.2079357E-01
   7170.33  4.2010514E-01
   7170.67  4.1959029E-01
   7171.00  4.1924408E-01
   7171.33  4.1906431E-01
   7171.67  4.1899034E-01
   7172.00  4.1896604E-01
