    FDMNES
    energy     <xanes>
   7097.00  5.3614138E-03
   7097.33  5.4975531E-03
   7097.67  5.6403145E-03
   7098.00  5.7901762E-03
   7098.33  5.9487228E-03
   7098.67  6.1156839E-03
   7099.00  6.2917243E-03
   7099.33  6.4789559E-03
   7099.67  6.6771193E-03
   7100.00  6.8871655E-03
   7100.33  7.1119928E-03
   7100.67  7.3513996E-03
   7101.00  7.6067943E-03
   7101.33  7.8822952E-03
   7101.67  8.1778607E-03
   7102.00  8.4956649E-03
   7102.33  8.8418097E-03
   7102.67  9.2166425E-03
   7103.00  9.6236897E-03
   7103.33  1.0072469E-02
   7103.67  1.0564246E-02
   7104.00  1.1105104E-02
   7104.33  1.1710868E-02
   7104.67  1.2385033E-02
   7105.00  1.3138926E-02
   7105.33  1.4001122E-02
   7105.67  1.4980866E-02
   7106.00  1.6101495E-02
   7106.33  1.7420511E-02
   7106.67  1.8963725E-02
   7107.00  2.0786223E-02
   7107.33  2.3022596E-02
   7107.67  2.5754889E-02
   7108.00  2.9141407E-02
   7108.33  3.3576083E-02
   7108.67  3.9388357E-02
   7109.00  4.7195522E-02
   7109.33  5.8646834E-02
   7109.67  7.5709893E-02
   7110.00  1.0225911E-01
   7110.33  1.4940485E-01
   7110.67  2.2721618E-01
   7111.00  3.2873407E-01
   7111.33  4.0783247E-01
   7111.67  4.7412622E-01
   7112.00  5.2633172E-01
   7112.33  4.9035933E-01
   7112.67  4.0977419E-01
   7113.00  3.2756714E-01
   7113.33  2.5707837E-01
   7113.67  2.0233835E-01
   7114.00  1.6302755E-01
   7114.33  1.3635689E-01
   7114.67  1.1726588E-01
   7115.00  1.0395983E-01
   7115.33  9.5788900E-02
   7115.67  9.0899889E-02
   7116.00  8.8156967E-02
   7116.33  8.7136228E-02
   7116.67  8.7687454E-02
   7117.00  9.0010220E-02
   7117.33  9.4478898E-02
   7117.67  1.0062847E-01
   7118.00  1.0819602E-01
   7118.33  1.1819550E-01
   7118.67  1.3226887E-01
   7119.00  1.5174665E-01
   7119.33  1.7646508E-01
   7119.67  2.0212138E-01
   7120.00  2.2562095E-01
   7120.33  2.4661706E-01
   7120.67  2.6829492E-01
   7121.00  2.9261486E-01
   7121.33  3.1938731E-01
   7121.67  3.4708804E-01
   7122.00  3.7707346E-01
   7122.33  4.1514078E-01
   7122.67  4.6568568E-01
   7123.00  5.3114983E-01
   7123.33  6.0893166E-01
   7123.67  6.7788028E-01
   7124.00  7.0976862E-01
   7124.33  6.8398828E-01
   7124.67  6.3235652E-01
   7125.00  5.8389147E-01
   7125.33  5.5689168E-01
   7125.67  5.4763974E-01
   7126.00  5.4825735E-01
   7126.33  5.5230810E-01
   7126.67  5.6269630E-01
   7127.00  5.8438365E-01
   7127.33  6.1484169E-01
   7127.67  6.4192945E-01
   7128.00  6.5794666E-01
   7128.33  6.5889756E-01
   7128.67  6.4797277E-01
   7129.00  6.2707993E-01
   7129.33  5.9898880E-01
   7129.67  5.6986135E-01
   7130.00  5.4430544E-01
   7130.33  5.2681327E-01
   7130.67  5.1799205E-01
   7131.00  5.1807583E-01
   7131.33  5.2786046E-01
   7131.67  5.4557242E-01
   7132.00  5.7016607E-01
   7132.33  6.0041443E-01
   7132.67  6.3341867E-01
   7133.00  6.6727891E-01
   7133.33  6.9934755E-01
   7133.67  7.2537878E-01
   7134.00  7.3953285E-01
   7134.33  7.3580222E-01
   7134.67  7.2067163E-01
   7135.00  7.0239670E-01
   7135.33  6.8918737E-01
   7135.67  6.8220093E-01
   7136.00  6.7825226E-01
   7136.33  6.7089461E-01
   7136.67  6.5658480E-01
   7137.00  6.3583222E-01
   7137.33  6.1192813E-01
   7137.67  5.8909486E-01
   7138.00  5.6950749E-01
   7138.33  5.5483768E-01
   7138.67  5.4455606E-01
   7139.00  5.3805899E-01
   7139.33  5.3443754E-01
   7139.67  5.3180766E-01
   7140.00  5.2882387E-01
   7140.33  5.2409180E-01
   7140.67  5.1728585E-01
   7141.00  5.0855363E-01
   7141.33  4.9842199E-01
   7141.67  4.8796354E-01
   7142.00  4.7792120E-01
   7142.33  4.6907524E-01
   7142.67  4.6165520E-01
   7143.00  4.5576689E-01
   7143.33  4.5154255E-01
   7143.67  4.4862535E-01
   7144.00  4.4681812E-01
   7144.33  4.4597463E-01
   7144.67  4.4572735E-01
   7145.00  4.4586168E-01
   7145.33  4.4619562E-01
   7145.67  4.4656742E-01
   7146.00  4.4689005E-01
   7146.33  4.4707113E-01
   7146.67  4.4707801E-01
   7147.00  4.4689436E-01
   7147.33  4.4650974E-01
   7147.67  4.4599337E-01
   7148.00  4.4540976E-01
   7148.33  4.4485273E-01
   7148.67  4.4441196E-01
   7149.00  4.4415766E-01
   7149.33  4.4418245E-01
   7149.67  4.4448877E-01
   7150.00  4.4508044E-01
   7150.33  4.4596467E-01
   7150.67  4.4705196E-01
   7151.00  4.4826931E-01
   7151.33  4.4950862E-01
   7151.67  4.5063400E-01
   7152.00  4.5151826E-01
   7152.33  4.5195810E-01
   7152.67  4.5185401E-01
   7153.00  4.5109148E-01
   7153.33  4.4946704E-01
   7153.67  4.4700369E-01
   7154.00  4.4366770E-01
   7154.33  4.3933798E-01
   7154.67  4.3413862E-01
   7155.00  4.2809702E-01
   7155.33  4.2116178E-01
   7155.67  4.1349855E-01
   7156.00  4.0518224E-01
   7156.33  3.9625693E-01
   7156.67  3.8692993E-01
   7157.00  3.7734303E-01
   7157.33  3.6767484E-01
   7157.67  3.5813909E-01
   7158.00  3.4891656E-01
   7158.33  3.4027448E-01
   7158.67  3.3232974E-01
   7159.00  3.2521246E-01
