    FDMNES
    energy     <xanes>
   7097.00  4.7451311E-03
   7097.33  4.8476505E-03
   7097.67  4.9544064E-03
   7098.00  5.0656642E-03
   7098.33  5.1823692E-03
   7098.67  5.3042929E-03
   7099.00  5.4317916E-03
   7099.33  5.5660792E-03
   7099.67  5.7069156E-03
   7100.00  5.8547911E-03
   7100.33  6.0113042E-03
   7100.67  6.1762176E-03
   7101.00  6.3502270E-03
   7101.33  6.5355017E-03
   7101.67  6.7318400E-03
   7102.00  6.9402671E-03
   7102.33  7.1638349E-03
   7102.67  7.4024539E-03
   7103.00  7.6577025E-03
   7103.33  7.9340734E-03
   7103.67  8.2317629E-03
   7104.00  8.5533413E-03
   7104.33  8.9058093E-03
   7104.67  9.2900705E-03
   7105.00  9.7106170E-03
   7105.33  1.0179198E-02
   7105.67  1.0698524E-02
   7106.00  1.1277215E-02
   7106.33  1.1937064E-02
   7106.67  1.2685828E-02
   7107.00  1.3542326E-02
   7107.33  1.4553153E-02
   7107.67  1.5742469E-02
   7108.00  1.7159956E-02
   7108.33  1.8929299E-02
   7108.67  2.1143245E-02
   7109.00  2.3979406E-02
   7109.33  2.7907506E-02
   7109.67  3.3453233E-02
   7110.00  4.1651573E-02
   7110.33  5.5433867E-02
   7110.67  7.7320154E-02
   7111.00  1.0548687E-01
   7111.33  1.3014851E-01
   7111.67  1.5340146E-01
   7112.00  1.7909194E-01
   7112.33  2.0479758E-01
   7112.67  2.1696472E-01
   7113.00  2.1092551E-01
   7113.33  2.0411962E-01
   7113.67  2.1210033E-01
   7114.00  2.3040797E-01
   7114.33  2.3530286E-01
   7114.67  2.2174550E-01
   7115.00  2.0854484E-01
   7115.33  2.0624500E-01
   7115.67  2.0077025E-01
   7116.00  1.8547921E-01
   7116.33  1.6824287E-01
   7116.67  1.5743657E-01
   7117.00  1.5645279E-01
   7117.33  1.6875189E-01
   7117.67  1.9250181E-01
   7118.00  2.2229398E-01
   7118.33  2.4216061E-01
   7118.67  2.4144260E-01
