    FDMNES
    energy     <xanes>
   7097.00  4.4341597E-03
   7097.33  4.5267429E-03
   7097.67  4.6229919E-03
   7098.00  4.7231281E-03
   7098.33  4.8279555E-03
   7098.67  4.9372656E-03
   7099.00  5.0513536E-03
   7099.33  5.1712441E-03
   7099.67  5.2967166E-03
   7100.00  5.4281748E-03
   7100.33  5.5669581E-03
   7100.67  5.7128452E-03
   7101.00  5.8664067E-03
   7101.33  6.0294467E-03
   7101.67  6.2017709E-03
   7102.00  6.3842169E-03
   7102.33  6.5793088E-03
   7102.67  6.7869418E-03
   7103.00  7.0084056E-03
   7103.33  7.2474017E-03
   7103.67  7.5040631E-03
   7104.00  7.7804962E-03
   7104.33  8.0824691E-03
   7104.67  8.4107157E-03
   7105.00  8.7689483E-03
   7105.33  9.1669026E-03
   7105.67  9.6068821E-03
   7106.00  1.0096123E-02
   7106.33  1.0652933E-02
   7106.67  1.1284112E-02
   7107.00  1.2005851E-02
   7107.33  1.2858277E-02
   7107.67  1.3863228E-02
   7108.00  1.5064965E-02
   7108.33  1.6574017E-02
   7108.67  1.8477033E-02
   7109.00  2.0938892E-02
   7109.33  2.4397963E-02
   7109.67  2.9359076E-02
   7110.00  3.6818062E-02
   7110.33  4.9663737E-02
   7110.67  7.1003886E-02
   7111.00  1.0131340E-01
   7111.33  1.2846132E-01
   7111.67  1.3938113E-01
   7112.00  1.3403928E-01
   7112.33  1.2530132E-01
   7112.67  1.2258296E-01
   7113.00  1.2671124E-01
   7113.33  1.3888691E-01
   7113.67  1.5991832E-01
   7114.00  1.8025545E-01
   7114.33  1.6738303E-01
   7114.67  1.3652214E-01
   7115.00  1.1333864E-01
   7115.33  1.0364723E-01
   7115.67  1.0118830E-01
   7116.00  1.0371899E-01
   7116.33  1.1138454E-01
   7116.67  1.2331423E-01
   7117.00  1.3835656E-01
   7117.33  1.5445980E-01
   7117.67  1.7015662E-01
   7118.00  1.8656064E-01
   7118.33  2.0718751E-01
   7118.67  2.3268502E-01
   7119.00  2.6043350E-01
   7119.33  2.8448959E-01
   7119.67  3.0176787E-01
   7120.00  3.1328097E-01
   7120.33  3.2198077E-01
   7120.67  3.3030365E-01
   7121.00  3.3881748E-01
   7121.33  3.4715960E-01
   7121.67  3.5401231E-01
   7122.00  3.5787863E-01
   7122.33  3.5765976E-01
   7122.67  3.5523582E-01
   7123.00  3.5210091E-01
   7123.33  3.4791588E-01
   7123.67  3.4179236E-01
