    FDMNES
    energy     <xanes>
   7097.00  4.9412663E-03
   7097.33  5.0572551E-03
   7097.67  5.1784434E-03
   7098.00  5.3051766E-03
   7098.33  5.4386465E-03
   7098.67  5.5785971E-03
   7099.00  5.7254952E-03
   7099.33  5.8808886E-03
   7099.67  6.0445101E-03
   7100.00  6.2170062E-03
   7100.33  6.4004359E-03
   7100.67  6.5945397E-03
   7101.00  6.8002395E-03
   7101.33  7.0203529E-03
   7101.67  7.2546714E-03
   7102.00  7.5045545E-03
   7102.33  7.7739912E-03
   7102.67  8.0629191E-03
   7103.00  8.3734271E-03
   7103.33  8.7114004E-03
   7103.67  9.0771371E-03
   7104.00  9.4740114E-03
   7104.33  9.9111635E-03
   7104.67  1.0389756E-02
   7105.00  1.0915594E-02
   7105.33  1.1503838E-02
   7105.67  1.2157786E-02
   7106.00  1.2888286E-02
   7106.33  1.3722785E-02
   7106.67  1.4670289E-02
   7107.00  1.5753502E-02
   7107.33  1.7028628E-02
   7107.67  1.8522155E-02
   7108.00  2.0290215E-02
   7108.33  2.2471561E-02
   7108.67  2.5159914E-02
   7109.00  2.8536575E-02
   7109.33  3.3070503E-02
   7109.67  3.9234317E-02
   7110.00  4.7949096E-02
   7110.33  6.1806487E-02
   7110.67  8.3494936E-02
   7111.00  1.1434891E-01
   7111.33  1.5113054E-01
   7111.67  1.9095895E-01
   7112.00  2.3219920E-01
   7112.33  2.6763272E-01
   7112.67  3.0045803E-01
   7113.00  3.3460259E-01
   7113.33  3.6829143E-01
   7113.67  4.0620018E-01
   7114.00  4.4524383E-01
   7114.33  4.6232478E-01
   7114.67  4.5173856E-01
   7115.00  4.1827149E-01
   7115.33  3.6791305E-01
   7115.67  3.1656961E-01
   7116.00  2.7373919E-01
   7116.33  2.4401435E-01
   7116.67  2.2428465E-01
   7117.00  2.1174237E-01
   7117.33  2.0296736E-01
   7117.67  1.9335624E-01
   7118.00  1.7988538E-01
   7118.33  1.6270372E-01
   7118.67  1.4655534E-01
   7119.00  1.3390225E-01
   7119.33  1.2544609E-01
   7119.67  1.1992203E-01
   7120.00  1.1658031E-01
   7120.33  1.1493351E-01
   7120.67  1.1445043E-01
   7121.00  1.1506956E-01
   7121.33  1.1718183E-01
   7121.67  1.2121463E-01
   7122.00  1.2770953E-01
   7122.33  1.3718474E-01
   7122.67  1.4884204E-01
   7123.00  1.6157051E-01
   7123.33  1.7312419E-01
   7123.67  1.8252887E-01
   7124.00  1.9106116E-01
   7124.33  2.0113244E-01
   7124.67  2.1320301E-01
   7125.00  2.2669465E-01
   7125.33  2.4113449E-01
   7125.67  2.5662146E-01
   7126.00  2.7401982E-01
   7126.33  2.9502307E-01
   7126.67  3.1941363E-01
   7127.00  3.4478859E-01
   7127.33  3.6497856E-01
   7127.67  3.7718589E-01
   7128.00  3.8345030E-01
   7128.33  3.8887195E-01
   7128.67  3.9769698E-01
   7129.00  4.1199532E-01
   7129.33  4.3378851E-01
   7129.67  4.6222166E-01
   7130.00  4.9655896E-01
   7130.33  5.3667272E-01
   7130.67  5.8129266E-01
   7131.00  6.2914783E-01
   7131.33  6.7781631E-01
   7131.67  7.2452979E-01
   7132.00  7.6721916E-01
   7132.33  8.0292927E-01
   7132.67  8.3111115E-01
   7133.00  8.5168313E-01
   7133.33  8.6453076E-01
   7133.67  8.7183568E-01
   7134.00  8.7507946E-01
   7134.33  8.7549579E-01
   7134.67  8.7399846E-01
   7135.00  8.7026322E-01
   7135.33  8.6329069E-01
   7135.67  8.5330009E-01
   7136.00  8.4054707E-01
   7136.33  8.2462156E-01
   7136.67  8.0508809E-01
   7137.00  7.8125014E-01
   7137.33  7.5278193E-01
   7137.67  7.2175382E-01
   7138.00  6.9010950E-01
   7138.33  6.6014753E-01
   7138.67  6.3311440E-01
   7139.00  6.0964665E-01
   7139.33  5.9047238E-01
   7139.67  5.7509030E-01
   7140.00  5.6338864E-01
   7140.33  5.5560300E-01
   7140.67  5.5100155E-01
   7141.00  5.4923797E-01
   7141.33  5.5011834E-01
   7141.67  5.5281646E-01
   7142.00  5.5686458E-01
   7142.33  5.6180871E-01
   7142.67  5.6698594E-01
   7143.00  5.7191793E-01
   7143.33  5.7600090E-01
   7143.67  5.7893510E-01
   7144.00  5.8052592E-01
   7144.33  5.8058287E-01
   7144.67  5.7946505E-01
   7145.00  5.7745887E-01
   7145.33  5.7493474E-01
   7145.67  5.7239575E-01
   7146.00  5.7015137E-01
   7146.33  5.6844951E-01
   7146.67  5.6719128E-01
   7147.00  5.6617855E-01
   7147.33  5.6504576E-01
   7147.67  5.6342037E-01
   7148.00  5.6101252E-01
   7148.33  5.5747619E-01
   7148.67  5.5288392E-01
   7149.00  5.4731990E-01
   7149.33  5.4092832E-01
   7149.67  5.3415557E-01
   7150.00  5.2736439E-01
   7150.33  5.2105617E-01
   7150.67  5.1556519E-01
   7151.00  5.1113460E-01
   7151.33  5.0808798E-01
   7151.67  5.0632027E-01
   7152.00  5.0578715E-01
   7152.33  5.0649488E-01
   7152.67  5.0811777E-01
   7153.00  5.1048395E-01
   7153.33  5.1348052E-01
   7153.67  5.1687347E-01
   7154.00  5.2053837E-01
   7154.33  5.2437244E-01
   7154.67  5.2825974E-01
   7155.00  5.3213143E-01
   7155.33  5.3590473E-01
   7155.67  5.3951787E-01
   7156.00  5.4290004E-01
   7156.33  5.4591148E-01
   7156.67  5.4847748E-01
   7157.00  5.5049067E-01
   7157.33  5.5174715E-01
   7157.67  5.5223614E-01
   7158.00  5.5191080E-01
   7158.33  5.5066669E-01
   7158.67  5.4866382E-01
   7159.00  5.4599710E-01
   7159.33  5.4275581E-01
   7159.67  5.3918736E-01
   7160.00  5.3545901E-01
   7160.33  5.3176177E-01
   7160.67  5.2825393E-01
   7161.00  5.2504319E-01
   7161.33  5.2225468E-01
   7161.67  5.1986478E-01
   7162.00  5.1785521E-01
   7162.33  5.1619967E-01
   7162.67  5.1474788E-01
   7163.00  5.1339213E-01
   7163.33  5.1200419E-01
   7163.67  5.1046369E-01
   7164.00  5.0866991E-01
   7164.33  5.0647543E-01
   7164.67  5.0384486E-01
   7165.00  5.0073245E-01
   7165.33  4.9705255E-01
   7165.67  4.9287938E-01
   7166.00  4.8824586E-01
   7166.33  4.8316380E-01
   7166.67  4.7776487E-01
   7167.00  4.7212939E-01
   7167.33  4.6634086E-01
   7167.67  4.6052478E-01
   7168.00  4.5477135E-01
   7168.33  4.4919211E-01
   7168.67  4.4384331E-01
   7169.00  4.3877645E-01
   7169.33  4.3407873E-01
   7169.67  4.2974063E-01
   7170.00  4.2577844E-01
   7170.33  4.2224961E-01
   7170.67  4.1910900E-01
   7171.00  4.1635735E-01
   7171.33  4.1404656E-01
   7171.67  4.1213879E-01
   7172.00  4.1064901E-01
