    FDMNES
    energy     <xanes>
   7097.00  4.6321255E-03
   7097.33  4.7327766E-03
   7097.67  4.8376229E-03
   7098.00  4.9469344E-03
   7098.33  5.0616597E-03
   7098.67  5.1815840E-03
   7099.00  5.3070742E-03
   7099.33  5.4393624E-03
   7099.67  5.5782292E-03
   7100.00  5.7241890E-03
   7100.33  5.8788881E-03
   7100.67  6.0421244E-03
   7101.00  6.2146449E-03
   7101.33  6.3987274E-03
   7101.67  6.5942356E-03
   7102.00  6.8023015E-03
   7102.33  7.0262155E-03
   7102.67  7.2660174E-03
   7103.00  7.5235147E-03
   7103.33  7.8037212E-03
   7103.67  8.1071130E-03
   7104.00  8.4367694E-03
   7104.33  8.8008667E-03
   7104.67  9.2009689E-03
   7105.00  9.6427719E-03
   7105.33  1.0140836E-02
   7105.67  1.0699603E-02
   7106.00  1.1330809E-02
   7106.33  1.2063626E-02
   7106.67  1.2910987E-02
   7107.00  1.3900923E-02
   7107.33  1.5102345E-02
   7107.67  1.6558028E-02
   7108.00  1.8350852E-02
   7108.33  2.0688807E-02
   7108.67  2.3752775E-02
   7109.00  2.7883896E-02
   7109.33  3.4008770E-02
   7109.67  4.3289014E-02
   7110.00  5.8036895E-02
   7110.33  8.4880030E-02
   7110.67  1.2874010E-01
   7111.00  1.7947904E-01
   7111.33  1.9688901E-01
   7111.67  1.8572202E-01
   7112.00  1.6816202E-01
   7112.33  1.6758594E-01
   7112.67  1.9089049E-01
   7113.00  2.1681391E-01
   7113.33  1.9480322E-01
   7113.67  1.4785868E-01
   7114.00  1.0958867E-01
   7114.33  8.7665305E-02
   7114.67  7.4834991E-02
   7115.00  6.7636806E-02
   7115.33  6.4313662E-02
   7115.67  6.3376312E-02
   7116.00  6.4388614E-02
   7116.33  6.7335773E-02
   7116.67  7.1867289E-02
   7117.00  7.7846296E-02
   7117.33  8.5432575E-02
   7117.67  9.4711403E-02
   7118.00  1.0587732E-01
   7118.33  1.1905006E-01
   7118.67  1.3360156E-01
   7119.00  1.4907855E-01
   7119.33  1.6508226E-01
   7119.67  1.8140904E-01
   7120.00  1.9834813E-01
   7120.33  2.1691573E-01
   7120.67  2.3798271E-01
   7121.00  2.6213994E-01
   7121.33  2.8947038E-01
   7121.67  3.1821425E-01
   7122.00  3.4669465E-01
   7122.33  3.7318282E-01
   7122.67  3.9783896E-01
   7123.00  4.2182551E-01
   7123.33  4.4714105E-01
   7123.67  4.7495502E-01
   7124.00  5.0552059E-01
   7124.33  5.3834904E-01
   7124.67  5.7144054E-01
   7125.00  6.0242273E-01
   7125.33  6.2710369E-01
   7125.67  6.4401565E-01
   7126.00  6.5355919E-01
   7126.33  6.5604355E-01
   7126.67  6.5209024E-01
   7127.00  6.4160312E-01
   7127.33  6.2536081E-01
   7127.67  6.0668604E-01
   7128.00  5.8817397E-01
   7128.33  5.7276080E-01
   7128.67  5.6186849E-01
   7129.00  5.5637081E-01
   7129.33  5.5735842E-01
   7129.67  5.6390503E-01
   7130.00  5.7550571E-01
   7130.33  5.9184332E-01
   7130.67  6.1132851E-01
   7131.00  6.3289940E-01
   7131.33  6.5527383E-01
   7131.67  6.7687792E-01
   7132.00  6.9636385E-01
   7132.33  7.1168392E-01
   7132.67  7.2190098E-01
   7133.00  7.2619934E-01
   7133.33  7.2359153E-01
   7133.67  7.1557030E-01
   7134.00  7.0345661E-01
   7134.33  6.8887332E-01
   7134.67  6.7377518E-01
   7135.00  6.5920438E-01
   7135.33  6.4608920E-01
   7135.67  6.3465090E-01
   7136.00  6.2499079E-01
   7136.33  6.1725315E-01
   7136.67  6.1101835E-01
   7137.00  6.0604509E-01
   7137.33  6.0214333E-01
   7137.67  5.9890100E-01
   7138.00  5.9611056E-01
   7138.33  5.9364161E-01
   7138.67  5.9138468E-01
   7139.00  5.8934661E-01
   7139.33  5.8763397E-01
   7139.67  5.8631191E-01
   7140.00  5.8544269E-01
   7140.33  5.8507990E-01
   7140.67  5.8509639E-01
   7141.00  5.8538385E-01
   7141.33  5.8576633E-01
   7141.67  5.8598780E-01
   7142.00  5.8580867E-01
   7142.33  5.8486939E-01
   7142.67  5.8303356E-01
   7143.00  5.8019226E-01
   7143.33  5.7621291E-01
   7143.67  5.7134398E-01
   7144.00  5.6576908E-01
   7144.33  5.5969259E-01
   7144.67  5.5343430E-01
   7145.00  5.4719550E-01
   7145.33  5.4118111E-01
   7145.67  5.3548476E-01
   7146.00  5.3016656E-01
   7146.33  5.2531056E-01
   7146.67  5.2087019E-01
   7147.00  5.1683580E-01
   7147.33  5.1323635E-01
   7147.67  5.1000637E-01
   7148.00  5.0713527E-01
   7148.33  5.0463950E-01
   7148.67  5.0244015E-01
   7149.00  5.0050205E-01
   7149.33  4.9880986E-01
   7149.67  4.9729385E-01
   7150.00  4.9592016E-01
   7150.33  4.9466818E-01
   7150.67  4.9349746E-01
   7151.00  4.9239096E-01
   7151.33  4.9134156E-01
   7151.67  4.9033453E-01
   7152.00  4.8936496E-01
   7152.33  4.8843369E-01
   7152.67  4.8753112E-01
   7153.00  4.8664261E-01
   7153.33  4.8573457E-01
   7153.67  4.8476068E-01
   7154.00  4.8366972E-01
   7154.33  4.8237231E-01
   7154.67  4.8081717E-01
   7155.00  4.7893777E-01
   7155.33  4.7661026E-01
   7155.67  4.7382207E-01
   7156.00  4.7053518E-01
   7156.33  4.6666539E-01
   7156.67  4.6229120E-01
   7157.00  4.5745332E-01
   7157.33  4.5218257E-01
   7157.67  4.4663307E-01
   7158.00  4.4091026E-01
   7158.33  4.3513793E-01
   7158.67  4.2944825E-01
   7159.00  4.2394069E-01
   7159.33  4.1874942E-01
   7159.67  4.1391825E-01
   7160.00  4.0949834E-01
   7160.33  4.0558732E-01
   7160.67  4.0215333E-01
   7161.00  3.9920632E-01
   7161.33  3.9680585E-01
   7161.67  3.9487802E-01
   7162.00  3.9340328E-01
   7162.33  3.9239982E-01
   7162.67  3.9176624E-01
   7163.00  3.9145772E-01
   7163.33  3.9146173E-01
   7163.67  3.9168989E-01
   7164.00  3.9208538E-01
   7164.33  3.9259614E-01
   7164.67  3.9316139E-01
   7165.00  3.9375127E-01
   7165.33  3.9434279E-01
   7165.67  3.9492496E-01
   7166.00  3.9549698E-01
   7166.33  3.9606487E-01
   7166.67  3.9664106E-01
   7167.00  3.9723831E-01
   7167.33  3.9787778E-01
   7167.67  3.9857193E-01
   7168.00  3.9933540E-01
   7168.33  4.0019573E-01
   7168.67  4.0115925E-01
   7169.00  4.0224064E-01
   7169.33  4.0347238E-01
   7169.67  4.0484993E-01
   7170.00  4.0637876E-01
   7170.33  4.0807466E-01
   7170.67  4.0990186E-01
   7171.00  4.1182799E-01
   7171.33  4.1378347E-01
   7171.67  4.1562729E-01
   7172.00  4.1717767E-01
