    FDMNES
    energy     <xanes>
   7097.00  4.6163982E-03
   7097.33  4.7223658E-03
   7097.67  4.8333343E-03
   7098.00  4.9496670E-03
   7098.33  5.0725638E-03
   7098.67  5.2018241E-03
   7099.00  5.3379540E-03
   7099.33  5.4825574E-03
   7099.67  5.6354440E-03
   7100.00  5.7973406E-03
   7100.33  5.9704546E-03
   7100.67  6.1546430E-03
   7101.00  6.3509856E-03
   7101.33  6.5626286E-03
   7101.67  6.7895562E-03
   7102.00  7.0334398E-03
   7102.33  7.2989550E-03
   7102.67  7.5863904E-03
   7103.00  7.8984630E-03
   7103.33  8.2424850E-03
   7103.67  8.6194584E-03
   7104.00  9.0340742E-03
   7104.33  9.4985145E-03
   7104.67  1.0015500E-02
   7105.00  1.0593769E-02
   7105.33  1.1255323E-02
   7105.67  1.2007304E-02
   7106.00  1.2867672E-02
   7106.33  1.3880654E-02
   7106.67  1.5066039E-02
   7107.00  1.6466066E-02
   7107.33  1.8183861E-02
   7107.67  2.0281908E-02
   7108.00  2.2880858E-02
   7108.33  2.6280657E-02
   7108.67  3.0730436E-02
   7109.00  3.6697116E-02
   7109.33  4.5426578E-02
   7109.67  5.8397653E-02
   7110.00  7.8519946E-02
   7110.33  1.1409942E-01
   7110.67  1.7236757E-01
   7111.00  2.4734688E-01
   7111.33  3.0702942E-01
   7111.67  3.5855819E-01
   7112.00  4.0655575E-01
   7112.33  4.1587941E-01
   7112.67  3.7175890E-01
   7113.00  2.9309668E-01
   7113.33  2.1862901E-01
   7113.67  1.6462759E-01
   7114.00  1.2954599E-01
   7114.33  1.0953672E-01
   7114.67  9.8242307E-02
   7115.00  9.1375144E-02
   7115.33  8.3438509E-02
   7115.67  7.4444916E-02
   7116.00  6.7305347E-02
   7116.33  6.3361663E-02
   7116.67  6.1656555E-02
   7117.00  6.1643463E-02
   7117.33  6.3124188E-02
   7117.67  6.5785312E-02
   7118.00  6.9393541E-02
   7118.33  7.3400026E-02
   7118.67  7.7246239E-02
   7119.00  8.0848884E-02
   7119.33  8.4498526E-02
   7119.67  8.8596886E-02
   7120.00  9.3422858E-02
   7120.33  9.9416407E-02
   7120.67  1.0688108E-01
   7121.00  1.1622171E-01
   7121.33  1.2805946E-01
   7121.67  1.4226591E-01
   7122.00  1.5886331E-01
   7122.33  1.7836866E-01
   7122.67  2.0094526E-01
   7123.00  2.2667853E-01
   7123.33  2.5456409E-01
   7123.67  2.8192484E-01
   7124.00  3.0709093E-01
   7124.33  3.2941971E-01
   7124.67  3.4967290E-01
   7125.00  3.6778767E-01
   7125.33  3.8255324E-01
   7125.67  3.9308042E-01
   7126.00  3.9858266E-01
   7126.33  3.9875277E-01
   7126.67  3.9568413E-01
   7127.00  3.9083978E-01
   7127.33  3.8514484E-01
   7127.67  3.7885440E-01
   7128.00  3.7186077E-01
   7128.33  3.6432718E-01
   7128.67  3.5711995E-01
   7129.00  3.5115372E-01
   7129.33  3.4744803E-01
   7129.67  3.4585005E-01
   7130.00  3.4603978E-01
   7130.33  3.4775761E-01
   7130.67  3.5055136E-01
   7131.00  3.5427799E-01
   7131.33  3.5891442E-01
   7131.67  3.6425805E-01
   7132.00  3.7024875E-01
   7132.33  3.7692851E-01
   7132.67  3.8421571E-01
   7133.00  3.9213255E-01
   7133.33  4.0084708E-01
   7133.67  4.1041955E-01
   7134.00  4.2101000E-01
   7134.33  4.3292417E-01
   7134.67  4.4606887E-01
   7135.00  4.6036873E-01
   7135.33  4.7573619E-01
   7135.67  4.9182062E-01
   7136.00  5.0849994E-01
   7136.33  5.2582307E-01
   7136.67  5.4368527E-01
   7137.00  5.6189025E-01
   7137.33  5.7994075E-01
   7137.67  5.9723921E-01
   7138.00  6.1328699E-01
   7138.33  6.2739166E-01
   7138.67  6.3940248E-01
   7139.00  6.4910680E-01
   7139.33  6.5613844E-01
   7139.67  6.6095250E-01
   7140.00  6.6384338E-01
   7140.33  6.6507356E-01
   7140.67  6.6528954E-01
   7141.00  6.6484310E-01
   7141.33  6.6402221E-01
   7141.67  6.6311377E-01
   7142.00  6.6227482E-01
   7142.33  6.6167131E-01
   7142.67  6.6138638E-01
   7143.00  6.6150046E-01
   7143.33  6.6216468E-01
   7143.67  6.6341335E-01
   7144.00  6.6533758E-01
   7144.33  6.6815569E-01
   7144.67  6.7189477E-01
   7145.00  6.7665603E-01
   7145.33  6.8265989E-01
   7145.67  6.8977902E-01
   7146.00  6.9795800E-01
   7146.33  7.0718205E-01
   7146.67  7.1713203E-01
   7147.00  7.2757651E-01
   7147.33  7.3820545E-01
   7147.67  7.4861425E-01
   7148.00  7.5844733E-01
   7148.33  7.6717168E-01
   7148.67  7.7455442E-01
   7149.00  7.8037438E-01
   7149.33  7.8429729E-01
   7149.67  7.8655925E-01
   7150.00  7.8727946E-01
   7150.33  7.8649857E-01
   7150.67  7.8461439E-01
   7151.00  7.8181230E-01
   7151.33  7.7818039E-01
   7151.67  7.7394685E-01
   7152.00  7.6919531E-01
   7152.33  7.6393366E-01
   7152.67  7.5825340E-01
   7153.00  7.5216372E-01
   7153.33  7.4560392E-01
   7153.67  7.3860360E-01
   7154.00  7.3113179E-01
   7154.33  7.2307401E-01
   7154.67  7.1443990E-01
   7155.00  7.0518570E-01
   7155.33  6.9519163E-01
   7155.67  6.8452604E-01
   7156.00  6.7320124E-01
   7156.33  6.6118487E-01
   7156.67  6.4863138E-01
   7157.00  6.3563100E-01
   7157.33  6.2226705E-01
   7157.67  6.0871379E-01
   7158.00  5.9508771E-01
   7158.33  5.8152906E-01
   7158.67  5.6815499E-01
   7159.00  5.5506301E-01
   7159.33  5.4240368E-01
   7159.67  5.3021666E-01
   7160.00  5.1856731E-01
   7160.33  5.0759919E-01
   7160.67  4.9729711E-01
   7161.00  4.8770743E-01
   7161.33  4.7897101E-01
   7161.67  4.7103060E-01
   7162.00  4.6391399E-01
   7162.33  4.5775676E-01
   7162.67  4.5247331E-01
   7163.00  4.4807005E-01
   7163.33  4.4465087E-01
   7163.67  4.4208810E-01
   7164.00  4.4035530E-01
   7164.33  4.3950709E-01
   7164.67  4.3938773E-01
   7165.00  4.3993751E-01
   7165.33  4.4114959E-01
   7165.67  4.4286080E-01
   7166.00  4.4498953E-01
   7166.33  4.4747825E-01
   7166.67  4.5018996E-01
   7167.00  4.5304463E-01
   7167.33  4.5596811E-01
   7167.67  4.5888372E-01
   7168.00  4.6173571E-01
   7168.33  4.6445283E-01
   7168.67  4.6700752E-01
   7169.00  4.6937476E-01
   7169.33  4.7151369E-01
   7169.67  4.7344808E-01
   7170.00  4.7518629E-01
   7170.33  4.7672460E-01
   7170.67  4.7810829E-01
   7171.00  4.7935536E-01
   7171.33  4.8045973E-01
   7171.67  4.8142043E-01
   7172.00  4.8219413E-01
