    FDMNES
    energy     <xanes>
   7097.00  4.0230572E-03
   7097.33  4.1027031E-03
   7097.67  4.1854348E-03
   7098.00  4.2714454E-03
   7098.33  4.3614245E-03
   7098.67  4.4552078E-03
   7099.00  4.5530584E-03
   7099.33  4.6558693E-03
   7099.67  4.7634742E-03
   7100.00  4.8762432E-03
   7100.33  4.9953684E-03
   7100.67  5.1206980E-03
   7101.00  5.2527716E-03
   7101.33  5.3932407E-03
   7101.67  5.5420050E-03
   7102.00  5.6998870E-03
   7102.33  5.8692791E-03
   7102.67  6.0502164E-03
   7103.00  6.2440211E-03
   7103.33  6.4543556E-03
   7103.67  6.6815876E-03
   7104.00  6.9279848E-03
   7104.33  7.1995548E-03
   7104.67  7.4974883E-03
   7105.00  7.8260063E-03
   7105.33  8.1958696E-03
   7105.67  8.6104310E-03
   7106.00  9.0784196E-03
   7106.33  9.6214765E-03
   7106.67  1.0249269E-02
   7107.00  1.0982606E-02
   7107.33  1.1872506E-02
   7107.67  1.2950430E-02
   7108.00  1.4277138E-02
   7108.33  1.6004334E-02
   7108.67  1.8261113E-02
   7109.00  2.1289532E-02
   7109.33  2.5739187E-02
   7109.67  3.2397062E-02
   7110.00  4.2818187E-02
   7110.33  6.1523212E-02
   7110.67  9.3076627E-02
   7111.00  1.3610365E-01
   7111.33  1.6711372E-01
   7111.67  1.7498556E-01
   7112.00  1.6525976E-01
   7112.33  1.4144317E-01
   7112.67  1.1446562E-01
   7113.00  9.3801934E-02
   7113.33  8.4308681E-02
   7113.67  8.2960893E-02
   7114.00  8.6005642E-02
   7114.33  8.6052377E-02
   7114.67  7.8806196E-02
   7115.00  6.6303175E-02
   7115.33  5.5134774E-02
   7115.67  4.7490150E-02
   7116.00  4.2723478E-02
   7116.33  4.0066085E-02
   7116.67  3.8578594E-02
   7117.00  3.7847516E-02
   7117.33  3.7629941E-02
   7117.67  3.7770952E-02
   7118.00  3.8299643E-02
   7118.33  3.9322206E-02
   7118.67  4.0774987E-02
   7119.00  4.2587769E-02
   7119.33  4.4679626E-02
   7119.67  4.6978904E-02
   7120.00  4.9580793E-02
   7120.33  5.2788736E-02
   7120.67  5.6796582E-02
   7121.00  6.1792746E-02
   7121.33  6.8097504E-02
   7121.67  7.5721514E-02
   7122.00  8.4823844E-02
   7122.33  9.5855511E-02
   7122.67  1.0890251E-01
   7123.00  1.2427464E-01
   7123.33  1.4258922E-01
   7123.67  1.6348746E-01
   7124.00  1.8654536E-01
   7124.33  2.1116855E-01
   7124.67  2.3669359E-01
   7125.00  2.6309277E-01
   7125.33  2.9037296E-01
   7125.67  3.1845400E-01
   7126.00  3.4840465E-01
   7126.33  3.8323739E-01
   7126.67  4.2391602E-01
   7127.00  4.6949486E-01
   7127.33  5.1721736E-01
   7127.67  5.6366506E-01
   7128.00  6.0735387E-01
   7128.33  6.4836908E-01
   7128.67  6.8824674E-01
   7129.00  7.2768688E-01
   7129.33  7.6629439E-01
   7129.67  8.0262633E-01
   7130.00  8.3480206E-01
   7130.33  8.5928642E-01
   7130.67  8.7423355E-01
   7131.00  8.7862427E-01
   7131.33  8.7307371E-01
   7131.67  8.6287027E-01
   7132.00  8.5202820E-01
   7132.33  8.4451165E-01
   7132.67  8.4155573E-01
   7133.00  8.4287854E-01
   7133.33  8.4718864E-01
   7133.67  8.5165534E-01
   7134.00  8.5319626E-01
   7134.33  8.4736766E-01
   7134.67  8.3479512E-01
   7135.00  8.1839730E-01
   7135.33  8.0158873E-01
   7135.67  7.8598170E-01
   7136.00  7.7182538E-01
   7136.33  7.5925755E-01
   7136.67  7.4811018E-01
   7137.00  7.3845377E-01
   7137.33  7.3058083E-01
   7137.67  7.2436664E-01
   7138.00  7.1984703E-01
   7138.33  7.1722849E-01
   7138.67  7.1622038E-01
   7139.00  7.1666743E-01
   7139.33  7.1839409E-01
   7139.67  7.2077450E-01
   7140.00  7.2327490E-01
   7140.33  7.2513718E-01
   7140.67  7.2580821E-01
   7141.00  7.2491007E-01
   7141.33  7.2205438E-01
   7141.67  7.1760096E-01
   7142.00  7.1187747E-01
   7142.33  7.0529483E-01
   7142.67  6.9845707E-01
   7143.00  6.9172043E-01
   7143.33  6.8540288E-01
   7143.67  6.7956817E-01
   7144.00  6.7419961E-01
   7144.33  6.6922684E-01
   7144.67  6.6443152E-01
   7145.00  6.5964949E-01
   7145.33  6.5467644E-01
   7145.67  6.4937658E-01
   7146.00  6.4365061E-01
   7146.33  6.3736783E-01
   7146.67  6.3057141E-01
   7147.00  6.2328275E-01
   7147.33  6.1550601E-01
   7147.67  6.0737685E-01
   7148.00  5.9896986E-01
   7148.33  5.9033898E-01
   7148.67  5.8157386E-01
   7149.00  5.7272077E-01
   7149.33  5.6381862E-01
   7149.67  5.5490499E-01
   7150.00  5.4599744E-01
   7150.33  5.3710939E-01
   7150.67  5.2824412E-01
   7151.00  5.1940439E-01
   7151.33  5.1059665E-01
   7151.67  5.0182268E-01
   7152.00  4.9309040E-01
   7152.33  4.8441950E-01
   7152.67  4.7581953E-01
   7153.00  4.6730626E-01
