    FDMNES
    energy     <xanes>
   7097.00  4.9156108E-03
   7097.33  5.0366361E-03
   7097.67  5.1634333E-03
   7098.00  5.2964122E-03
   7098.33  5.4369412E-03
   7098.67  5.5847735E-03
   7099.00  5.7404743E-03
   7099.33  5.9058552E-03
   7099.67  6.0806718E-03
   7100.00  6.2657244E-03
   7100.33  6.4634773E-03
   7100.67  6.6737219E-03
   7101.00  6.8976285E-03
   7101.33  7.1386576E-03
   7101.67  7.3967094E-03
   7102.00  7.6735613E-03
   7102.33  7.9742623E-03
   7102.67  8.2989831E-03
   7103.00  8.6505480E-03
   7103.33  9.0366757E-03
   7103.67  9.4581752E-03
   7104.00  9.9197931E-03
   7104.33  1.0434036E-02
   7104.67  1.1003238E-02
   7105.00  1.1635962E-02
   7105.33  1.2354043E-02
   7105.67  1.3163670E-02
   7106.00  1.4081795E-02
   7106.33  1.5150533E-02
   7106.67  1.6386828E-02
   7107.00  1.7828818E-02
   7107.33  1.9570001E-02
   7107.67  2.1662476E-02
   7108.00  2.4209766E-02
   7108.33  2.7468684E-02
   7108.67  3.1639452E-02
   7109.00  3.7100797E-02
   7109.33  4.4854610E-02
   7109.67  5.6040660E-02
   7110.00  7.2901065E-02
   7110.33  1.0188195E-01
   7110.67  1.4943732E-01
   7111.00  2.1443616E-01
   7111.33  2.6735766E-01
   7111.67  2.9593373E-01
   7112.00  3.1717821E-01
   7112.33  3.5430790E-01
   7112.67  4.0924474E-01
   7113.00  4.7202899E-01
   7113.33  5.2507806E-01
   7113.67  5.2201555E-01
   7114.00  4.3974757E-01
   7114.33  3.3251539E-01
   7114.67  2.4772247E-01
   7115.00  1.9057880E-01
   7115.33  1.5852561E-01
   7115.67  1.4230544E-01
   7116.00  1.3619761E-01
   7116.33  1.3209371E-01
   7116.67  1.2333441E-01
   7117.00  1.1159243E-01
   7117.33  1.0361794E-01
   7117.67  1.0066762E-01
   7118.00  1.0119215E-01
   7118.33  1.0288144E-01
   7118.67  1.0432272E-01
   7119.00  1.0547250E-01
   7119.33  1.0612666E-01
   7119.67  1.0558918E-01
   7120.00  1.0370365E-01
   7120.33  1.0221390E-01
   7120.67  1.0280261E-01
   7121.00  1.0561182E-01
   7121.33  1.1050327E-01
   7121.67  1.1727617E-01
   7122.00  1.2594183E-01
   7122.33  1.3571903E-01
   7122.67  1.4447730E-01
   7123.00  1.5078245E-01
   7123.33  1.5503615E-01
   7123.67  1.6004383E-01
   7124.00  1.6750085E-01
   7124.33  1.7773745E-01
   7124.67  1.8915430E-01
   7125.00  2.0092833E-01
   7125.33  2.1335155E-01
   7125.67  2.2703734E-01
   7126.00  2.4227709E-01
   7126.33  2.5948327E-01
   7126.67  2.7880574E-01
   7127.00  3.0058754E-01
   7127.33  3.2489235E-01
   7127.67  3.5016310E-01
   7128.00  3.7532828E-01
