    FDMNES
    energy     <xanes>
   7097.00  4.2350812E-03
   7097.33  4.3148673E-03
   7097.67  4.3975797E-03
   7098.00  4.4833916E-03
   7098.33  4.5729396E-03
   7098.67  4.6660543E-03
   7099.00  4.7629687E-03
   7099.33  4.8644965E-03
   7099.67  4.9704632E-03
   7100.00  5.0811924E-03
   7100.33  5.1977561E-03
   7100.67  5.3199875E-03
   7101.00  5.4483539E-03
   7101.33  5.5843201E-03
   7101.67  5.7277581E-03
   7102.00  5.8793739E-03
   7102.33  6.0412622E-03
   7102.67  6.2134046E-03
   7103.00  6.3969282E-03
   7103.33  6.5950048E-03
   7103.67  6.8078918E-03
   7104.00  7.0375163E-03
   7104.33  7.2890376E-03
   7104.67  7.5634090E-03
   7105.00  7.8642154E-03
   7105.33  8.2006574E-03
   7105.67  8.5755355E-03
   7106.00  8.9962844E-03
   7106.33  9.4814010E-03
   7106.67  1.0039122E-02
   7107.00  1.0687259E-02
   7107.33  1.1469551E-02
   7107.67  1.2413056E-02
   7108.00  1.3570019E-02
   7108.33  1.5070865E-02
   7108.67  1.7026593E-02
   7109.00  1.9644808E-02
   7109.33  2.3480709E-02
   7109.67  2.9200759E-02
   7110.00  3.8117078E-02
   7110.33  5.4069632E-02
   7110.67  8.1456465E-02
   7111.00  1.2218078E-01
   7111.33  1.6248085E-01
   7111.67  1.6986890E-01
   7112.00  1.3561037E-01
   7112.33  9.7387679E-02
   7112.67  7.1738524E-02
   7113.00  5.6146670E-02
   7113.33  4.7850865E-02
   7113.67  4.4011967E-02
   7114.00  4.2788556E-02
   7114.33  4.0116030E-02
   7114.67  3.5630130E-02
   7115.00  3.1937792E-02
   7115.33  2.9956339E-02
   7115.67  2.9005894E-02
   7116.00  2.8759572E-02
   7116.33  2.9101850E-02
   7116.67  2.9904576E-02
   7117.00  3.1172111E-02
   7117.33  3.3027668E-02
   7117.67  3.5508217E-02
   7118.00  3.8734249E-02
   7118.33  4.2983726E-02
   7118.67  4.8320704E-02
   7119.00  5.4974073E-02
   7119.33  6.3459174E-02
   7119.67  7.3447305E-02
