    FDMNES
    energy     <xanes>
   7097.00  4.3338679E-03
   7097.33  4.4254128E-03
   7097.67  4.5207169E-03
   7098.00  4.6200214E-03
   7098.33  4.7241750E-03
   7098.67  4.8329838E-03
   7099.00  4.9467753E-03
   7099.33  5.0666505E-03
   7099.67  5.1924111E-03
   7100.00  5.3245154E-03
   7100.33  5.4644322E-03
   7100.67  5.6119771E-03
   7101.00  5.7678134E-03
   7101.33  5.9339686E-03
   7101.67  6.1103128E-03
   7102.00  6.2978466E-03
   7102.33  6.4994861E-03
   7102.67  6.7152483E-03
   7103.00  6.9467189E-03
   7103.33  7.1983117E-03
   7103.67  7.4704036E-03
   7104.00  7.7656662E-03
   7104.33  8.0912206E-03
   7104.67  8.4483289E-03
   7105.00  8.8418515E-03
   7105.33  9.2842609E-03
   7105.67  9.7791100E-03
   7106.00  1.0336175E-02
   7106.33  1.0979818E-02
   7106.67  1.1720150E-02
   7107.00  1.2579712E-02
   7107.33  1.3613895E-02
   7107.67  1.4854890E-02
   7108.00  1.6366062E-02
   7108.33  1.8305307E-02
   7108.67  2.0801282E-02
   7109.00  2.4096801E-02
   7109.33  2.8840487E-02
   7109.67  3.5799152E-02
   7110.00  4.6485530E-02
   7110.33  6.5216883E-02
   7110.67  9.5664025E-02
   7111.00  1.3427501E-01
   7111.33  1.6288495E-01
   7111.67  1.8109294E-01
   7112.00  1.9237669E-01
   7112.33  2.0982351E-01
   7112.67  2.3449546E-01
   7113.00  2.3476686E-01
   7113.33  1.9386106E-01
   7113.67  1.4977740E-01
   7114.00  1.1515555E-01
   7114.33  9.2099913E-02
   7114.67  7.7599999E-02
   7115.00  6.8890841E-02
   7115.33  6.3833421E-02
   7115.67  6.0524211E-02
   7116.00  5.8400502E-02
   7116.33  5.7683831E-02
   7116.67  5.8415949E-02
   7117.00  6.0566674E-02
   7117.33  6.4181130E-02
   7117.67  6.9032395E-02
   7118.00  7.5103770E-02
   7118.33  8.2519917E-02
   7118.67  9.1134712E-02
   7119.00  1.0099835E-01
   7119.33  1.1232749E-01
   7119.67  1.2493306E-01
   7120.00  1.3869621E-01
   7120.33  1.5346198E-01
   7120.67  1.6873472E-01
   7121.00  1.8415398E-01
   7121.33  1.9936817E-01
   7121.67  2.1426401E-01
   7122.00  2.2888728E-01
   7122.33  2.4353074E-01
   7122.67  2.5886629E-01
   7123.00  2.7570624E-01
   7123.33  2.9520330E-01
   7123.67  3.1764699E-01
   7124.00  3.4312603E-01
   7124.33  3.7077608E-01
   7124.67  3.9774824E-01
   7125.00  4.2176385E-01
   7125.33  4.4314234E-01
   7125.67  4.6541036E-01
   7126.00  4.8987610E-01
   7126.33  5.1488080E-01
   7126.67  5.3655452E-01
   7127.00  5.5246432E-01
   7127.33  5.6165983E-01
   7127.67  5.6572405E-01
   7128.00  5.6499698E-01
   7128.33  5.5941837E-01
   7128.67  5.5096825E-01
   7129.00  5.4150777E-01
   7129.33  5.3288672E-01
   7129.67  5.2581574E-01
   7130.00  5.2066236E-01
   7130.33  5.1822764E-01
   7130.67  5.1868441E-01
   7131.00  5.2234749E-01
   7131.33  5.2990971E-01
   7131.67  5.4096136E-01
   7132.00  5.5531351E-01
   7132.33  5.7319814E-01
   7132.67  5.9431809E-01
   7133.00  6.1864002E-01
   7133.33  6.4578517E-01
   7133.67  6.7402144E-01
   7134.00  7.0192000E-01
   7134.33  7.2807951E-01
   7134.67  7.5246301E-01
   7135.00  7.7528775E-01
   7135.33  7.9582670E-01
   7135.67  8.1263907E-01
   7136.00  8.2402121E-01
   7136.33  8.2803814E-01
   7136.67  8.2562326E-01
   7137.00  8.1757849E-01
   7137.33  8.0465808E-01
   7137.67  7.8875232E-01
   7138.00  7.7090737E-01
   7138.33  7.5200529E-01
   7138.67  7.3289483E-01
   7139.00  7.1402738E-01
   7139.33  6.9586626E-01
   7139.67  6.7860669E-01
   7140.00  6.6241937E-01
   7140.33  6.4760226E-01
   7140.67  6.3410959E-01
   7141.00  6.2201117E-01
   7141.33  6.1154856E-01
   7141.67  6.0257697E-01
   7142.00  5.9510784E-01
   7142.33  5.8931143E-01
   7142.67  5.8495197E-01
   7143.00  5.8195869E-01
   7143.33  5.8037462E-01
   7143.67  5.7990096E-01
   7144.00  5.8039768E-01
   7144.33  5.8178451E-01
   7144.67  5.8377148E-01
   7145.00  5.8619192E-01
   7145.33  5.8889261E-01
   7145.67  5.9166977E-01
   7146.00  5.9437934E-01
   7146.33  5.9682929E-01
   7146.67  5.9889660E-01
   7147.00  6.0047057E-01
   7147.33  6.0138579E-01
   7147.67  6.0167450E-01
