    FDMNES
    energy     <xanes>
   7097.00  4.7057906E-03
   7097.33  4.8097363E-03
   7097.67  4.9180400E-03
   7098.00  5.0309764E-03
   7098.33  5.1495210E-03
   7098.67  5.2734408E-03
   7099.00  5.4031048E-03
   7099.33  5.5397669E-03
   7099.67  5.6831825E-03
   7100.00  5.8338598E-03
   7100.33  5.9934522E-03
   7100.67  6.1617182E-03
   7101.00  6.3393802E-03
   7101.33  6.5286843E-03
   7101.67  6.7294278E-03
   7102.00  6.9426762E-03
   7102.33  7.1715952E-03
   7102.67  7.4161012E-03
   7103.00  7.6778385E-03
   7103.33  7.9614777E-03
   7103.67  8.2672400E-03
   7104.00  8.5978113E-03
   7104.33  8.9604940E-03
   7104.67  9.3562652E-03
   7105.00  9.7898420E-03
   7105.33  1.0273541E-02
   7105.67  1.0810283E-02
   7106.00  1.1409186E-02
   7106.33  1.2093266E-02
   7106.67  1.2870919E-02
   7107.00  1.3762252E-02
   7107.33  1.4817024E-02
   7107.67  1.6061606E-02
   7108.00  1.7549806E-02
   7108.33  1.9415647E-02
   7108.67  2.1761370E-02
   7109.00  2.4782012E-02
   7109.33  2.8993624E-02
   7109.67  3.4977957E-02
   7110.00  4.3881314E-02
   7110.33  5.9025246E-02
   7110.67  8.4071593E-02
   7111.00  1.2020780E-01
   7111.33  1.5296183E-01
   7111.67  1.6229108E-01
   7112.00  1.5739013E-01
   7112.33  1.6232607E-01
   7112.67  1.8535050E-01
   7113.00  2.2395008E-01
   7113.33  2.6711580E-01
   7113.67  2.9039394E-01
   7114.00  2.7242754E-01
   7114.33  2.2415181E-01
   7114.67  1.7561433E-01
   7115.00  1.3952127E-01
   7115.33  1.2078372E-01
   7115.67  1.1402276E-01
   7116.00  1.1676289E-01
   7116.33  1.2875860E-01
   7116.67  1.4842590E-01
   7117.00  1.7458680E-01
   7117.33  2.0382294E-01
   7117.67  2.2984331E-01
   7118.00  2.4858560E-01
   7118.33  2.5911775E-01
   7118.67  2.6686679E-01
   7119.00  2.7658503E-01
   7119.33  2.9240801E-01
   7119.67  3.1315213E-01
   7120.00  3.3434823E-01
   7120.33  3.4695815E-01
   7120.67  3.4788673E-01
   7121.00  3.3990889E-01
   7121.33  3.2854316E-01
   7121.67  3.1829460E-01
   7122.00  3.1057232E-01
   7122.33  3.0562227E-01
   7122.67  3.0223463E-01
   7123.00  2.9968343E-01
   7123.33  2.9774222E-01
   7123.67  2.9664710E-01
   7124.00  2.9684516E-01
   7124.33  2.9861241E-01
   7124.67  3.0144053E-01
   7125.00  3.0572083E-01
   7125.33  3.1338945E-01
   7125.67  3.2557649E-01
   7126.00  3.4263057E-01
   7126.33  3.6330007E-01
   7126.67  3.8389116E-01
   7127.00  4.0267968E-01
   7127.33  4.1988390E-01
   7127.67  4.3682819E-01
   7128.00  4.5467363E-01
   7128.33  4.7529233E-01
   7128.67  4.9895145E-01
   7129.00  5.2440727E-01
   7129.33  5.4889823E-01
   7129.67  5.7124261E-01
   7130.00  5.9250600E-01
   7130.33  6.1492615E-01
   7130.67  6.3854597E-01
   7131.00  6.6091744E-01
   7131.33  6.7706542E-01
   7131.67  6.8471935E-01
   7132.00  6.8373163E-01
   7132.33  6.7600433E-01
   7132.67  6.6699520E-01
   7133.00  6.6084526E-01
   7133.33  6.6111373E-01
   7133.67  6.6717627E-01
   7134.00  6.7792014E-01
   7134.33  6.9268323E-01
   7134.67  7.0999768E-01
   7135.00  7.2806773E-01
   7135.33  7.4337008E-01
   7135.67  7.5320927E-01
   7136.00  7.5612871E-01
   7136.33  7.5103621E-01
   7136.67  7.3978869E-01
   7137.00  7.2368275E-01
   7137.33  7.0392402E-01
   7137.67  6.8238323E-01
   7138.00  6.6011654E-01
   7138.33  6.3812949E-01
   7138.67  6.1709445E-01
   7139.00  5.9741853E-01
   7139.33  5.7961124E-01
   7139.67  5.6366732E-01
   7140.00  5.4974219E-01
   7140.33  5.3829750E-01
   7140.67  5.2922309E-01
   7141.00  5.2261503E-01
   7141.33  5.1879222E-01
   7141.67  5.1727885E-01
   7142.00  5.1775279E-01
   7142.33  5.1980521E-01
   7142.67  5.2252208E-01
   7143.00  5.2524304E-01
   7143.33  5.2721409E-01
