    FDMNES
    energy     <xanes>
   7097.00  5.6116980E-03
   7097.33  5.7615168E-03
   7097.67  5.9189083E-03
   7098.00  6.0844253E-03
   7098.33  6.2598872E-03
   7098.67  6.4449887E-03
   7099.00  6.6404927E-03
   7099.33  6.8488186E-03
   7099.67  7.0696650E-03
   7100.00  7.3041131E-03
   7100.33  7.5554638E-03
   7100.67  7.8234626E-03
   7101.00  8.1096890E-03
   7101.33  8.4187845E-03
   7101.67  8.7506357E-03
   7102.00  9.1076322E-03
   7102.33  9.4965398E-03
   7102.67  9.9175891E-03
   7103.00  1.0374552E-02
   7103.33  1.0877726E-02
   7103.67  1.1428141E-02
   7104.00  1.2032063E-02
   7104.33  1.2706017E-02
   7104.67  1.3452898E-02
   7105.00  1.4283799E-02
   7105.33  1.5227071E-02
   7105.67  1.6290150E-02
   7106.00  1.7494338E-02
   7106.33  1.8892659E-02
   7106.67  2.0504549E-02
   7107.00  2.2375564E-02
   7107.33  2.4617161E-02
   7107.67  2.7284721E-02
   7108.00  3.0491504E-02
   7108.33  3.4514547E-02
   7108.67  3.9540209E-02
   7109.00  4.5921953E-02
   7109.33  5.4555056E-02
   7109.67  6.6282656E-02
   7110.00  8.2706414E-02
   7110.33  1.0823894E-01
   7110.67  1.4799123E-01
   7111.00  2.0882004E-01
   7111.33  3.0261688E-01
   7111.67  4.4023496E-01
   7112.00  6.2780646E-01
   7112.33  8.0413007E-01
   7112.67  8.5265752E-01
   7113.00  7.6259780E-01
   7113.33  6.1911285E-01
   7113.67  4.9241564E-01
   7114.00  3.9608982E-01
   7114.33  3.2977514E-01
   7114.67  2.8286143E-01
   7115.00  2.5051342E-01
   7115.33  2.3062851E-01
   7115.67  2.1960420E-01
   7116.00  2.1498988E-01
   7116.33  2.1145170E-01
   7116.67  2.0318444E-01
   7117.00  1.8991898E-01
   7117.33  1.7546495E-01
   7117.67  1.6321854E-01
   7118.00  1.5412951E-01
   7118.33  1.4825262E-01
   7118.67  1.4434314E-01
   7119.00  1.4167338E-01
   7119.33  1.3976153E-01
   7119.67  1.3822236E-01
   7120.00  1.3678583E-01
   7120.33  1.3503643E-01
   7120.67  1.3317058E-01
   7121.00  1.3168130E-01
   7121.33  1.3088529E-01
   7121.67  1.3065823E-01
   7122.00  1.3095175E-01
   7122.33  1.3175681E-01
   7122.67  1.3305921E-01
   7123.00  1.3506422E-01
   7123.33  1.3823528E-01
   7123.67  1.4277295E-01
   7124.00  1.4896534E-01
   7124.33  1.5747020E-01
   7124.67  1.6854634E-01
   7125.00  1.8276289E-01
   7125.33  2.0146524E-01
   7125.67  2.2512751E-01
   7126.00  2.5444414E-01
   7126.33  2.9019609E-01
   7126.67  3.3023725E-01
   7127.00  3.7195201E-01
   7127.33  4.1152252E-01
   7127.67  4.4712793E-01
   7128.00  4.7889955E-01
   7128.33  5.0788930E-01
   7128.67  5.3578415E-01
   7129.00  5.6325900E-01
   7129.33  5.9054170E-01
   7129.67  6.1766419E-01
   7130.00  6.4462432E-01
   7130.33  6.7146075E-01
   7130.67  6.9821509E-01
   7131.00  7.2473784E-01
   7131.33  7.5034814E-01
   7131.67  7.7398896E-01
   7132.00  7.9419555E-01
   7132.33  8.0825264E-01
   7132.67  8.1498050E-01
   7133.00  8.1343077E-01
   7133.33  8.0262372E-01
   7133.67  7.8469488E-01
   7134.00  7.6092894E-01
   7134.33  7.3206922E-01
   7134.67  6.9963395E-01
   7135.00  6.6432607E-01
   7135.33  6.2686651E-01
   7135.67  5.8867878E-01
   7136.00  5.5086149E-01
   7136.33  5.1482067E-01
   7136.67  4.8140789E-01
   7137.00  4.5140832E-01
   7137.33  4.2616395E-01
   7137.67  4.0580062E-01
   7138.00  3.9064923E-01
   7138.33  3.8137674E-01
   7138.67  3.7695714E-01
   7139.00  3.7685291E-01
   7139.33  3.8077797E-01
   7139.67  3.8756558E-01
   7140.00  3.9667808E-01
   7140.33  4.0784219E-01
   7140.67  4.2046242E-01
   7141.00  4.3431409E-01
   7141.33  4.4934096E-01
