    FDMNES
    energy     <xanes>
   7097.00  5.4006582E-03
   7097.33  5.5381779E-03
   7097.67  5.6823641E-03
   7098.00  5.8336872E-03
   7098.33  5.9937217E-03
   7098.67  6.1621764E-03
   7099.00  6.3396956E-03
   7099.33  6.5283538E-03
   7099.67  6.7278555E-03
   7100.00  6.9391050E-03
   7100.33  7.1649047E-03
   7100.67  7.4049862E-03
   7101.00  7.6606565E-03
   7101.33  7.9358127E-03
   7101.67  8.2302829E-03
   7102.00  8.5460218E-03
   7102.33  8.8886388E-03
   7102.67  9.2582093E-03
   7103.00  9.6577779E-03
   7103.33  1.0095761E-02
   7103.67  1.0572817E-02
   7104.00  1.1093927E-02
   7104.33  1.1672380E-02
   7104.67  1.2310194E-02
   7105.00  1.3016039E-02
   7105.33  1.3812281E-02
   7105.67  1.4704239E-02
   7106.00  1.5708230E-02
   7106.33  1.6865172E-02
   7106.67  1.8189011E-02
   7107.00  1.9713860E-02
   7107.33  2.1523586E-02
   7107.67  2.3657664E-02
   7108.00  2.6198888E-02
   7108.33  2.9350254E-02
   7108.67  3.3243605E-02
   7109.00  3.8132433E-02
   7109.33  4.4660550E-02
   7109.67  5.3429556E-02
   7110.00  6.5592770E-02
   7110.33  8.4318657E-02
   7110.67  1.1291244E-01
   7111.00  1.5431233E-01
   7111.33  2.1187635E-01
   7111.67  2.9290197E-01
   7112.00  4.0343412E-01
   7112.33  5.2070588E-01
   7112.67  6.2408031E-01
   7113.00  7.1672425E-01
   7113.33  7.3947145E-01
   7113.67  6.6487836E-01
   7114.00  5.3785877E-01
   7114.33  4.1977253E-01
   7114.67  3.3061884E-01
   7115.00  2.6840420E-01
   7115.33  2.2838182E-01
   7115.67  2.0209245E-01
   7116.00  1.8616380E-01
   7116.33  1.7900421E-01
   7116.67  1.7705811E-01
   7117.00  1.7685875E-01
   7117.33  1.7395787E-01
   7117.67  1.6806141E-01
   7118.00  1.6110301E-01
   7118.33  1.5479604E-01
   7118.67  1.4956771E-01
   7119.00  1.4574949E-01
   7119.33  1.4364208E-01
   7119.67  1.4234900E-01
   7120.00  1.4094563E-01
   7120.33  1.3893806E-01
   7120.67  1.3695245E-01
   7121.00  1.3540902E-01
   7121.33  1.3455068E-01
   7121.67  1.3502273E-01
   7122.00  1.3752374E-01
   7122.33  1.4227316E-01
   7122.67  1.4848387E-01
   7123.00  1.5561808E-01
   7123.33  1.6345990E-01
   7123.67  1.7255103E-01
   7124.00  1.8359913E-01
   7124.33  1.9707648E-01
   7124.67  2.1199021E-01
   7125.00  2.2707764E-01
   7125.33  2.4070762E-01
   7125.67  2.5253389E-01
   7126.00  2.6296064E-01
   7126.33  2.7294904E-01
   7126.67  2.8391775E-01
   7127.00  2.9717823E-01
   7127.33  3.1485274E-01
   7127.67  3.3815377E-01
   7128.00  3.6823460E-01
   7128.33  4.0604166E-01
   7128.67  4.4881851E-01
   7129.00  4.9367086E-01
   7129.33  5.3656590E-01
   7129.67  5.7473197E-01
   7130.00  6.0703036E-01
   7130.33  6.3289386E-01
   7130.67  6.5392080E-01
   7131.00  6.7118586E-01
   7131.33  6.8615056E-01
   7131.67  7.0114061E-01
   7132.00  7.1778899E-01
   7132.33  7.3739326E-01
   7132.67  7.5899024E-01
   7133.00  7.8075674E-01
   7133.33  7.9939440E-01
   7133.67  8.1238877E-01
   7134.00  8.1787506E-01
   7134.33  8.1323202E-01
   7134.67  7.9886923E-01
   7135.00  7.7532842E-01
   7135.33  7.4409804E-01
   7135.67  7.0942097E-01
   7136.00  6.7402881E-01
   7136.33  6.4026338E-01
   7136.67  6.0891849E-01
   7137.00  5.8021943E-01
   7137.33  5.5458594E-01
   7137.67  5.3188920E-01
   7138.00  5.1245487E-01
   7138.33  4.9716301E-01
   7138.67  4.8588241E-01
   7139.00  4.7876240E-01
   7139.33  4.7630864E-01
   7139.67  4.7777331E-01
   7140.00  4.8278809E-01
   7140.33  4.9111515E-01
   7140.67  5.0164206E-01
   7141.00  5.1367913E-01
   7141.33  5.2652902E-01
   7141.67  5.3939411E-01
   7142.00  5.5176860E-01
   7142.33  5.6309645E-01
   7142.67  5.7323369E-01
   7143.00  5.8210329E-01
   7143.33  5.8962243E-01
   7143.67  5.9614065E-01
   7144.00  6.0189419E-01
   7144.33  6.0712404E-01
   7144.67  6.1216483E-01
   7145.00  6.1720826E-01
   7145.33  6.2243151E-01
   7145.67  6.2790225E-01
   7146.00  6.3364835E-01
   7146.33  6.3969192E-01
   7146.67  6.4595121E-01
   7147.00  6.5236656E-01
   7147.33  6.5887112E-01
   7147.67  6.6536945E-01
   7148.00  6.7177690E-01
   7148.33  6.7795478E-01
   7148.67  6.8380062E-01
   7149.00  6.8918939E-01
   7149.33  6.9388173E-01
   7149.67  6.9778536E-01
   7150.00  7.0075934E-01
   7150.33  7.0253395E-01
   7150.67  7.0314654E-01
   7151.00  7.0254316E-01
   7151.33  7.0055246E-01
   7151.67  6.9736791E-01
   7152.00  6.9306563E-01
   7152.33  6.8765221E-01
   7152.67  6.8141510E-01
   7153.00  6.7451242E-01
   7153.33  6.6707799E-01
   7153.67  6.5936217E-01
   7154.00  6.5152060E-01
   7154.33  6.4372536E-01
   7154.67  6.3611809E-01
   7155.00  6.2880278E-01
   7155.33  6.2191949E-01
   7155.67  6.1548255E-01
   7156.00  6.0952341E-01
   7156.33  6.0411607E-01
   7156.67  5.9918970E-01
   7157.00  5.9472100E-01
   7157.33  5.9071871E-01
   7157.67  5.8707321E-01
   7158.00  5.8372587E-01
   7158.33  5.8062813E-01
   7158.67  5.7767012E-01
   7159.00  5.7477833E-01
   7159.33  5.7186273E-01
   7159.67  5.6884037E-01
   7160.00  5.6564202E-01
   7160.33  5.6215908E-01
   7160.67  5.5834561E-01
   7161.00  5.5414840E-01
   7161.33  5.4948192E-01
   7161.67  5.4439159E-01
   7162.00  5.3889261E-01
   7162.33  5.3298038E-01
   7162.67  5.2676592E-01
   7163.00  5.2032017E-01
   7163.33  5.1371707E-01
   7163.67  5.0706566E-01
   7164.00  5.0043861E-01
   7164.33  4.9392054E-01
   7164.67  4.8755661E-01
   7165.00  4.8138346E-01
   7165.33  4.7545638E-01
   7165.67  4.6976263E-01
   7166.00  4.6430708E-01
   7166.33  4.5911762E-01
   7166.67  4.5415684E-01
   7167.00  4.4941536E-01
   7167.33  4.4490556E-01
   7167.67  4.4058564E-01
   7168.00  4.3644114E-01
   7168.33  4.3247842E-01
   7168.67  4.2866745E-01
   7169.00  4.2500281E-01
   7169.33  4.2150060E-01
   7169.67  4.1814560E-01
   7170.00  4.1494300E-01
   7170.33  4.1192117E-01
   7170.67  4.0907260E-01
   7171.00  4.0641472E-01
   7171.33  4.0401187E-01
   7171.67  4.0190517E-01
   7172.00  4.0018800E-01
