    FDMNES
    energy     <xanes>
   7097.00  4.7049861E-03
   7097.33  4.8143860E-03
   7097.67  4.9286760E-03
   7098.00  5.0481838E-03
   7098.33  5.1740353E-03
   7098.67  5.3059944E-03
   7099.00  5.4445060E-03
   7099.33  5.5910378E-03
   7099.67  5.7453460E-03
   7100.00  5.9080503E-03
   7100.33  6.0811124E-03
   7100.67  6.2643012E-03
   7101.00  6.4585060E-03
   7101.33  6.6664272E-03
   7101.67  6.8878915E-03
   7102.00  7.1242213E-03
   7102.33  7.3792671E-03
   7102.67  7.6530137E-03
   7103.00  7.9475105E-03
   7103.33  8.2684893E-03
   7103.67  8.6163167E-03
   7104.00  8.9943373E-03
   7104.33  9.4115464E-03
   7104.67  9.8692205E-03
   7105.00  1.0373180E-02
   7105.33  1.0938524E-02
   7105.67  1.1568773E-02
   7106.00  1.2274934E-02
   7106.33  1.3084702E-02
   7106.67  1.4007585E-02
   7107.00  1.5066875E-02
   7107.33  1.6319988E-02
   7107.67  1.7794681E-02
   7108.00  1.9548884E-02
   7108.33  2.1725249E-02
   7108.67  2.4420414E-02
   7109.00  2.7819628E-02
   7109.33  3.2397885E-02
   7109.67  3.8621570E-02
   7110.00  4.7390160E-02
   7110.33  6.1241754E-02
   7110.67  8.3275424E-02
   7111.00  1.1756051E-01
   7111.33  1.6763359E-01
   7111.67  2.2040212E-01
   7112.00  2.5646712E-01
   7112.33  2.7763670E-01
   7112.67  2.9502950E-01
   7113.00  3.1807070E-01
   7113.33  3.7167570E-01
   7113.67  4.5031028E-01
   7114.00  5.0019628E-01
   7114.33  4.4387058E-01
   7114.67  3.3795955E-01
   7115.00  2.4771686E-01
   7115.33  1.9861870E-01
   7115.67  1.7650570E-01
   7116.00  1.6883563E-01
   7116.33  1.5987458E-01
   7116.67  1.4413145E-01
   7117.00  1.2662427E-01
   7117.33  1.1291725E-01
   7117.67  1.0360600E-01
   7118.00  9.8179552E-02
   7118.33  9.6265107E-02
   7118.67  9.6846755E-02
   7119.00  9.9460250E-02
   7119.33  1.0371446E-01
   7119.67  1.0869569E-01
   7120.00  1.1359934E-01
   7120.33  1.1732388E-01
   7120.67  1.1946306E-01
   7121.00  1.2019483E-01
   7121.33  1.2022970E-01
   7121.67  1.2057823E-01
   7122.00  1.2190084E-01
   7122.33  1.2497099E-01
   7122.67  1.3009087E-01
   7123.00  1.3774855E-01
   7123.33  1.4916835E-01
   7123.67  1.6509929E-01
   7124.00  1.8677737E-01
   7124.33  2.1628578E-01
   7124.67  2.5233394E-01
   7125.00  2.9154120E-01
   7125.33  3.2432896E-01
   7125.67  3.4101126E-01
   7126.00  3.3942454E-01
   7126.33  3.2608152E-01
   7126.67  3.1080621E-01
   7127.00  2.9778665E-01
   7127.33  2.9129055E-01
   7127.67  2.9269675E-01
   7128.00  3.0220817E-01
   7128.33  3.1910573E-01
   7128.67  3.3957007E-01
   7129.00  3.6129306E-01
   7129.33  3.8427760E-01
