    FDMNES
    energy     <xanes>
   7097.00  4.6662449E-03
   7097.33  4.7709014E-03
   7097.67  4.8800517E-03
   7098.00  4.9939895E-03
   7098.33  5.1137381E-03
   7098.67  5.2390721E-03
   7099.00  5.3703908E-03
   7099.33  5.5090248E-03
   7099.67  5.6547435E-03
   7100.00  5.8081050E-03
   7100.33  5.9708882E-03
   7100.67  6.1428785E-03
   7101.00  6.3248836E-03
   7101.33  6.5193613E-03
   7101.67  6.7261626E-03
   7102.00  6.9465042E-03
   7102.33  7.1839232E-03
   7102.67  7.4384469E-03
   7103.00  7.7120014E-03
   7103.33  8.0099405E-03
   7103.67  8.3327262E-03
   7104.00  8.6836005E-03
   7104.33  9.0712007E-03
   7104.67  9.4970613E-03
   7105.00  9.9670804E-03
   7105.33  1.0496392E-02
   7105.67  1.1089318E-02
   7106.00  1.1757738E-02
   7106.33  1.2531252E-02
   7106.67  1.3422196E-02
   7107.00  1.4458030E-02
   7107.33  1.5706227E-02
   7107.67  1.7206152E-02
   7108.00  1.9035160E-02
   7108.33  2.1385879E-02
   7108.67  2.4415098E-02
   7109.00  2.8417889E-02
   7109.33  3.4179210E-02
   7109.67  4.2616670E-02
   7110.00  5.5535030E-02
   7110.33  7.8160611E-02
   7110.67  1.1602889E-01
   7111.00  1.6958973E-01
   7111.33  2.1860455E-01
   7111.67  2.4799503E-01
   7112.00  2.5215281E-01
   7112.33  2.2608257E-01
   7112.67  1.9313573E-01
   7113.00  1.6656708E-01
   7113.33  1.4945945E-01
   7113.67  1.3660656E-01
   7114.00  1.2343898E-01
   7114.33  1.0962745E-01
   7114.67  9.9385796E-02
   7115.00  9.4731417E-02
   7115.33  9.6888539E-02
   7115.67  1.0514573E-01
   7116.00  1.1974936E-01
   7116.33  1.4173468E-01
   7116.67  1.6917486E-01
   7117.00  1.9919798E-01
   7117.33  2.2733877E-01
   7117.67  2.5128379E-01
   7118.00  2.7024375E-01
   7118.33  2.8228295E-01
   7118.67  2.8693372E-01
   7119.00  2.8431057E-01
   7119.33  2.7524114E-01
   7119.67  2.6266520E-01
   7120.00  2.4898613E-01
   7120.33  2.3789525E-01
   7120.67  2.3216815E-01
   7121.00  2.3338414E-01
   7121.33  2.4296833E-01
   7121.67  2.5916670E-01
   7122.00  2.8014960E-01
   7122.33  3.0281557E-01
   7122.67  3.2324324E-01
   7123.00  3.3890431E-01
   7123.33  3.4838093E-01
   7123.67  3.5376431E-01
   7124.00  3.5630423E-01
   7124.33  3.5682279E-01
   7124.67  3.5687844E-01
   7125.00  3.5809329E-01
   7125.33  3.6346937E-01
   7125.67  3.7457263E-01
   7126.00  3.9124434E-01
   7126.33  4.1126957E-01
   7126.67  4.3111797E-01
   7127.00  4.4901858E-01
   7127.33  4.6346971E-01
   7127.67  4.7465460E-01
   7128.00  4.8340932E-01
   7128.33  4.9163424E-01
   7128.67  5.0165333E-01
   7129.00  5.1497706E-01
   7129.33  5.3280124E-01
   7129.67  5.5401189E-01
   7130.00  5.7715731E-01
   7130.33  5.9974518E-01
   7130.67  6.1912796E-01
   7131.00  6.3341863E-01
   7131.33  6.4141928E-01
   7131.67  6.4594165E-01
   7132.00  6.5030001E-01
   7132.33  6.5856787E-01
   7132.67  6.7202110E-01
   7133.00  6.9011890E-01
   7133.33  7.1060627E-01
   7133.67  7.3011439E-01
   7134.00  7.4695571E-01
   7134.33  7.6028952E-01
   7134.67  7.7044017E-01
   7135.00  7.7693383E-01
   7135.33  7.7845156E-01
   7135.67  7.7523658E-01
   7136.00  7.6767776E-01
   7136.33  7.5644191E-01
   7136.67  7.4326379E-01
   7137.00  7.2914636E-01
   7137.33  7.1479553E-01
   7137.67  7.0038610E-01
   7138.00  6.8564022E-01
   7138.33  6.6990402E-01
   7138.67  6.5285255E-01
   7139.00  6.3441733E-01
   7139.33  6.1481967E-01
   7139.67  5.9488793E-01
   7140.00  5.7533178E-01
   7140.33  5.5704612E-01
   7140.67  5.4043598E-01
   7141.00  5.2576508E-01
   7141.33  5.1334890E-01
   7141.67  5.0277896E-01
   7142.00  4.9380623E-01
   7142.33  4.8624217E-01
   7142.67  4.7959741E-01
   7143.00  4.7363831E-01
   7143.33  4.6823945E-01
   7143.67  4.6324613E-01
   7144.00  4.5864653E-01
   7144.33  4.5454612E-01
   7144.67  4.5099606E-01
   7145.00  4.4812245E-01
   7145.33  4.4620038E-01
   7145.67  4.4529279E-01
   7146.00  4.4552252E-01
   7146.33  4.4714363E-01
   7146.67  4.5003618E-01
   7147.00  4.5415657E-01
   7147.33  4.5950779E-01
   7147.67  4.6575033E-01
   7148.00  4.7266575E-01
   7148.33  4.8002976E-01
   7148.67  4.8755156E-01
   7149.00  4.9507981E-01
   7149.33  5.0250761E-01
   7149.67  5.0979991E-01
   7150.00  5.1692411E-01
   7150.33  5.2380646E-01
   7150.67  5.3041090E-01
   7151.00  5.3667316E-01
   7151.33  5.4246641E-01
   7151.67  5.4778380E-01
   7152.00  5.5259430E-01
   7152.33  5.5680462E-01
   7152.67  5.6046244E-01
   7153.00  5.6357188E-01
   7153.33  5.6607461E-01
   7153.67  5.6803623E-01
   7154.00  5.6944785E-01
   7154.33  5.7023056E-01
   7154.67  5.7045749E-01
   7155.00  5.7014556E-01
   7155.33  5.6926532E-01
   7155.67  5.6791981E-01
   7156.00  5.6613916E-01
   7156.33  5.6389247E-01
   7156.67  5.6123146E-01
   7157.00  5.5814034E-01
   7157.33  5.5452966E-01
   7157.67  5.5041847E-01
   7158.00  5.4577477E-01
   7158.33  5.4050313E-01
   7158.67  5.3467212E-01
   7159.00  5.2831051E-01
   7159.33  5.2143883E-01
   7159.67  5.1423562E-01
   7160.00  5.0682657E-01
   7160.33  4.9935878E-01
   7160.67  4.9198727E-01
   7161.00  4.8482616E-01
   7161.33  4.7802185E-01
   7161.67  4.7160784E-01
   7162.00  4.6562465E-01
   7162.33  4.6015575E-01
   7162.67  4.5515249E-01
