    FDMNES
    energy     <xanes>
   7097.00  4.9649700E-03
   7097.33  5.0801473E-03
   7097.67  5.2004255E-03
   7098.00  5.3261453E-03
   7098.33  5.4584802E-03
   7098.67  5.5971839E-03
   7099.00  5.7427211E-03
   7099.33  5.8966246E-03
   7099.67  6.0586440E-03
   7100.00  6.2294308E-03
   7100.33  6.4110432E-03
   7100.67  6.6032517E-03
   7101.00  6.8070015E-03
   7101.33  7.0251473E-03
   7101.67  7.2575384E-03
   7102.00  7.5056005E-03
   7102.33  7.7734541E-03
   7102.67  8.0611556E-03
   7103.00  8.3709611E-03
   7103.33  8.7091165E-03
   7103.67  9.0761810E-03
   7104.00  9.4759420E-03
   7104.33  9.9184659E-03
   7104.67  1.0405537E-02
   7105.00  1.0944004E-02
   7105.33  1.1551421E-02
   7105.67  1.2232711E-02
   7106.00  1.3001519E-02
   7106.33  1.3891837E-02
   7106.67  1.4917450E-02
   7107.00  1.6109368E-02
   7107.33  1.7543715E-02
   7107.67  1.9263524E-02
   7108.00  2.1353994E-02
   7108.33  2.4026630E-02
   7108.67  2.7448170E-02
   7109.00  3.1933018E-02
   7109.33  3.8312195E-02
   7109.67  4.7531759E-02
   7110.00  6.1446629E-02
   7110.33  8.5384870E-02
   7110.67  1.2482905E-01
   7111.00  1.8005842E-01
   7111.33  2.3246498E-01
   7111.67  2.7236108E-01
   7112.00  3.0514240E-01
   7112.33  3.2223878E-01
   7112.67  3.1549430E-01
   7113.00  2.9016995E-01
   7113.33  2.5795444E-01
   7113.67  2.2306982E-01
   7114.00  1.8837427E-01
   7114.33  1.6144045E-01
   7114.67  1.4316235E-01
   7115.00  1.3049754E-01
   7115.33  1.2047382E-01
   7115.67  1.1332938E-01
   7116.00  1.0980422E-01
   7116.33  1.0993638E-01
   7116.67  1.1255345E-01
   7117.00  1.1708935E-01
   7117.33  1.2324135E-01
   7117.67  1.3051679E-01
   7118.00  1.3875766E-01
   7118.33  1.4798225E-01
   7118.67  1.5804104E-01
   7119.00  1.6889915E-01
   7119.33  1.8057998E-01
   7119.67  1.9290978E-01
   7120.00  2.0584690E-01
   7120.33  2.1950694E-01
   7120.67  2.3396414E-01
