    FDMNES
    energy     <xanes>
   7097.00  5.7828055E-03
   7097.33  5.9428438E-03
   7097.67  6.1112299E-03
   7098.00  6.2885884E-03
   7098.33  6.4769509E-03
   7098.67  6.6760022E-03
   7099.00  6.8866099E-03
   7099.33  7.1114939E-03
   7099.67  7.3503509E-03
   7100.00  7.6044192E-03
   7100.33  7.8774371E-03
   7100.67  8.1691678E-03
   7101.00  8.4814332E-03
   7101.33  8.8195342E-03
   7101.67  9.1834165E-03
   7102.00  9.5758607E-03
   7102.33  1.0004665E-02
   7102.67  1.0470212E-02
   7103.00  1.0976931E-02
   7103.33  1.1536818E-02
   7103.67  1.2151258E-02
   7104.00  1.2827695E-02
   7104.33  1.3585610E-02
   7104.67  1.4428737E-02
   7105.00  1.5370421E-02
   7105.33  1.6444557E-02
   7105.67  1.7660636E-02
   7106.00  1.9044678E-02
   7106.33  2.0661146E-02
   7106.67  2.2534912E-02
   7107.00  2.4722654E-02
   7107.33  2.7362676E-02
   7107.67  3.0526661E-02
   7108.00  3.4358753E-02
   7108.33  3.9211600E-02
   7108.67  4.5330997E-02
   7109.00  5.3179623E-02
   7109.33  6.3933692E-02
   7109.67  7.8733217E-02
   7110.00  9.9743503E-02
   7110.33  1.3297095E-01
   7110.67  1.8557836E-01
   7111.00  2.6760776E-01
   7111.33  3.9806191E-01
   7111.67  5.8871193E-01
   7112.00  8.2483460E-01
   7112.33  9.7335399E-01
   7112.67  9.2985591E-01
   7113.00  7.6363646E-01
   7113.33  5.9361456E-01
   7113.67  4.6074585E-01
   7114.00  3.6385700E-01
   7114.33  2.9635119E-01
   7114.67  2.4708350E-01
   7115.00  2.1186130E-01
   7115.33  1.8827016E-01
   7115.67  1.7226482E-01
   7116.00  1.6216383E-01
   7116.33  1.5702624E-01
   7116.67  1.5509458E-01
   7117.00  1.5542302E-01
   7117.33  1.5709738E-01
   7117.67  1.5901884E-01
   7118.00  1.6060177E-01
   7118.33  1.6127767E-01
   7118.67  1.6092466E-01
   7119.00  1.5950196E-01
   7119.33  1.5667473E-01
   7119.67  1.5245569E-01
   7120.00  1.4738642E-01
   7120.33  1.4280160E-01
   7120.67  1.3927810E-01
   7121.00  1.3709931E-01
   7121.33  1.3710647E-01
   7121.67  1.3938225E-01
   7122.00  1.4391749E-01
   7122.33  1.5083562E-01
   7122.67  1.5971144E-01
   7123.00  1.7069275E-01
   7123.33  1.8447696E-01
   7123.67  2.0102592E-01
   7124.00  2.2042552E-01
   7124.33  2.4287491E-01
   7124.67  2.6740492E-01
   7125.00  2.9257508E-01
   7125.33  3.1452163E-01
   7125.67  3.2940762E-01
   7126.00  3.3590505E-01
   7126.33  3.3562474E-01
   7126.67  3.3340219E-01
   7127.00  3.3210731E-01
   7127.33  3.3409676E-01
   7127.67  3.3996606E-01
   7128.00  3.5007476E-01
   7128.33  3.6512198E-01
   7128.67  3.8441042E-01
   7129.00  4.0746073E-01
   7129.33  4.3353673E-01
   7129.67  4.6069726E-01
   7130.00  4.8739259E-01
   7130.33  5.1194096E-01
   7130.67  5.3400868E-01
   7131.00  5.5386165E-01
   7131.33  5.7226771E-01
   7131.67  5.9067230E-01
   7132.00  6.1024863E-01
   7132.33  6.3238226E-01
   7132.67  6.5711062E-01
   7133.00  6.8363267E-01
   7133.33  7.0920169E-01
   7133.67  7.3006722E-01
   7134.00  7.4385177E-01
   7134.33  7.4970594E-01
   7134.67  7.4971539E-01
   7135.00  7.4387300E-01
   7135.33  7.3017737E-01
   7135.67  7.0869207E-01
   7136.00  6.7991449E-01
   7136.33  6.4538528E-01
   7136.67  6.0900564E-01
   7137.00  5.7362456E-01
   7137.33  5.4223851E-01
   7137.67  5.1578928E-01
   7138.00  4.9459859E-01
   7138.33  4.7893729E-01
   7138.67  4.6742627E-01
   7139.00  4.5931953E-01
   7139.33  4.5414733E-01
   7139.67  4.5093403E-01
   7140.00  4.4925878E-01
   7140.33  4.4895373E-01
   7140.67  4.4972423E-01
   7141.00  4.5158335E-01
   7141.33  4.5481844E-01
   7141.67  4.5946617E-01
   7142.00  4.6567699E-01
   7142.33  4.7377865E-01
   7142.67  4.8360075E-01
   7143.00  4.9512047E-01
   7143.33  5.0846707E-01
   7143.67  5.2332983E-01
   7144.00  5.3959758E-01
   7144.33  5.5728304E-01
   7144.67  5.7606724E-01
   7145.00  5.9579434E-01
   7145.33  6.1634856E-01
   7145.67  6.3739375E-01
   7146.00  6.5868637E-01
   7146.33  6.7989623E-01
   7146.67  7.0068104E-01
   7147.00  7.2072928E-01
   7147.33  7.3955773E-01
   7147.67  7.5701303E-01
   7148.00  7.7292521E-01
   7148.33  7.8696471E-01
   7148.67  7.9927252E-01
   7149.00  8.0982703E-01
   7149.33  8.1842574E-01
   7149.67  8.2532921E-01
   7150.00  8.3058733E-01
   7150.33  8.3407092E-01
   7150.67  8.3604989E-01
   7151.00  8.3658665E-01
   7151.33  8.3558006E-01
   7151.67  8.3326890E-01
   7152.00  8.2970883E-01
   7152.33  8.2481510E-01
   7152.67  8.1879834E-01
   7153.00  8.1171215E-01
   7153.33  8.0349387E-01
   7153.67  7.9433410E-01
   7154.00  7.8429101E-01
   7154.33  7.7333116E-01
