    FDMNES
    energy     <xanes>
   7097.00  3.7421663E-03
   7097.33  3.8085687E-03
   7097.67  3.8774647E-03
   7098.00  3.9490113E-03
   7098.33  4.0237669E-03
   7098.67  4.1016002E-03
   7099.00  4.1827252E-03
   7099.33  4.2678664E-03
   7099.67  4.3568904E-03
   7100.00  4.4500982E-03
   7100.33  4.5484570E-03
   7100.67  4.6518446E-03
   7101.00  4.7606987E-03
   7101.33  4.8763574E-03
   7101.67  4.9987378E-03
   7102.00  5.1285033E-03
   7102.33  5.2675853E-03
   7102.67  5.4160030E-03
   7103.00  5.5748133E-03
   7103.33  5.7469513E-03
   7103.67  5.9326832E-03
   7104.00  6.1337972E-03
   7104.33  6.3550472E-03
   7104.67  6.5972990E-03
   7105.00  6.8638129E-03
   7105.33  7.1629337E-03
   7105.67  7.4970595E-03
   7106.00  7.8727324E-03
   7106.33  8.3062177E-03
   7106.67  8.8042142E-03
   7107.00  9.3816434E-03
   7107.33  1.0075050E-02
   7107.67  1.0905137E-02
   7108.00  1.1912674E-02
   7108.33  1.3198421E-02
   7108.67  1.4840521E-02
   7109.00  1.6985321E-02
   7109.33  2.0014782E-02
   7109.67  2.4346701E-02
   7110.00  3.0791288E-02
   7110.33  4.1700738E-02
   7110.67  6.0172175E-02
   7111.00  8.9954160E-02
   7111.33  1.2826448E-01
   7111.67  1.5783928E-01
   7112.00  1.7018720E-01
   7112.33  1.5681849E-01
   7112.67  1.3539937E-01
   7113.00  1.1947347E-01
   7113.33  1.0205213E-01
   7113.67  8.0506322E-02
   7114.00  6.1873480E-02
   7114.33  5.0995862E-02
   7114.67  4.5594654E-02
   7115.00  4.3946570E-02
   7115.33  4.4999508E-02
   7115.67  4.8618251E-02
   7116.00  5.4633468E-02
   7116.33  6.2850513E-02
   7116.67  7.3162189E-02
   7117.00  8.1994702E-02
   7117.33  7.9254106E-02
   7117.67  6.6645268E-02
   7118.00  5.3160713E-02
   7118.33  4.4088223E-02
   7118.67  3.8456094E-02
   7119.00  3.5167146E-02
   7119.33  3.3579128E-02
   7119.67  3.3073680E-02
   7120.00  3.3326378E-02
   7120.33  3.3962460E-02
   7120.67  3.4815511E-02
   7121.00  3.6204938E-02
   7121.33  3.8754383E-02
   7121.67  4.2702979E-02
   7122.00  4.8170934E-02
   7122.33  5.4743339E-02
   7122.67  6.0965452E-02
   7123.00  6.6594473E-02
   7123.33  7.3903205E-02
   7123.67  8.4383158E-02
   7124.00  9.6296400E-02
   7124.33  1.0513515E-01
   7124.67  1.1065424E-01
   7125.00  1.1526487E-01
   7125.33  1.2138154E-01
   7125.67  1.2932289E-01
   7126.00  1.3905957E-01
   7126.33  1.5152342E-01
   7126.67  1.6725559E-01
   7127.00  1.8636555E-01
   7127.33  2.0871297E-01
   7127.67  2.3323893E-01
   7128.00  2.5960800E-01
   7128.33  2.8816913E-01
   7128.67  3.1885231E-01
   7129.00  3.5154783E-01
   7129.33  3.8598558E-01
   7129.67  4.2113883E-01
