    FDMNES
    energy     <xanes>
   7097.00  4.4108087E-03
   7097.33  4.4994772E-03
   7097.67  4.5915729E-03
   7098.00  4.6873027E-03
   7098.33  4.7874188E-03
   7098.67  4.8917274E-03
   7099.00  5.0005059E-03
   7099.33  5.1147166E-03
   7099.67  5.2341572E-03
   7100.00  5.3592111E-03
   7100.33  5.4911432E-03
   7100.67  5.6297565E-03
   7101.00  5.7755993E-03
   7101.33  5.9303914E-03
   7101.67  6.0939723E-03
   7102.00  6.2671599E-03
   7102.33  6.4523915E-03
   7102.67  6.6496152E-03
   7103.00  6.8601153E-03
   7103.33  7.0875305E-03
   7103.67  7.3320871E-03
   7104.00  7.5959340E-03
   7104.33  7.8848765E-03
   7104.67  8.1998398E-03
   7105.00  8.5447228E-03
   7105.33  8.9296192E-03
   7105.67  9.3572959E-03
   7106.00  9.8356113E-03
   7106.33  1.0384253E-02
   7106.67  1.1011344E-02
   7107.00  1.1735156E-02
   7107.33  1.2600728E-02
   7107.67  1.3634522E-02
   7108.00  1.4888660E-02
   7108.33  1.6493407E-02
   7108.67  1.8556616E-02
   7109.00  2.1281770E-02
   7109.33  2.5213970E-02
   7109.67  3.1004902E-02
   7110.00  3.9943636E-02
   7110.33  5.5786079E-02
   7110.67  8.2449268E-02
   7111.00  1.1933130E-01
   7111.33  1.4531519E-01
   7111.67  1.4540938E-01
   7112.00  1.3283981E-01
   7112.33  1.3147023E-01
   7112.67  1.4041487E-01
   7113.00  1.4393371E-01
   7113.33  1.3461458E-01
   7113.67  1.2096962E-01
   7114.00  1.0129890E-01
   7114.33  7.8982177E-02
   7114.67  6.3260064E-02
   7115.00  5.4401286E-02
   7115.33  5.0654339E-02
   7115.67  4.9896231E-02
   7116.00  5.1516207E-02
   7116.33  5.5552174E-02
   7116.67  6.1704103E-02
   7117.00  6.9927020E-02
   7117.33  8.0363761E-02
   7117.67  9.2634996E-02
   7118.00  1.0654323E-01
   7118.33  1.2179989E-01
   7118.67  1.3765950E-01
   7119.00  1.5355279E-01
   7119.33  1.6797671E-01
   7119.67  1.7909802E-01
   7120.00  1.8619659E-01
   7120.33  1.9053074E-01
   7120.67  1.9540639E-01
   7121.00  2.0321290E-01
   7121.33  2.1652916E-01
   7121.67  2.3584310E-01
   7122.00  2.6134062E-01
   7122.33  2.9255099E-01
   7122.67  3.2563886E-01
   7123.00  3.5618679E-01
   7123.33  3.7897938E-01
   7123.67  3.9405390E-01
   7124.00  4.0155111E-01
   7124.33  4.0313014E-01
   7124.67  4.0685405E-01
   7125.00  4.1842476E-01
   7125.33  4.4107013E-01
