    FDMNES
    energy     <xanes>
   7097.00  5.2315156E-03
   7097.33  5.3508596E-03
   7097.67  5.4753970E-03
   7098.00  5.6054633E-03
   7098.33  5.7422330E-03
   7098.67  5.8854376E-03
   7099.00  6.0355274E-03
   7099.33  6.1940168E-03
   7099.67  6.3606222E-03
   7100.00  6.5359626E-03
   7100.33  6.7220368E-03
   7100.67  6.9185619E-03
   7101.00  7.1264132E-03
   7101.33  7.3483019E-03
   7101.67  7.5839828E-03
   7102.00  7.8347352E-03
   7102.33  8.1043593E-03
   7102.67  8.3927300E-03
   7103.00  8.7017925E-03
   7103.33  9.0370907E-03
   7103.67  9.3988047E-03
   7104.00  9.7900397E-03
   7104.33  1.0219296E-02
   7104.67  1.0687491E-02
   7105.00  1.1199897E-02
   7105.33  1.1770402E-02
   7105.67  1.2401748E-02
   7106.00  1.3103631E-02
   7106.33  1.3900761E-02
   7106.67  1.4800712E-02
   7107.00  1.5823417E-02
   7107.33  1.7018431E-02
   7107.67  1.8407991E-02
   7108.00  2.0040337E-02
   7108.33  2.2034909E-02
   7108.67  2.4469635E-02
   7109.00  2.7496864E-02
   7109.33  3.1510181E-02
   7109.67  3.6898618E-02
   7110.00  4.4423983E-02
   7110.33  5.6252108E-02
   7110.67  7.4800064E-02
   7111.00  1.0123490E-01
   7111.33  1.2756527E-01
   7111.67  1.5580526E-01
   7112.00  1.9474687E-01
   7112.33  2.3368304E-01
   7112.67  2.6821727E-01
   7113.00  3.0929410E-01
   7113.33  3.6602205E-01
   7113.67  4.2919178E-01
   7114.00  4.7725948E-01
   7114.33  4.6673234E-01
   7114.67  4.4820455E-01
   7115.00  4.3855874E-01
   7115.33  3.9471522E-01
   7115.67  3.3110047E-01
   7116.00  2.7762966E-01
   7116.33  2.4680993E-01
   7116.67  2.3255529E-01
   7117.00  2.2954600E-01
   7117.33  2.2849730E-01
   7117.67  2.1738746E-01
   7118.00  1.9545895E-01
   7118.33  1.7367904E-01
   7118.67  1.5899407E-01
   7119.00  1.5145979E-01
   7119.33  1.4971997E-01
   7119.67  1.5106492E-01
   7120.00  1.5372666E-01
   7120.33  1.5509712E-01
