    FDMNES
    energy     <xanes>
   7097.00  5.3518666E-03
   7097.33  5.4852216E-03
   7097.67  5.6248975E-03
   7098.00  5.7713336E-03
   7098.33  5.9260113E-03
   7098.67  6.0886457E-03
   7099.00  6.2598367E-03
   7099.33  6.4415303E-03
   7099.67  6.6334361E-03
   7100.00  6.8363948E-03
   7100.33  7.0530277E-03
   7100.67  7.2830680E-03
   7101.00  7.5277298E-03
   7101.33  7.7906499E-03
   7101.67  8.0716509E-03
   7102.00  8.3725478E-03
   7102.33  8.6985692E-03
   7102.67  9.0497693E-03
   7103.00  9.4289801E-03
   7103.33  9.8440474E-03
   7103.67  1.0295580E-02
   7104.00  1.0788230E-02
   7104.33  1.1334417E-02
   7104.67  1.1936064E-02
   7105.00  1.2601330E-02
   7105.33  1.3351260E-02
   7105.67  1.4191030E-02
   7106.00  1.5136216E-02
   7106.33  1.6225858E-02
   7106.67  1.7473906E-02
   7107.00  1.8913769E-02
   7107.33  2.0627678E-02
   7107.67  2.2656891E-02
   7108.00  2.5086440E-02
   7108.33  2.8126365E-02
   7108.67  3.1925598E-02
   7109.00  3.6769329E-02
   7109.33  4.3399991E-02
   7109.67  5.2597347E-02
   7110.00  6.5883936E-02
   7110.33  8.7538942E-02
   7110.67  1.2155345E-01
   7111.00  1.6746291E-01
   7111.33  2.1516774E-01
   7111.67  2.6710619E-01
   7112.00  3.2906990E-01
   7112.33  4.0127431E-01
   7112.67  4.8013457E-01
   7113.00  5.6291571E-01
   7113.33  6.1927377E-01
   7113.67  6.0786803E-01
   7114.00  5.2851556E-01
   7114.33  4.2579464E-01
   7114.67  3.4191076E-01
   7115.00  2.8370884E-01
   7115.33  2.4882075E-01
   7115.67  2.2872029E-01
   7116.00  2.1913983E-01
   7116.33  2.1531680E-01
   7116.67  2.1068566E-01
   7117.00  2.0250303E-01
   7117.33  1.9167192E-01
   7117.67  1.8096697E-01
   7118.00  1.7162756E-01
   7118.33  1.6463202E-01
   7118.67  1.6000343E-01
   7119.00  1.5749696E-01
   7119.33  1.5633310E-01
   7119.67  1.5472923E-01
   7120.00  1.5118663E-01
   7120.33  1.4562962E-01
   7120.67  1.4046312E-01
   7121.00  1.3714390E-01
   7121.33  1.3641358E-01
   7121.67  1.3759924E-01
   7122.00  1.4026694E-01
   7122.33  1.4435046E-01
   7122.67  1.4967502E-01
   7123.00  1.5627740E-01
   7123.33  1.6443457E-01
   7123.67  1.7424359E-01
   7124.00  1.8613379E-01
   7124.33  2.0112550E-01
   7124.67  2.1950222E-01
   7125.00  2.4145293E-01
   7125.33  2.6667198E-01
   7125.67  2.9296251E-01
   7126.00  3.1845859E-01
   7126.33  3.4195122E-01
   7126.67  3.6416050E-01
   7127.00  3.8557519E-01
   7127.33  4.0556122E-01
   7127.67  4.2340495E-01
   7128.00  4.3939401E-01
   7128.33  4.5537425E-01
   7128.67  4.7384096E-01
   7129.00  4.9681382E-01
   7129.33  5.2664328E-01
   7129.67  5.6246839E-01
   7130.00  6.0261498E-01
   7130.33  6.4458746E-01
   7130.67  6.8692161E-01
   7131.00  7.3066751E-01
   7131.33  7.7885071E-01
   7131.67  8.3259706E-01
   7132.00  8.9105566E-01
   7132.33  9.4991259E-01
   7132.67  1.0018169E+00
   7133.00  1.0397599E+00
   7133.33  1.0550949E+00
   7133.67  1.0487856E+00
   7134.00  1.0230991E+00
   7134.33  9.8073655E-01
   7134.67  9.2836171E-01
   7135.00  8.7000543E-01
   7135.33  8.0990042E-01
   7135.67  7.5173660E-01
   7136.00  6.9741152E-01
   7136.33  6.4861978E-01
   7136.67  6.0507637E-01
   7137.00  5.6680083E-01
   7137.33  5.3439256E-01
   7137.67  5.0715193E-01
   7138.00  4.8502790E-01
   7138.33  4.6849413E-01
   7138.67  4.5661894E-01
   7139.00  4.4898803E-01
   7139.33  4.4542969E-01
   7139.67  4.4478518E-01
   7140.00  4.4644420E-01
   7140.33  4.4995779E-01
   7140.67  4.5457017E-01
   7141.00  4.5991162E-01
   7141.33  4.6572305E-01
   7141.67  4.7175348E-01
   7142.00  4.7790004E-01
   7142.33  4.8409623E-01
   7142.67  4.9028611E-01
   7143.00  4.9642535E-01
   7143.33  5.0243510E-01
   7143.67  5.0824837E-01
   7144.00  5.1378443E-01
   7144.33  5.1889791E-01
   7144.67  5.2354282E-01
   7145.00  5.2765190E-01
   7145.33  5.3109619E-01
   7145.67  5.3392603E-01
   7146.00  5.3614996E-01
