    FDMNES
    energy     <xanes>
   7097.00  4.3194866E-03
   7097.33  4.4080164E-03
   7097.67  4.4998913E-03
   7098.00  4.5953011E-03
   7098.33  4.6949593E-03
   7098.67  4.7986589E-03
   7099.00  4.9066489E-03
   7099.33  5.0198238E-03
   7099.67  5.1379609E-03
   7100.00  5.2613943E-03
   7100.33  5.3912718E-03
   7100.67  5.5273612E-03
   7101.00  5.6701247E-03
   7101.33  5.8210765E-03
   7101.67  5.9799922E-03
   7102.00  6.1475350E-03
   7102.33  6.3257725E-03
   7102.67  6.5145294E-03
   7103.00  6.7148018E-03
   7103.33  6.9295402E-03
   7103.67  7.1587162E-03
   7104.00  7.4039143E-03
   7104.33  7.6695947E-03
   7104.67  7.9561178E-03
   7105.00  8.2661990E-03
   7105.33  8.6071212E-03
   7105.67  8.9802755E-03
   7106.00  9.3908033E-03
   7106.33  9.8519271E-03
   7106.67  1.0367986E-02
   7107.00  1.0950147E-02
   7107.33  1.1626333E-02
   7107.67  1.2410630E-02
   7108.00  1.3332580E-02
   7108.33  1.4466044E-02
   7108.67  1.5866031E-02
   7109.00  1.7638163E-02
   7109.33  2.0060986E-02
   7109.67  2.3442123E-02
   7110.00  2.8385546E-02
   7110.33  3.6641794E-02
   7110.67  5.0290858E-02
   7111.00  7.1037945E-02
   7111.33  9.5603239E-02
   7111.67  1.0792600E-01
   7112.00  1.0160758E-01
   7112.33  9.7198473E-02
   7112.67  1.0323975E-01
   7113.00  1.0817066E-01
   7113.33  9.4514441E-02
   7113.67  7.8262444E-02
   7114.00  6.8881655E-02
   7114.33  6.7102786E-02
   7114.67  7.0775955E-02
   7115.00  7.9994001E-02
   7115.33  9.7083414E-02
   7115.67  1.2291518E-01
   7116.00  1.5564113E-01
   7116.33  1.8287105E-01
   7116.67  1.9711533E-01
   7117.00  2.0777542E-01
   7117.33  2.2826240E-01
   7117.67  2.5830741E-01
   7118.00  2.9041025E-01
   7118.33  3.1264214E-01
   7118.67  3.2384033E-01
   7119.00  3.2944243E-01
   7119.33  3.3449384E-01
   7119.67  3.3679067E-01
   7120.00  3.3057494E-01
   7120.33  3.1386571E-01
   7120.67  2.9692876E-01
   7121.00  2.8671496E-01
   7121.33  2.8535295E-01
   7121.67  2.8905200E-01
   7122.00  2.9488357E-01
   7122.33  2.9960586E-01
   7122.67  3.0141750E-01
   7123.00  3.0057902E-01
   7123.33  2.9884313E-01
   7123.67  2.9822348E-01
   7124.00  3.0002577E-01
   7124.33  3.0557168E-01
   7124.67  3.1469570E-01
   7125.00  3.2771925E-01
   7125.33  3.4611044E-01
   7125.67  3.7000065E-01
   7126.00  3.9962069E-01
   7126.33  4.3596828E-01
   7126.67  4.7846309E-01
   7127.00  5.2681815E-01
   7127.33  5.8096371E-01
   7127.67  6.3906962E-01
   7128.00  6.9839589E-01
   7128.33  7.5093817E-01
   7128.67  7.8588677E-01
   7129.00  7.9409485E-01
   7129.33  7.7246566E-01
   7129.67  7.3593004E-01
   7130.00  6.9434207E-01
   7130.33  6.5364499E-01
   7130.67  6.1666174E-01
   7131.00  5.8585646E-01
   7131.33  5.6422782E-01
   7131.67  5.5050364E-01
   7132.00  5.4312139E-01
   7132.33  5.4068501E-01
   7132.67  5.4109981E-01
   7133.00  5.4296110E-01
   7133.33  5.4433810E-01
   7133.67  5.4384483E-01
   7134.00  5.4103346E-01
   7134.33  5.3589280E-01
   7134.67  5.2939106E-01
   7135.00  5.2236565E-01
   7135.33  5.1606814E-01
   7135.67  5.1165558E-01
   7136.00  5.1009740E-01
   7136.33  5.1272293E-01
   7136.67  5.1948758E-01
