    FDMNES
    energy     <xanes>
   7097.00  5.1165335E-03
   7097.33  5.2312754E-03
   7097.67  5.3510161E-03
   7098.00  5.4760828E-03
   7098.33  5.6076139E-03
   7098.67  5.7453577E-03
   7099.00  5.8897562E-03
   7099.33  6.0422843E-03
   7099.67  6.2026794E-03
   7100.00  6.3715535E-03
   7100.33  6.5508654E-03
   7100.67  6.7403597E-03
   7101.00  6.9409094E-03
   7101.33  7.1551923E-03
   7101.67  7.3830022E-03
   7102.00  7.6256283E-03
   7102.33  7.8868611E-03
   7102.67  8.1666368E-03
   7103.00  8.4669407E-03
   7103.33  8.7933717E-03
   7103.67  9.1462183E-03
   7104.00  9.5287003E-03
   7104.33  9.9495382E-03
   7104.67  1.0409870E-02
   7105.00  1.0915269E-02
   7105.33  1.1480276E-02
   7105.67  1.2108142E-02
   7106.00  1.2809375E-02
   7106.33  1.3610517E-02
   7106.67  1.4520534E-02
   7107.00  1.5561681E-02
   7107.33  1.6789000E-02
   7107.67  1.8229168E-02
   7108.00  1.9938098E-02
   7108.33  2.2054058E-02
   7108.67  2.4672683E-02
   7109.00  2.7977900E-02
   7109.33  3.2445960E-02
   7109.67  3.8563169E-02
   7110.00  4.7276259E-02
   7110.33  6.1287463E-02
   7110.67  8.3819126E-02
   7111.00  1.1806753E-01
   7111.33  1.6185947E-01
   7111.67  1.9804911E-01
   7112.00  2.1486503E-01
   7112.33  2.3409767E-01
   7112.67  2.6561216E-01
   7113.00  2.9791801E-01
   7113.33  3.3094732E-01
   7113.67  3.6833739E-01
   7114.00  4.1005251E-01
   7114.33  4.4289671E-01
   7114.67  4.2974331E-01
   7115.00  3.7148226E-01
   7115.33  3.0606917E-01
   7115.67  2.5626041E-01
   7116.00  2.2350167E-01
   7116.33  2.0530078E-01
   7116.67  1.9516394E-01
   7117.00  1.8723161E-01
   7117.33  1.7317794E-01
   7117.67  1.5544087E-01
   7118.00  1.4030653E-01
   7118.33  1.3146322E-01
   7118.67  1.2762864E-01
   7119.00  1.2740988E-01
   7119.33  1.2910826E-01
   7119.67  1.3118302E-01
   7120.00  1.3290009E-01
   7120.33  1.3342133E-01
   7120.67  1.3283872E-01
   7121.00  1.3165300E-01
   7121.33  1.3084222E-01
   7121.67  1.3135264E-01
   7122.00  1.3379235E-01
   7122.33  1.3884555E-01
   7122.67  1.4645277E-01
   7123.00  1.5677865E-01
   7123.33  1.7032512E-01
   7123.67  1.8672409E-01
   7124.00  2.0573858E-01
   7124.33  2.2704224E-01
   7124.67  2.4963162E-01
   7125.00  2.7294730E-01
   7125.33  2.9664848E-01
   7125.67  3.2044435E-01
   7126.00  3.4404964E-01
   7126.33  3.6710668E-01
   7126.67  3.8956676E-01
   7127.00  4.1152730E-01
   7127.33  4.3357481E-01
   7127.67  4.5667774E-01
   7128.00  4.8131229E-01
   7128.33  5.0704266E-01
   7128.67  5.3248839E-01
   7129.00  5.5679445E-01
   7129.33  5.7963085E-01
   7129.67  6.0169347E-01
   7130.00  6.2355243E-01
   7130.33  6.4572126E-01
   7130.67  6.6835348E-01
   7131.00  6.9148806E-01
   7131.33  7.1530859E-01
   7131.67  7.3996818E-01
   7132.00  7.6567873E-01
   7132.33  7.9269562E-01
   7132.67  8.2069170E-01
   7133.00  8.4919471E-01
   7133.33  8.7718474E-01
   7133.67  9.0330368E-01
   7134.00  9.2599354E-01
   7134.33  9.4245549E-01
   7134.67  9.5127481E-01
   7135.00  9.5105870E-01
   7135.33  9.4001472E-01
   7135.67  9.2014440E-01
   7136.00  8.9311062E-01
   7136.33  8.6094214E-01
   7136.67  8.2691205E-01
   7137.00  7.9302512E-01
   7137.33  7.6125379E-01
   7137.67  7.3244224E-01
   7138.00  7.0707539E-01
   7138.33  6.8579891E-01
   7138.67  6.6808254E-01
   7139.00  6.5373141E-01
   7139.33  6.4280984E-01
   7139.67  6.3456202E-01
   7140.00  6.2863754E-01
   7140.33  6.2484004E-01
   7140.67  6.2248023E-01
   7141.00  6.2116404E-01
   7141.33  6.2052446E-01
   7141.67  6.2006313E-01
   7142.00  6.1944596E-01
   7142.33  6.1828624E-01
   7142.67  6.1639794E-01
   7143.00  6.1363509E-01
   7143.33  6.0977763E-01
   7143.67  6.0491751E-01
   7144.00  5.9907571E-01
   7144.33  5.9220485E-01
   7144.67  5.8452120E-01
   7145.00  5.7613265E-01
   7145.33  5.6710983E-01
   7145.67  5.5767420E-01
   7146.00  5.4795875E-01
   7146.33  5.3810098E-01
   7146.67  5.2826404E-01
   7147.00  5.1856695E-01
   7147.33  5.0916944E-01
   7147.67  5.0015046E-01
   7148.00  4.9159629E-01
   7148.33  4.8366271E-01
   7148.67  4.7634976E-01
   7149.00  4.6970239E-01
   7149.33  4.6384477E-01
   7149.67  4.5871025E-01
   7150.00  4.5430616E-01
   7150.33  4.5072086E-01
   7150.67  4.4785089E-01
   7151.00  4.4567873E-01
   7151.33  4.4425732E-01
   7151.67  4.4345409E-01
   7152.00  4.4321694E-01
   7152.33  4.4355214E-01
   7152.67  4.4433941E-01
   7153.00  4.4552424E-01
   7153.33  4.4707561E-01
   7153.67  4.4887718E-01
   7154.00  4.5086414E-01
   7154.33  4.5297856E-01
   7154.67  4.5514032E-01
   7155.00  4.5729842E-01
   7155.33  4.5939486E-01
   7155.67  4.6139670E-01
   7156.00  4.6327946E-01
   7156.33  4.6500849E-01
   7156.67  4.6659388E-01
   7157.00  4.6803694E-01
   7157.33  4.6933018E-01
   7157.67  4.7050600E-01
   7158.00  4.7158175E-01
   7158.33  4.7257184E-01
   7158.67  4.7351278E-01
   7159.00  4.7442924E-01
   7159.33  4.7535107E-01
   7159.67  4.7630637E-01
   7160.00  4.7731856E-01
   7160.33  4.7842331E-01
   7160.67  4.7963283E-01
   7161.00  4.8096341E-01
   7161.33  4.8244671E-01
   7161.67  4.8407583E-01
   7162.00  4.8585481E-01
   7162.33  4.8780239E-01
   7162.67  4.8989658E-01
   7163.00  4.9213086E-01
   7163.33  4.9450905E-01
   7163.67  4.9699922E-01
   7164.00  4.9958346E-01
   7164.33  5.0223888E-01
   7164.67  5.0492286E-01
   7165.00  5.0760934E-01
   7165.33  5.1026560E-01
   7165.67  5.1286472E-01
   7166.00  5.1538098E-01
   7166.33  5.1777296E-01
   7166.67  5.2003023E-01
   7167.00  5.2213463E-01
   7167.33  5.2404643E-01
   7167.67  5.2577168E-01
   7168.00  5.2729943E-01
   7168.33  5.2859308E-01
   7168.67  5.2966925E-01
   7169.00  5.3051981E-01
   7169.33  5.3110800E-01
   7169.67  5.3146098E-01
   7170.00  5.3157860E-01
   7170.33  5.3143313E-01
   7170.67  5.3106379E-01
   7171.00  5.3049127E-01
   7171.33  5.2974691E-01
   7171.67  5.2895041E-01
   7172.00  5.2823944E-01
