    FDMNES
    energy     <xanes>
   7097.00  4.2322577E-03
   7097.33  4.3184807E-03
   7097.67  4.4079063E-03
   7098.00  4.5007122E-03
   7098.33  4.5975742E-03
   7098.67  4.6982887E-03
   7099.00  4.8030869E-03
   7099.33  4.9128117E-03
   7099.67  5.0272427E-03
   7100.00  5.1466882E-03
   7100.33  5.2722227E-03
   7100.67  5.4036141E-03
   7101.00  5.5412865E-03
   7101.33  5.6866468E-03
   7101.67  5.8394664E-03
   7102.00  6.0003497E-03
   7102.33  6.1712036E-03
   7102.67  6.3518394E-03
   7103.00  6.5431593E-03
   7103.33  6.7478655E-03
   7103.67  6.9658973E-03
   7104.00  7.1986852E-03
   7104.33  7.4502923E-03
   7104.67  7.7210087E-03
   7105.00  8.0132901E-03
   7105.33  8.3337641E-03
   7105.67  8.6836805E-03
   7106.00  9.0677370E-03
   7106.33  9.4980641E-03
   7106.67  9.9787613E-03
   7107.00  1.0520293E-02
   7107.33  1.1148938E-02
   7107.67  1.1878737E-02
   7108.00  1.2738827E-02
   7108.33  1.3802813E-02
   7108.67  1.5130150E-02
   7109.00  1.6835340E-02
   7109.33  1.9228721E-02
   7109.67  2.2687897E-02
   7110.00  2.7966584E-02
   7110.33  3.7222800E-02
   7110.67  5.2073960E-02
   7111.00  6.9314965E-02
   7111.33  7.6115191E-02
   7111.67  7.6013152E-02
   7112.00  7.6457991E-02
   7112.33  7.9423400E-02
   7112.67  8.2863430E-02
   7113.00  8.4036498E-02
   7113.33  7.9782713E-02
   7113.67  7.2141086E-02
   7114.00  6.4494393E-02
   7114.33  5.9740584E-02
   7114.67  5.8065259E-02
   7115.00  5.9289808E-02
   7115.33  6.3690406E-02
   7115.67  7.1186130E-02
   7116.00  8.2378064E-02
   7116.33  9.9181092E-02
   7116.67  1.2302877E-01
   7117.00  1.5620705E-01
   7117.33  2.0249755E-01
   7117.67  2.6044294E-01
   7118.00  3.2722203E-01
   7118.33  3.9562008E-01
   7118.67  4.5447716E-01
   7119.00  4.9785159E-01
   7119.33  5.2258969E-01
   7119.67  5.3032952E-01
   7120.00  5.2129780E-01
   7120.33  4.9666391E-01
   7120.67  4.6308962E-01
   7121.00  4.2507567E-01
   7121.33  3.8713414E-01
   7121.67  3.5255364E-01
   7122.00  3.2303339E-01
   7122.33  2.9992486E-01
   7122.67  2.8201061E-01
   7123.00  2.6837421E-01
   7123.33  2.5860718E-01
   7123.67  2.5232177E-01
   7124.00  2.4987241E-01
   7124.33  2.5162112E-01
   7124.67  2.5682070E-01
   7125.00  2.6589440E-01
   7125.33  2.8053724E-01
   7125.67  3.0050917E-01
   7126.00  3.2505527E-01
   7126.33  3.5284887E-01
   7126.67  3.8169811E-01
   7127.00  4.1039423E-01
   7127.33  4.3755771E-01
   7127.67  4.6126033E-01
   7128.00  4.7889616E-01
   7128.33  4.8860108E-01
   7128.67  4.9437688E-01
   7129.00  4.9978586E-01
   7129.33  5.0733212E-01
   7129.67  5.1712962E-01
   7130.00  5.2868340E-01
   7130.33  5.4078123E-01
   7130.67  5.5140756E-01
   7131.00  5.5892534E-01
   7131.33  5.6221902E-01
   7131.67  5.6296282E-01
   7132.00  5.6304101E-01
   7132.33  5.6457363E-01
   7132.67  5.6837850E-01
   7133.00  5.7440027E-01
   7133.33  5.8189796E-01
   7133.67  5.8948817E-01
   7134.00  5.9669049E-01
   7134.33  6.0437991E-01
   7134.67  6.1410613E-01
   7135.00  6.2661846E-01
   7135.33  6.4144293E-01
   7135.67  6.5606378E-01
   7136.00  6.6794710E-01
   7136.33  6.7380073E-01
   7136.67  6.7298907E-01
   7137.00  6.6578171E-01
   7137.33  6.5318297E-01
   7137.67  6.3799556E-01
   7138.00  6.2199605E-01
   7138.33  6.0680797E-01
   7138.67  5.9320850E-01
   7139.00  5.8149725E-01
   7139.33  5.7193230E-01
   7139.67  5.6411237E-01
   7140.00  5.5783214E-01
   7140.33  5.5299013E-01
   7140.67  5.4917623E-01
   7141.00  5.4618785E-01
   7141.33  5.4387508E-01
   7141.67  5.4195492E-01
   7142.00  5.4026974E-01
   7142.33  5.3867790E-01
   7142.67  5.3705568E-01
   7143.00  5.3533708E-01
   7143.33  5.3345998E-01
   7143.67  5.3142646E-01
   7144.00  5.2924225E-01
   7144.33  5.2692075E-01
   7144.67  5.2454311E-01
   7145.00  5.2220668E-01
   7145.33  5.2009035E-01
   7145.67  5.1837887E-01
   7146.00  5.1729808E-01
   7146.33  5.1725361E-01
   7146.67  5.1840777E-01
   7147.00  5.2095729E-01
   7147.33  5.2524595E-01
   7147.67  5.3112567E-01
   7148.00  5.3853466E-01
   7148.33  5.4744026E-01
   7148.67  5.5734809E-01
   7149.00  5.6789101E-01
   7149.33  5.7861544E-01
   7149.67  5.8905178E-01
   7150.00  5.9887631E-01
   7150.33  6.0771280E-01
   7150.67  6.1553970E-01
   7151.00  6.2234347E-01
   7151.33  6.2807046E-01
   7151.67  6.3294353E-01
   7152.00  6.3703940E-01
   7152.33  6.4030245E-01
   7152.67  6.4278478E-01
   7153.00  6.4439115E-01
   7153.33  6.4483525E-01
   7153.67  6.4407977E-01
   7154.00  6.4200918E-01
   7154.33  6.3838150E-01
   7154.67  6.3339076E-01
   7155.00  6.2712982E-01
   7155.33  6.1964704E-01
   7155.67  6.1131768E-01
   7156.00  6.0236542E-01
   7156.33  5.9299766E-01
   7156.67  5.8348546E-01
   7157.00  5.7398750E-01
   7157.33  5.6466290E-01
   7157.67  5.5558634E-01
   7158.00  5.4680583E-01
   7158.33  5.3838497E-01
   7158.67  5.3027976E-01
   7159.00  5.2247200E-01
   7159.33  5.1496277E-01
   7159.67  5.0768355E-01
   7160.00  5.0061047E-01
   7160.33  4.9374215E-01
   7160.67  4.8703030E-01
   7161.00  4.8045351E-01
   7161.33  4.7400912E-01
   7161.67  4.6767407E-01
   7162.00  4.6144691E-01
   7162.33  4.5534697E-01
   7162.67  4.4936912E-01
   7163.00  4.4352041E-01
   7163.33  4.3782176E-01
   7163.67  4.3225705E-01
   7164.00  4.2682480E-01
   7164.33  4.2153727E-01
   7164.67  4.1637294E-01
   7165.00  4.1132725E-01
   7165.33  4.0641139E-01
   7165.67  4.0161198E-01
   7166.00  3.9693410E-01
   7166.33  3.9240395E-01
   7166.67  3.8801835E-01
   7167.00  3.8379156E-01
   7167.33  3.7976540E-01
   7167.67  3.7593962E-01
   7168.00  3.7233462E-01
   7168.33  3.6900542E-01
   7168.67  3.6594593E-01
   7169.00  3.6317758E-01
   7169.33  3.6076470E-01
   7169.67  3.5869123E-01
   7170.00  3.5697449E-01
   7170.33  3.5567419E-01
   7170.67  3.5474543E-01
   7171.00  3.5417456E-01
   7171.33  3.5395641E-01
   7171.67  3.5395673E-01
   7172.00  3.5404114E-01
