    FDMNES
    energy     <xanes>
   7097.00  4.4474066E-03
   7097.33  4.5509773E-03
   7097.67  4.6594378E-03
   7098.00  4.7731479E-03
   7098.33  4.8932902E-03
   7098.67  5.0196771E-03
   7099.00  5.1528145E-03
   7099.33  5.2942939E-03
   7099.67  5.4439448E-03
   7100.00  5.6025019E-03
   7100.33  5.7721755E-03
   7100.67  5.9528555E-03
   7101.00  6.1456480E-03
   7101.33  6.3537416E-03
   7101.67  6.5771796E-03
   7102.00  6.8177020E-03
   7102.33  7.0801212E-03
   7102.67  7.3648433E-03
   7103.00  7.6747528E-03
   7103.33  8.0175251E-03
   7103.67  8.3944187E-03
   7104.00  8.8105352E-03
   7104.33  9.2789830E-03
   7104.67  9.8031037E-03
   7105.00  1.0392684E-02
   7105.33  1.1072154E-02
   7105.67  1.1850339E-02
   7106.00  1.2748109E-02
   7106.33  1.3816566E-02
   7106.67  1.5080752E-02
   7107.00  1.6592063E-02
   7107.33  1.8475897E-02
   7107.67  2.0814490E-02
   7108.00  2.3763457E-02
   7108.33  2.7712154E-02
   7108.67  3.3006916E-02
   7109.00  4.0294792E-02
   7109.33  5.1327347E-02
   7109.67  6.8298955E-02
   7110.00  9.5565033E-02
   7110.33  1.4582130E-01
   7110.67  2.3120115E-01
   7111.00  3.4314389E-01
   7111.33  3.9928309E-01
   7111.67  3.6771393E-01
   7112.00  3.0572052E-01
   7112.33  2.6068966E-01
   7112.67  2.2128244E-01
   7113.00  1.8052052E-01
   7113.33  1.4129011E-01
   7113.67  1.0996653E-01
   7114.00  8.8890246E-02
   7114.33  7.7151288E-02
   7114.67  7.1072469E-02
   7115.00  6.7081393E-02
   7115.33  6.1104430E-02
   7115.67  5.5897789E-02
   7116.00  5.3130769E-02
   7116.33  5.0991612E-02
   7116.67  4.7806548E-02
   7117.00  4.4454326E-02
   7117.33  4.2296535E-02
   7117.67  4.1424005E-02
   7118.00  4.1666405E-02
   7118.33  4.2905654E-02
   7118.67  4.4854971E-02
   7119.00  4.7429186E-02
   7119.33  5.0763298E-02
   7119.67  5.5060695E-02
   7120.00  6.0732437E-02
   7120.33  6.8592127E-02
   7120.67  7.9057852E-02
   7121.00  9.2701795E-02
   7121.33  1.0915705E-01
   7121.67  1.2323339E-01
   7122.00  1.2968104E-01
   7122.33  1.2916108E-01
   7122.67  1.2766735E-01
   7123.00  1.2710050E-01
   7123.33  1.2870513E-01
   7123.67  1.3375227E-01
   7124.00  1.4357064E-01
   7124.33  1.5993263E-01
   7124.67  1.8268852E-01
   7125.00  2.1194126E-01
   7125.33  2.4760576E-01
   7125.67  2.8617356E-01
   7126.00  3.2288030E-01
   7126.33  3.5011043E-01
   7126.67  3.6636334E-01
   7127.00  3.7322370E-01
   7127.33  3.7152262E-01
   7127.67  3.6527003E-01
   7128.00  3.5970627E-01
   7128.33  3.6009159E-01
   7128.67  3.6698433E-01
   7129.00  3.8067833E-01
   7129.33  4.0283118E-01
   7129.67  4.3276344E-01
   7130.00  4.7011661E-01
   7130.33  5.1508070E-01
   7130.67  5.6649786E-01
   7131.00  6.2464319E-01
   7131.33  6.9044185E-01
   7131.67  7.5968615E-01
   7132.00  8.2337567E-01
   7132.33  8.6256096E-01
   7132.67  8.7229922E-01
   7133.00  8.6350013E-01
   7133.33  8.5775877E-01
   7133.67  8.6681079E-01
   7134.00  8.9305078E-01
   7134.33  9.3961452E-01
   7134.67  1.0064233E+00
   7135.00  1.0949649E+00
   7135.33  1.2003331E+00
   7135.67  1.2908307E+00
   7136.00  1.3229823E+00
   7136.33  1.2594219E+00
   7136.67  1.1434904E+00
   7137.00  1.0187874E+00
   7137.33  9.1484106E-01
   7137.67  8.3375964E-01
   7138.00  7.7222738E-01
   7138.33  7.2712804E-01
   7138.67  6.9266233E-01
   7139.00  6.6642879E-01
   7139.33  6.4735001E-01
   7139.67  6.3346487E-01
   7140.00  6.2415149E-01
   7140.33  6.1947818E-01
   7140.67  6.1866070E-01
   7141.00  6.2153463E-01
   7141.33  6.2834112E-01
   7141.67  6.3837852E-01
   7142.00  6.5132950E-01
   7142.33  6.6694040E-01
   7142.67  6.8409141E-01
   7143.00  7.0182237E-01
   7143.33  7.1865161E-01
   7143.67  7.3315467E-01
   7144.00  7.4408914E-01
   7144.33  7.4976170E-01
   7144.67  7.5024285E-01
   7145.00  7.4564974E-01
   7145.33  7.3615800E-01
   7145.67  7.2345060E-01
   7146.00  7.0863389E-01
   7146.33  6.9281987E-01
   7146.67  6.7711854E-01
   7147.00  6.6214405E-01
   7147.33  6.4845693E-01
   7147.67  6.3605305E-01
   7148.00  6.2487629E-01
   7148.33  6.1484150E-01
   7148.67  6.0553491E-01
   7149.00  5.9669601E-01
   7149.33  5.8806646E-01
   7149.67  5.7938817E-01
   7150.00  5.7049108E-01
   7150.33  5.6116565E-01
