    FDMNES
    energy     <xanes>
   7097.00  3.9026443E-03
   7097.33  3.9742322E-03
   7097.67  4.0483456E-03
   7098.00  4.1251294E-03
   7098.33  4.2051256E-03
   7098.67  4.2881825E-03
   7099.00  4.3744938E-03
   7099.33  4.4647480E-03
   7099.67  4.5587872E-03
   7100.00  4.6568791E-03
   7100.33  4.7599238E-03
   7100.67  4.8677673E-03
   7101.00  4.9807933E-03
   7101.33  5.1002209E-03
   7101.67  5.2259236E-03
   7102.00  5.3584758E-03
   7102.33  5.4996033E-03
   7102.67  5.6492599E-03
   7103.00  5.8083525E-03
   7103.33  5.9794612E-03
   7103.67  6.1627447E-03
   7104.00  6.3597309E-03
   7104.33  6.5745511E-03
   7104.67  6.8078766E-03
   7105.00  7.0624980E-03
   7105.33  7.3456339E-03
   7105.67  7.6592973E-03
   7106.00  8.0091388E-03
   7106.33  8.4092916E-03
   7106.67  8.8656284E-03
   7107.00  9.3912756E-03
   7107.33  1.0018512E-02
   7107.67  1.0766180E-02
   7108.00  1.1671274E-02
   7108.33  1.2825817E-02
   7108.67  1.4304349E-02
   7109.00  1.6246820E-02
   7109.33  1.9024057E-02
   7109.67  2.3064420E-02
   7110.00  2.9206460E-02
   7110.33  3.9860061E-02
   7110.67  5.7530236E-02
   7111.00  8.2638872E-02
   7111.33  1.0941511E-01
   7111.67  1.3275704E-01
   7112.00  1.4503632E-01
   7112.33  1.3073445E-01
   7112.67  1.0093118E-01
   7113.00  7.3923523E-02
   7113.33  5.6701815E-02
   7113.67  4.6319546E-02
   7114.00  4.0999690E-02
   7114.33  3.8838671E-02
   7114.67  3.6214564E-02
   7115.00  3.2582431E-02
   7115.33  2.9914096E-02
   7115.67  2.8489737E-02
   7116.00  2.7999000E-02
   7116.33  2.8239157E-02
   7116.67  2.8973665E-02
   7117.00  3.0132951E-02
   7117.33  3.1721903E-02
   7117.67  3.3683339E-02
   7118.00  3.6050098E-02
   7118.33  3.8980886E-02
   7118.67  4.2487749E-02
   7119.00  4.6439583E-02
   7119.33  5.0336924E-02
   7119.67  5.3741433E-02
   7120.00  5.6638864E-02
   7120.33  5.9185921E-02
   7120.67  6.1628277E-02
   7121.00  6.4148739E-02
   7121.33  6.7038140E-02
   7121.67  7.0563862E-02
   7122.00  7.5047551E-02
   7122.33  8.1126916E-02
   7122.67  8.9180046E-02
   7123.00  9.9717572E-02
   7123.33  1.1365623E-01
   7123.67  1.3100988E-01
   7124.00  1.5219541E-01
   7124.33  1.7928646E-01
   7124.67  2.1435359E-01
   7125.00  2.5992279E-01
   7125.33  3.1828664E-01
   7125.67  3.8304649E-01
   7126.00  4.4358464E-01
   7126.33  4.8384251E-01
   7126.67  5.0247416E-01
   7127.00  5.0576105E-01
   7127.33  5.0151061E-01
   7127.67  4.9711658E-01
   7128.00  4.9794223E-01
   7128.33  5.1065169E-01
   7128.67  5.3737872E-01
   7129.00  5.8046091E-01
   7129.33  6.4550352E-01
   7129.67  7.3336217E-01
   7130.00  8.4519940E-01
   7130.33  9.7799946E-01
   7130.67  1.1108964E+00
   7131.00  1.2189103E+00
   7131.33  1.2741429E+00
   7131.67  1.2813199E+00
   7132.00  1.2487392E+00
   7132.33  1.1823188E+00
   7132.67  1.0964306E+00
   7133.00  1.0017895E+00
   7133.33  9.1007551E-01
   7133.67  8.2864740E-01
   7134.00  7.6083596E-01
   7134.33  7.0869472E-01
   7134.67  6.6797057E-01
   7135.00  6.3589292E-01
   7135.33  6.1082753E-01
   7135.67  5.9068188E-01
   7136.00  5.7488642E-01
   7136.33  5.6353864E-01
   7136.67  5.5582786E-01
   7137.00  5.5147822E-01
   7137.33  5.5051986E-01
   7137.67  5.5220365E-01
   7138.00  5.5619683E-01
   7138.33  5.6234957E-01
   7138.67  5.7004811E-01
   7139.00  5.7900006E-01
   7139.33  5.8903611E-01
   7139.67  5.9981474E-01
   7140.00  6.1120696E-01
   7140.33  6.2319880E-01
   7140.67  6.3570613E-01
   7141.00  6.4874935E-01
   7141.33  6.6244464E-01
   7141.67  6.7675739E-01
   7142.00  6.9169011E-01
   7142.33  7.0723463E-01
   7142.67  7.2309281E-01
   7143.00  7.3891689E-01
   7143.33  7.5405075E-01
   7143.67  7.6780284E-01
   7144.00  7.7933971E-01
   7144.33  7.8711222E-01
