    FDMNES
    energy     <xanes>
   7097.00  5.3733816E-03
   7097.33  5.5071771E-03
   7097.67  5.6472944E-03
   7098.00  5.7941708E-03
   7098.33  5.9492849E-03
   7098.67  6.1123487E-03
   7099.00  6.2839588E-03
   7099.33  6.4660540E-03
   7099.67  6.6583393E-03
   7100.00  6.8616487E-03
   7100.33  7.0785886E-03
   7100.67  7.3088845E-03
   7101.00  7.5537369E-03
   7101.33  7.8167525E-03
   7101.67  8.0977390E-03
   7102.00  8.3984845E-03
   7102.33  8.7241547E-03
   7102.67  9.0747738E-03
   7103.00  9.4531165E-03
   7103.33  9.8668957E-03
   7103.67  1.0316652E-02
   7104.00  1.0806912E-02
   7104.33  1.1349795E-02
   7104.67  1.1947061E-02
   7105.00  1.2606564E-02
   7105.33  1.3348630E-02
   7105.67  1.4177991E-02
   7106.00  1.5109417E-02
   7106.33  1.6180034E-02
   7106.67  1.7402423E-02
   7107.00  1.8807561E-02
   7107.33  2.0471774E-02
   7107.67  2.2431322E-02
   7108.00  2.4762355E-02
   7108.33  2.7652407E-02
   7108.67  3.1226946E-02
   7109.00  3.5728022E-02
   7109.33  4.1779055E-02
   7109.67  4.9998710E-02
   7110.00  6.1589288E-02
   7110.33  7.9878981E-02
   7110.67  1.0781291E-01
   7111.00  1.4482750E-01
   7111.33  1.8446247E-01
   7111.67  2.3703588E-01
   7112.00  3.1736891E-01
   7112.33  4.3215463E-01
   7112.67  5.6813794E-01
   7113.00  6.9164330E-01
   7113.33  6.9988736E-01
   7113.67  5.9788077E-01
   7114.00  4.7129201E-01
   7114.33  3.7762139E-01
   7114.67  3.1537794E-01
   7115.00  2.7732943E-01
   7115.33  2.5872628E-01
   7115.67  2.5175365E-01
   7116.00  2.4997503E-01
   7116.33  2.4363439E-01
   7116.67  2.2913942E-01
   7117.00  2.0947518E-01
   7117.33  1.9026447E-01
   7117.67  1.7456147E-01
   7118.00  1.6271909E-01
   7118.33  1.5440447E-01
   7118.67  1.4834023E-01
   7119.00  1.4388991E-01
   7119.33  1.4061003E-01
   7119.67  1.3795387E-01
   7120.00  1.3561286E-01
   7120.33  1.3329091E-01
   7120.67  1.3098828E-01
   7121.00  1.2904511E-01
   7121.33  1.2793870E-01
   7121.67  1.2757509E-01
   7122.00  1.2795453E-01
   7122.33  1.2935112E-01
   7122.67  1.3174016E-01
   7123.00  1.3513978E-01
   7123.33  1.3972883E-01
   7123.67  1.4548917E-01
   7124.00  1.5258567E-01
   7124.33  1.6150626E-01
   7124.67  1.7244566E-01
   7125.00  1.8583602E-01
   7125.33  2.0264245E-01
   7125.67  2.2305817E-01
   7126.00  2.4738382E-01
   7126.33  2.7583135E-01
   7126.67  3.0688424E-01
   7127.00  3.3949425E-01
   7127.33  3.7275051E-01
   7127.67  4.0513476E-01
   7128.00  4.3531797E-01
   7128.33  4.6361751E-01
   7128.67  4.9340658E-01
   7129.00  5.2767342E-01
   7129.33  5.6877369E-01
   7129.67  6.1468444E-01
   7130.00  6.6268301E-01
   7130.33  7.0939018E-01
   7130.67  7.5331708E-01
   7131.00  7.9476039E-01
   7131.33  8.3524927E-01
   7131.67  8.7683540E-01
   7132.00  9.2073387E-01
   7132.33  9.6748082E-01
   7132.67  1.0149785E+00
   7133.00  1.0595623E+00
   7133.33  1.0932531E+00
   7133.67  1.1094836E+00
   7134.00  1.1033693E+00
   7134.33  1.0712780E+00
   7134.67  1.0208622E+00
   7135.00  9.5859827E-01
   7135.33  8.9114960E-01
   7135.67  8.2429645E-01
   7136.00  7.6075645E-01
   7136.33  7.0288280E-01
   7136.67  6.5086365E-01
   7137.00  6.0504326E-01
   7137.33  5.6644546E-01
   7137.67  5.3438448E-01
   7138.00  5.0887974E-01
   7138.33  4.9064729E-01
   7138.67  4.7859825E-01
   7139.00  4.7226927E-01
   7139.33  4.7142663E-01
   7139.67  4.7434312E-01
   7140.00  4.7995590E-01
   7140.33  4.8728783E-01
   7140.67  4.9523236E-01
   7141.00  5.0328013E-01
   7141.33  5.1112088E-01
   7141.67  5.1872670E-01
   7142.00  5.2614875E-01
   7142.33  5.3344499E-01
   7142.67  5.4064711E-01
   7143.00  5.4770249E-01
   7143.33  5.5443956E-01
   7143.67  5.6070391E-01
   7144.00  5.6631830E-01
   7144.33  5.7097960E-01
   7144.67  5.7463016E-01
   7145.00  5.7718188E-01
   7145.33  5.7846524E-01
   7145.67  5.7866549E-01
   7146.00  5.7786746E-01
   7146.33  5.7610057E-01
   7146.67  5.7363372E-01
   7147.00  5.7061278E-01
   7147.33  5.6715731E-01
   7147.67  5.6347361E-01
   7148.00  5.5968577E-01
   7148.33  5.5592567E-01
   7148.67  5.5230094E-01
   7149.00  5.4889248E-01
   7149.33  5.4581978E-01
   7149.67  5.4311480E-01
   7150.00  5.4082257E-01
   7150.33  5.3903962E-01
   7150.67  5.3773882E-01
   7151.00  5.3693815E-01
   7151.33  5.3671854E-01
   7151.67  5.3702616E-01
   7152.00  5.3786487E-01
   7152.33  5.3930011E-01
   7152.67  5.4125782E-01
   7153.00  5.4372397E-01
   7153.33  5.4673070E-01
   7153.67  5.5017351E-01
   7154.00  5.5399834E-01
   7154.33  5.5815946E-01
   7154.67  5.6251527E-01
   7155.00  5.6696217E-01
   7155.33  5.7136442E-01
   7155.67  5.7559391E-01
   7156.00  5.7954203E-01
   7156.33  5.8304738E-01
   7156.67  5.8606802E-01
   7157.00  5.8854481E-01
   7157.33  5.9035747E-01
   7157.67  5.9155517E-01
   7158.00  5.9213138E-01
   7158.33  5.9201525E-01
   7158.67  5.9130028E-01
   7159.00  5.9000639E-01
   7159.33  5.8809263E-01
   7159.67  5.8565945E-01
   7160.00  5.8273644E-01
   7160.33  5.7930420E-01
   7160.67  5.7545808E-01
   7161.00  5.7123045E-01
   7161.33  5.6661155E-01
   7161.67  5.6168099E-01
   7162.00  5.5647091E-01
   7162.33  5.5098047E-01
   7162.67  5.4527152E-01
   7163.00  5.3937221E-01
   7163.33  5.3329191E-01
   7163.67  5.2707655E-01
   7164.00  5.2074518E-01
   7164.33  5.1430548E-01
   7164.67  5.0778860E-01
   7165.00  5.0121098E-01
   7165.33  4.9458790E-01
   7165.67  4.8794714E-01
   7166.00  4.8130970E-01
   7166.33  4.7470524E-01
   7166.67  4.6815939E-01
   7167.00  4.6170041E-01
   7167.33  4.5537854E-01
   7167.67  4.4921611E-01
   7168.00  4.4324784E-01
   7168.33  4.3754464E-01
   7168.67  4.3211742E-01
   7169.00  4.2699857E-01
   7169.33  4.2226259E-01
   7169.67  4.1789049E-01
   7170.00  4.1389596E-01
   7170.33  4.1033909E-01
   7170.67  4.0717868E-01
   7171.00  4.0441798E-01
   7171.33  4.0210965E-01
   7171.67  4.0020917E-01
   7172.00  3.9872270E-01
