    FDMNES
    energy     <xanes>
   7097.00  3.9618089E-03
   7097.33  4.0391886E-03
   7097.67  4.1195305E-03
   7098.00  4.2030200E-03
   7098.33  4.2903186E-03
   7098.67  4.3812692E-03
   7099.00  4.4761248E-03
   7099.33  4.5757441E-03
   7099.67  4.6799695E-03
   7100.00  4.7891588E-03
   7100.33  4.9044625E-03
   7100.67  5.0257404E-03
   7101.00  5.1535181E-03
   7101.33  5.2893988E-03
   7101.67  5.4332989E-03
   7102.00  5.5860286E-03
   7102.33  5.7499304E-03
   7102.67  5.9250690E-03
   7103.00  6.1127647E-03
   7103.33  6.3166503E-03
   7103.67  6.5371551E-03
   7104.00  6.7765869E-03
   7104.33  7.0410142E-03
   7104.67  7.3317833E-03
   7105.00  7.6532974E-03
   7105.33  8.0167089E-03
   7105.67  8.4258321E-03
   7106.00  8.8900806E-03
   7106.33  9.4326983E-03
   7106.67  1.0064973E-02
   7107.00  1.0810382E-02
   7107.33  1.1726549E-02
   7107.67  1.2851918E-02
   7108.00  1.4259531E-02
   7108.33  1.6133589E-02
   7108.67  1.8643591E-02
   7109.00  2.2108348E-02
   7109.33  2.7404013E-02
   7109.67  3.5674771E-02
   7110.00  4.9208307E-02
   7110.33  7.4541862E-02
   7110.67  1.1570509E-01
   7111.00  1.5826257E-01
   7111.33  1.5832472E-01
   7111.67  1.3710924E-01
   7112.00  1.1731020E-01
   7112.33  1.0099781E-01
   7112.67  8.5549543E-02
   7113.00  7.2278082E-02
   7113.33  6.3503553E-02
   7113.67  5.8046318E-02
   7114.00  5.3958916E-02
   7114.33  4.9864619E-02
   7114.67  4.5635261E-02
   7115.00  4.2013206E-02
   7115.33  3.9843568E-02
   7115.67  3.8909437E-02
   7116.00  3.9032528E-02
   7116.33  4.0100068E-02
   7116.67  4.1733217E-02
   7117.00  4.3715379E-02
   7117.33  4.5977580E-02
   7117.67  4.8549196E-02
   7118.00  5.1502962E-02
   7118.33  5.4849710E-02
   7118.67  5.8295333E-02
   7119.00  6.1531940E-02
   7119.33  6.4327595E-02
   7119.67  6.6860971E-02
   7120.00  6.9397464E-02
   7120.33  7.2268813E-02
   7120.67  7.5611985E-02
   7121.00  7.9522037E-02
   7121.33  8.4260585E-02
   7121.67  9.0060201E-02
   7122.00  9.7374184E-02
   7122.33  1.0720403E-01
   7122.67  1.2010456E-01
   7123.00  1.3671204E-01
   7123.33  1.5777151E-01
   7123.67  1.8225163E-01
   7124.00  2.0926811E-01
   7124.33  2.3741489E-01
   7124.67  2.6345062E-01
   7125.00  2.8423541E-01
   7125.33  2.9881274E-01
   7125.67  3.1044672E-01
   7126.00  3.2034748E-01
   7126.33  3.2851656E-01
   7126.67  3.3680269E-01
   7127.00  3.4842994E-01
   7127.33  3.6830249E-01
   7127.67  3.9764645E-01
   7128.00  4.3636303E-01
   7128.33  4.8466352E-01
   7128.67  5.4105592E-01
   7129.00  6.0461176E-01
   7129.33  6.7299897E-01
   7129.67  7.4106397E-01
   7130.00  8.0371594E-01
   7130.33  8.5342436E-01
   7130.67  8.8891362E-01
   7131.00  9.1246436E-01
   7131.33  9.2895117E-01
   7131.67  9.4443961E-01
   7132.00  9.6178966E-01
   7132.33  9.8203386E-01
   7132.67  1.0023920E+00
   7133.00  1.0189650E+00
   7133.33  1.0267454E+00
