    FDMNES
    energy     <xanes>
   7097.00  5.4031610E-03
   7097.33  5.5345948E-03
   7097.67  5.6721131E-03
   7098.00  5.8161273E-03
   7098.33  5.9680438E-03
   7098.67  6.1275718E-03
   7099.00  6.2952678E-03
   7099.33  6.4729631E-03
   7099.67  6.6603535E-03
   7100.00  6.8582103E-03
   7100.33  7.0689738E-03
   7100.67  7.2923483E-03
   7101.00  7.5294318E-03
   7101.33  7.7835657E-03
   7101.67  8.0545110E-03
   7102.00  8.3438817E-03
   7102.33  8.6564024E-03
   7102.67  8.9919961E-03
   7103.00  9.3531274E-03
   7103.33  9.7467386E-03
   7103.67  1.0173148E-02
   7104.00  1.0636297E-02
   7104.33  1.1146878E-02
   7104.67  1.1706141E-02
   7105.00  1.2320758E-02
   7105.33  1.3008211E-02
   7105.67  1.3771986E-02
   7106.00  1.4624249E-02
   7106.33  1.5595892E-02
   7106.67  1.6696167E-02
   7107.00  1.7949602E-02
   7107.33  1.9417059E-02
   7107.67  2.1124636E-02
   7108.00  2.3129778E-02
   7108.33  2.5574292E-02
   7108.67  2.8545956E-02
   7109.00  3.2218414E-02
   7109.33  3.7038966E-02
   7109.67  4.3436125E-02
   7110.00  5.2251832E-02
   7110.33  6.5777751E-02
   7110.67  8.5472741E-02
   7111.00  1.0841293E-01
   7111.33  1.2682945E-01
   7111.67  1.5213114E-01
   7112.00  1.9856766E-01
   7112.33  2.8821568E-01
   7112.67  4.4077466E-01
   7113.00  6.5728866E-01
   7113.33  8.1911583E-01
   7113.67  8.2415933E-01
   7114.00  7.1190481E-01
   7114.33  5.5936287E-01
   7114.67  4.2383865E-01
   7115.00  3.2432040E-01
   7115.33  2.6189071E-01
   7115.67  2.2179584E-01
   7116.00  1.9709162E-01
   7116.33  1.8412118E-01
   7116.67  1.7855577E-01
   7117.00  1.7819200E-01
   7117.33  1.8021644E-01
   7117.67  1.8105116E-01
   7118.00  1.7881223E-01
   7118.33  1.7319620E-01
   7118.67  1.6670789E-01
   7119.00  1.6130392E-01
   7119.33  1.5830392E-01
   7119.67  1.5753819E-01
   7120.00  1.5850857E-01
   7120.33  1.5988039E-01
   7120.67  1.5994205E-01
   7121.00  1.5804288E-01
   7121.33  1.5501321E-01
   7121.67  1.5242446E-01
   7122.00  1.5059089E-01
   7122.33  1.4913080E-01
   7122.67  1.4782035E-01
   7123.00  1.4696601E-01
   7123.33  1.4723610E-01
   7123.67  1.4912206E-01
   7124.00  1.5319557E-01
   7124.33  1.6040201E-01
   7124.67  1.7103191E-01
   7125.00  1.8584582E-01
   7125.33  2.0664017E-01
   7125.67  2.3359169E-01
   7126.00  2.6616499E-01
   7126.33  3.0111109E-01
   7126.67  3.3218508E-01
   7127.00  3.5539494E-01
   7127.33  3.7009122E-01
   7127.67  3.8213800E-01
   7128.00  3.9715473E-01
   7128.33  4.2263397E-01
   7128.67  4.6295151E-01
   7129.00  5.2171744E-01
   7129.33  6.0204840E-01
   7129.67  6.9469609E-01
   7130.00  7.8553321E-01
   7130.33  8.5188057E-01
   7130.67  8.8711411E-01
   7131.00  8.9607383E-01
   7131.33  8.8917822E-01
   7131.67  8.7837517E-01
   7132.00  8.6850664E-01
   7132.33  8.6186650E-01
   7132.67  8.5744221E-01
   7133.00  8.5354501E-01
   7133.33  8.4760282E-01
   7133.67  8.3787565E-01
   7134.00  8.2338124E-01
   7134.33  8.0327936E-01
   7134.67  7.7876545E-01
   7135.00  7.5069781E-01
   7135.33  7.1991294E-01
   7135.67  6.8780696E-01
   7136.00  6.5520659E-01
   7136.33  6.2296472E-01
   7136.67  5.9172304E-01
   7137.00  5.6200096E-01
   7137.33  5.3461851E-01
   7137.67  5.0981546E-01
   7138.00  4.8794861E-01
   7138.33  4.6969479E-01
   7138.67  4.5470761E-01
   7139.00  4.4286690E-01
   7139.33  4.3431854E-01
   7139.67  4.2853015E-01
   7140.00  4.2545353E-01
   7140.33  4.2545476E-01
   7140.67  4.2822467E-01
   7141.00  4.3373701E-01
   7141.33  4.4217214E-01
   7141.67  4.5291582E-01
   7142.00  4.6560578E-01
   7142.33  4.7988865E-01
   7142.67  4.9498263E-01
   7143.00  5.1035177E-01
   7143.33  5.2537097E-01
   7143.67  5.3958703E-01
   7144.00  5.5267523E-01
   7144.33  5.6420087E-01
   7144.67  5.7420446E-01
   7145.00  5.8266993E-01
   7145.33  5.8949354E-01
   7145.67  5.9501275E-01
   7146.00  5.9939712E-01
   7146.33  6.0274105E-01
   7146.67  6.0535402E-01
   7147.00  6.0737498E-01
   7147.33  6.0886694E-01
   7147.67  6.0996544E-01
   7148.00  6.1070354E-01
   7148.33  6.1104612E-01
   7148.67  6.1102502E-01
   7149.00  6.1062167E-01
   7149.33  6.0976260E-01
   7149.67  6.0847990E-01
   7150.00  6.0676344E-01
   7150.33  6.0455548E-01
   7150.67  6.0192794E-01
   7151.00  5.9891671E-01
   7151.33  5.9552075E-01
   7151.67  5.9182273E-01
   7152.00  5.8786269E-01
   7152.33  5.8367129E-01
   7152.67  5.7934519E-01
   7153.00  5.7496125E-01
   7153.33  5.7063752E-01
   7153.67  5.6650200E-01
   7154.00  5.6268439E-01
   7154.33  5.5939852E-01
   7154.67  5.5672656E-01
   7155.00  5.5476607E-01
   7155.33  5.5369079E-01
   7155.67  5.5343263E-01
   7156.00  5.5398399E-01
   7156.33  5.5540076E-01
   7156.67  5.5752194E-01
   7157.00  5.6027884E-01
   7157.33  5.6365087E-01
   7157.67  5.6747577E-01
   7158.00  5.7167135E-01
   7158.33  5.7617546E-01
   7158.67  5.8085395E-01
   7159.00  5.8561592E-01
   7159.33  5.9035000E-01
   7159.67  5.9495187E-01
   7160.00  5.9933148E-01
   7160.33  6.0334814E-01
   7160.67  6.0694309E-01
   7161.00  6.1003285E-01
   7161.33  6.1245714E-01
   7161.67  6.1420717E-01
   7162.00  6.1522560E-01
   7162.33  6.1537769E-01
   7162.67  6.1474307E-01
   7163.00  6.1332324E-01
   7163.33  6.1104336E-01
   7163.67  6.0803900E-01
   7164.00  6.0435777E-01
   7164.33  5.9999108E-01
   7164.67  5.9509071E-01
   7165.00  5.8972431E-01
   7165.33  5.8392285E-01
   7165.67  5.7781117E-01
   7166.00  5.7145091E-01
   7166.33  5.6488514E-01
   7166.67  5.5819462E-01
   7167.00  5.5142229E-01
   7167.33  5.4460649E-01
   7167.67  5.3778877E-01
   7168.00  5.3099560E-01
   7168.33  5.2425927E-01
   7168.67  5.1759852E-01
   7169.00  5.1103803E-01
   7169.33  5.0461988E-01
   7169.67  4.9834955E-01
   7170.00  4.9224762E-01
   7170.33  4.8636954E-01
   7170.67  4.8073324E-01
   7171.00  4.7539219E-01
   7171.33  4.7049721E-01
   7171.67  4.6618115E-01
   7172.00  4.6267883E-01
