    FDMNES
    energy     <xanes>
   7097.00  5.1607031E-03
   7097.33  5.2825536E-03
   7097.67  5.4099595E-03
   7098.00  5.5432970E-03
   7098.33  5.6838519E-03
   7098.67  5.8313609E-03
   7099.00  5.9863355E-03
   7099.33  6.1504548E-03
   7099.67  6.3234470E-03
   7100.00  6.5060253E-03
   7100.33  6.7004371E-03
   7100.67  6.9064260E-03
   7101.00  7.1250155E-03
   7101.33  7.3593040E-03
   7101.67  7.6091019E-03
   7102.00  7.8759312E-03
   7102.33  8.1642147E-03
   7102.67  8.4739448E-03
   7103.00  8.8074813E-03
   7103.33  9.1714126E-03
   7103.67  9.5661715E-03
   7104.00  9.9956094E-03
   7104.33  1.0470074E-02
   7104.67  1.0991048E-02
   7105.00  1.1565239E-02
   7105.33  1.2210034E-02
   7105.67  1.2929517E-02
   7106.00  1.3736394E-02
   7106.33  1.4662631E-02
   7106.67  1.5719303E-02
   7107.00  1.6933431E-02
   7107.33  1.8371660E-02
   7107.67  2.0066686E-02
   7108.00  2.2086536E-02
   7108.33  2.4599215E-02
   7108.67  2.7721511E-02
   7109.00  3.1677598E-02
   7109.33  3.7048317E-02
   7109.67  4.4429748E-02
   7110.00  5.4982129E-02
   7110.33  7.1979664E-02
   7110.67  9.8873746E-02
   7111.00  1.3754693E-01
   7111.33  1.8423979E-01
   7111.67  2.3163579E-01
   7112.00  2.7624407E-01
   7112.33  3.1604723E-01
   7112.67  3.4763688E-01
   7113.00  3.8536377E-01
   7113.33  4.4573579E-01
   7113.67  4.9252907E-01
   7114.00  4.9678839E-01
   7114.33  4.5856995E-01
   7114.67  3.9826762E-01
   7115.00  3.3610752E-01
   7115.33  2.8863590E-01
   7115.67  2.5593586E-01
   7116.00  2.3522929E-01
   7116.33  2.2350878E-01
   7116.67  2.1563421E-01
   7117.00  2.0717383E-01
   7117.33  1.9241124E-01
   7117.67  1.7292793E-01
   7118.00  1.5378208E-01
   7118.33  1.3962828E-01
   7118.67  1.3052320E-01
   7119.00  1.2566643E-01
   7119.33  1.2402799E-01
   7119.67  1.2379344E-01
   7120.00  1.2406163E-01
   7120.33  1.2443723E-01
   7120.67  1.2472226E-01
