    FDMNES
    energy     <xanes>
   7097.00  4.1116087E-03
   7097.33  4.1935619E-03
   7097.67  4.2787974E-03
   7098.00  4.3675221E-03
   7098.33  4.4604707E-03
   7098.67  4.5574685E-03
   7099.00  4.6587944E-03
   7099.33  4.7653954E-03
   7099.67  4.8770898E-03
   7100.00  4.9942641E-03
   7100.33  5.1181712E-03
   7100.67  5.2486350E-03
   7101.00  5.3862081E-03
   7101.33  5.5326006E-03
   7101.67  5.6876709E-03
   7102.00  5.8522393E-03
   7102.33  6.0287300E-03
   7102.67  6.2171004E-03
   7103.00  6.4186253E-03
   7103.33  6.6369039E-03
   7103.67  6.8721418E-03
   7104.00  7.1264345E-03
   7104.33  7.4054479E-03
   7104.67  7.7099953E-03
   7105.00  8.0437776E-03
   7105.33  8.4164145E-03
   7105.67  8.8302719E-03
   7106.00  9.2925346E-03
   7106.33  9.8212855E-03
   7106.67  1.0423247E-02
   7107.00  1.1114322E-02
   7107.33  1.1933797E-02
   7107.67  1.2902720E-02
   7108.00  1.4063835E-02
   7108.33  1.5523661E-02
   7108.67  1.7364340E-02
   7109.00  1.9742701E-02
   7109.33  2.3075863E-02
   7109.67  2.7842697E-02
   7110.00  3.4990239E-02
   7110.33  4.7232528E-02
   7110.67  6.7039411E-02
   7111.00  9.2780452E-02
   7111.33  1.1099747E-01
   7111.67  1.1785259E-01
   7112.00  1.2072984E-01
   7112.33  1.2954193E-01
   7112.67  1.5249517E-01
   7113.00  1.9750819E-01
   7113.33  2.5717388E-01
   7113.67  2.8693470E-01
   7114.00  2.6051659E-01
   7114.33  2.0056224E-01
   7114.67  1.4973043E-01
   7115.00  1.1733520E-01
   7115.33  1.0084506E-01
   7115.67  9.2884431E-02
   7116.00  8.8644283E-02
   7116.33  8.4530903E-02
   7116.67  8.1648007E-02
   7117.00  8.1167355E-02
   7117.33  8.2984081E-02
   7117.67  8.5775595E-02
   7118.00  8.9376963E-02
   7118.33  9.4851727E-02
   7118.67  1.0179211E-01
   7119.00  1.0861321E-01
   7119.33  1.1326611E-01
   7119.67  1.1595439E-01
   7120.00  1.1760000E-01
   7120.33  1.1899743E-01
   7120.67  1.2071903E-01
   7121.00  1.2325580E-01
   7121.33  1.2720564E-01
   7121.67  1.3262578E-01
   7122.00  1.3944971E-01
   7122.33  1.4743730E-01
   7122.67  1.5633595E-01
   7123.00  1.6671962E-01
   7123.33  1.7969115E-01
   7123.67  1.9509829E-01
   7124.00  2.1260427E-01
   7124.33  2.3182509E-01
   7124.67  2.5197927E-01
   7125.00  2.7260265E-01
   7125.33  2.9322519E-01
   7125.67  3.1348610E-01
   7126.00  3.3308543E-01
   7126.33  3.5109321E-01
   7126.67  3.6640166E-01
   7127.00  3.7842718E-01
   7127.33  3.8779665E-01
   7127.67  3.9635694E-01
   7128.00  4.0462888E-01
   7128.33  4.1185103E-01
   7128.67  4.1703523E-01
   7129.00  4.1963345E-01
   7129.33  4.1945964E-01
   7129.67  4.1753934E-01
   7130.00  4.1462912E-01
   7130.33  4.1133061E-01
   7130.67  4.0798607E-01
   7131.00  4.0482146E-01
   7131.33  4.0245084E-01
   7131.67  4.0144452E-01
   7132.00  4.0215020E-01
   7132.33  4.0470315E-01
   7132.67  4.0841055E-01
   7133.00  4.1272862E-01
   7133.33  4.1714190E-01
