    FDMNES
    energy     <xanes>
   7097.00  5.2834303E-03
   7097.33  5.4188054E-03
   7097.67  5.5606646E-03
   7098.00  5.7094554E-03
   7098.33  5.8666920E-03
   7098.67  6.0320764E-03
   7099.00  6.2062164E-03
   7099.33  6.3910926E-03
   7099.67  6.5863956E-03
   7100.00  6.7929707E-03
   7100.33  7.0134695E-03
   7100.67  7.2475961E-03
   7101.00  7.4965587E-03
   7101.33  7.7640059E-03
   7101.67  8.0497107E-03
   7102.00  8.3554568E-03
   7102.33  8.6864295E-03
   7102.67  9.0425919E-03
   7103.00  9.4266808E-03
   7103.33  9.8463585E-03
   7103.67  1.0302048E-02
   7104.00  1.0798149E-02
   7104.33  1.1346542E-02
   7104.67  1.1948731E-02
   7105.00  1.2612220E-02
   7105.33  1.3356587E-02
   7105.67  1.4185947E-02
   7106.00  1.5114114E-02
   7106.33  1.6176046E-02
   7106.67  1.7382657E-02
   7107.00  1.8762150E-02
   7107.33  2.0384341E-02
   7107.67  2.2280197E-02
   7108.00  2.4516742E-02
   7108.33  2.7259070E-02
   7108.67  3.0611212E-02
   7109.00  3.4776415E-02
   7109.33  4.0273610E-02
   7109.67  4.7588495E-02
   7110.00  5.7663592E-02
   7110.33  7.3145920E-02
   7110.67  9.7170434E-02
   7111.00  1.3363701E-01
   7111.33  1.8319127E-01
   7111.67  2.2473005E-01
   7112.00  2.5041304E-01
   7112.33  2.9346741E-01
   7112.67  3.7695901E-01
   7113.00  5.1857471E-01
   7113.33  7.0828950E-01
   7113.67  8.3650068E-01
   7114.00  8.2880219E-01
   7114.33  7.2322285E-01
   7114.67  5.9491646E-01
   7115.00  4.7688443E-01
   7115.33  3.9017541E-01
   7115.67  3.2918807E-01
   7116.00  2.8763686E-01
   7116.33  2.6086283E-01
   7116.67  2.4209969E-01
   7117.00  2.2708026E-01
   7117.33  2.1203893E-01
   7117.67  1.9665492E-01
   7118.00  1.8230636E-01
   7118.33  1.7039374E-01
   7118.67  1.6095366E-01
   7119.00  1.5363585E-01
   7119.33  1.4766839E-01
   7119.67  1.4214723E-01
   7120.00  1.3678175E-01
   7120.33  1.3167559E-01
   7120.67  1.2734492E-01
   7121.00  1.2424507E-01
   7121.33  1.2264590E-01
   7121.67  1.2221932E-01
   7122.00  1.2275051E-01
   7122.33  1.2407742E-01
   7122.67  1.2590776E-01
   7123.00  1.2810131E-01
   7123.33  1.3053408E-01
   7123.67  1.3305699E-01
