    FDMNES
    energy     <xanes>
   7097.00  5.1164966E-03
   7097.33  5.2453125E-03
   7097.67  5.3802396E-03
   7098.00  5.5217073E-03
   7098.33  5.6711567E-03
   7098.67  5.8283208E-03
   7099.00  5.9937906E-03
   7099.33  6.1694707E-03
   7099.67  6.3550962E-03
   7100.00  6.5515041E-03
   7100.33  6.7612817E-03
   7100.67  6.9842021E-03
   7101.00  7.2214903E-03
   7101.33  7.4767788E-03
   7101.67  7.7499573E-03
   7102.00  8.0428908E-03
   7102.33  8.3608840E-03
   7102.67  8.7041193E-03
   7103.00  9.0755719E-03
   7103.33  9.4833731E-03
   7103.67  9.9283995E-03
   7104.00  1.0415680E-02
   7104.33  1.0958452E-02
   7104.67  1.1559261E-02
   7105.00  1.2227247E-02
   7105.33  1.2985683E-02
   7105.67  1.3841349E-02
   7106.00  1.4812503E-02
   7106.33  1.5944429E-02
   7106.67  1.7255755E-02
   7107.00  1.8787912E-02
   7107.33  2.0642304E-02
   7107.67  2.2876182E-02
   7108.00  2.5602475E-02
   7108.33  2.9100641E-02
   7108.67  3.3588307E-02
   7109.00  3.9474771E-02
   7109.33  4.7835649E-02
   7109.67  5.9872407E-02
   7110.00  7.7929471E-02
   7110.33  1.0870332E-01
   7110.67  1.5913764E-01
   7111.00  2.3065349E-01
   7111.33  3.0640703E-01
   7111.67  3.7946577E-01
   7112.00  4.5312898E-01
   7112.33  4.9276773E-01
   7112.67  4.6991646E-01
   7113.00  3.9776609E-01
   7113.33  3.1616707E-01
   7113.67  2.5333031E-01
   7114.00  2.1367825E-01
   7114.33  1.9294354E-01
   7114.67  1.7726025E-01
   7115.00  1.5896494E-01
   7115.33  1.3699500E-01
   7115.67  1.1646084E-01
   7116.00  1.0138938E-01
   7116.33  9.3305255E-02
   7116.67  9.0304794E-02
   7117.00  9.1718609E-02
   7117.33  9.7902662E-02
   7117.67  1.0816629E-01
   7118.00  1.2146793E-01
   7118.33  1.3561333E-01
   7118.67  1.4889206E-01
   7119.00  1.6002274E-01
   7119.33  1.6697988E-01
   7119.67  1.7216870E-01
   7120.00  1.7945930E-01
   7120.33  1.9149325E-01
   7120.67  2.0661111E-01
   7121.00  2.2405237E-01
   7121.33  2.4513245E-01
   7121.67  2.7096799E-01
   7122.00  3.0242148E-01
   7122.33  3.4087432E-01
   7122.67  3.8691044E-01
   7123.00  4.4205046E-01
   7123.33  5.0731205E-01
   7123.67  5.7777677E-01
   7124.00  6.4724641E-01
   7124.33  7.0587175E-01
   7124.67  7.4786595E-01
   7125.00  7.7005735E-01
   7125.33  7.6978146E-01
   7125.67  7.5301939E-01
   7126.00  7.2489614E-01
   7126.33  6.9081959E-01
   7126.67  6.5569987E-01
   7127.00  6.2153508E-01
   7127.33  5.8963048E-01
   7127.67  5.6012383E-01
   7128.00  5.3323085E-01
   7128.33  5.0966074E-01
   7128.67  4.8936746E-01
   7129.00  4.7244447E-01
   7129.33  4.5916064E-01
   7129.67  4.4881359E-01
   7130.00  4.4111061E-01
   7130.33  4.3599944E-01
   7130.67  4.3281510E-01
   7131.00  4.3115914E-01
   7131.33  4.3061814E-01
   7131.67  4.3059116E-01
   7132.00  4.3086666E-01
   7132.33  4.3156296E-01
   7132.67  4.3296670E-01
   7133.00  4.3544392E-01
   7133.33  4.3957151E-01
   7133.67  4.4544836E-01
   7134.00  4.5318088E-01
   7134.33  4.6291864E-01
   7134.67  4.7416885E-01
   7135.00  4.8660371E-01
   7135.33  4.9992892E-01
   7135.67  5.1372896E-01
   7136.00  5.2787142E-01
   7136.33  5.4259267E-01
   7136.67  5.5852192E-01
   7137.00  5.7662973E-01
   7137.33  5.9847539E-01
   7137.67  6.2424172E-01
   7138.00  6.5375858E-01
   7138.33  6.8634893E-01
   7138.67  7.1983422E-01
   7139.00  7.5207588E-01
   7139.33  7.7968422E-01
   7139.67  8.0042317E-01
   7140.00  8.1258658E-01
   7140.33  8.1437344E-01
   7140.67  8.0790394E-01
   7141.00  7.9501992E-01
   7141.33  7.7782643E-01
   7141.67  7.5922788E-01
   7142.00  7.4099052E-01
   7142.33  7.2463232E-01
   7142.67  7.1021486E-01
   7143.00  6.9742949E-01
   7143.33  6.8577530E-01
   7143.67  6.7448391E-01
   7144.00  6.6313973E-01
   7144.33  6.5145748E-01
   7144.67  6.3947295E-01
   7145.00  6.2732893E-01
   7145.33  6.1528280E-01
   7145.67  6.0357706E-01
   7146.00  5.9239361E-01
   7146.33  5.8196912E-01
   7146.67  5.7231282E-01
   7147.00  5.6346992E-01
   7147.33  5.5557079E-01
   7147.67  5.4851629E-01
   7148.00  5.4229843E-01
   7148.33  5.3699465E-01
   7148.67  5.3246498E-01
   7149.00  5.2866691E-01
   7149.33  5.2562556E-01
   7149.67  5.2319151E-01
   7150.00  5.2130710E-01
   7150.33  5.1996711E-01
   7150.67  5.1905020E-01
   7151.00  5.1850952E-01
   7151.33  5.1833628E-01
   7151.67  5.1844158E-01
   7152.00  5.1878130E-01
   7152.33  5.1931712E-01
   7152.67  5.1995229E-01
   7153.00  5.2060745E-01
   7153.33  5.2115943E-01
   7153.67  5.2148880E-01
   7154.00  5.2147092E-01
   7154.33  5.2088948E-01
   7154.67  5.1965201E-01
   7155.00  5.1763056E-01
   7155.33  5.1457593E-01
   7155.67  5.1049790E-01
   7156.00  5.0533907E-01
   7156.33  4.9893773E-01
   7156.67  4.9145663E-01
   7157.00  4.8295404E-01
   7157.33  4.7341958E-01
   7157.67  4.6310097E-01
   7158.00  4.5212545E-01
   7158.33  4.4058092E-01
   7158.67  4.2867735E-01
   7159.00  4.1653419E-01
   7159.33  4.0426921E-01
   7159.67  3.9202268E-01
   7160.00  3.7989962E-01
   7160.33  3.6804398E-01
   7160.67  3.5653292E-01
   7161.00  3.4545207E-01
   7161.33  3.3495484E-01
   7161.67  3.2504937E-01
   7162.00  3.1578565E-01
   7162.33  3.0729312E-01
   7162.67  2.9951499E-01
   7163.00  2.9246570E-01
   7163.33  2.8624511E-01
   7163.67  2.8076299E-01
   7164.00  2.7601791E-01
   7164.33  2.7209640E-01
   7164.67  2.6889981E-01
   7165.00  2.6642091E-01
   7165.33  2.6473752E-01
   7165.67  2.6374732E-01
   7166.00  2.6343491E-01
   7166.33  2.6385954E-01
   7166.67  2.6491082E-01
   7167.00  2.6655907E-01
   7167.33  2.6883296E-01
   7167.67  2.7161545E-01
   7168.00  2.7486119E-01
   7168.33  2.7856433E-01
   7168.67  2.8261428E-01
   7169.00  2.8695834E-01
   7169.33  2.9156393E-01
   7169.67  2.9634048E-01
   7170.00  3.0123478E-01
   7170.33  3.0618915E-01
   7170.67  3.1112423E-01
   7171.00  3.1596161E-01
   7171.33  3.2053720E-01
   7171.67  3.2464870E-01
   7172.00  3.2800010E-01
