    FDMNES
    energy     <xanes>
   7097.00  4.9195225E-03
   7097.33  5.0398253E-03
   7097.67  5.1658800E-03
   7098.00  5.2980987E-03
   7098.33  5.4378518E-03
   7098.67  5.5848997E-03
   7099.00  5.7398131E-03
   7099.33  5.9044132E-03
   7099.67  6.0784668E-03
   7100.00  6.2627869E-03
   7100.33  6.4598635E-03
   7100.67  6.6695068E-03
   7101.00  6.8929145E-03
   7101.33  7.1336063E-03
   7101.67  7.3915175E-03
   7102.00  7.6684839E-03
   7102.33  7.9696848E-03
   7102.67  8.2953621E-03
   7103.00  8.6484666E-03
   7103.33  9.0370047E-03
   7103.67  9.4619418E-03
   7104.00  9.9283083E-03
   7104.33  1.0449266E-02
   7104.67  1.1027521E-02
   7105.00  1.1672312E-02
   7105.33  1.2407049E-02
   7105.67  1.3238893E-02
   7106.00  1.4186544E-02
   7106.33  1.5296233E-02
   7106.67  1.6587763E-02
   7107.00  1.8104333E-02
   7107.33  1.9951599E-02
   7107.67  2.2191452E-02
   7108.00  2.4944704E-02
   7108.33  2.8511189E-02
   7108.67  3.3132918E-02
   7109.00  3.9264117E-02
   7109.33  4.8108013E-02
   7109.67  6.1053540E-02
   7110.00  8.0825105E-02
   7110.33  1.1530059E-01
   7110.67  1.7302443E-01
   7111.00  2.5627171E-01
   7111.33  3.3853835E-01
   7111.67  3.8645272E-01
   7112.00  3.9167188E-01
   7112.33  3.6874336E-01
   7112.67  3.3741926E-01
   7113.00  3.0739765E-01
   7113.33  2.8884254E-01
   7113.67  2.8336322E-01
   7114.00  2.8653132E-01
   7114.33  2.8011933E-01
   7114.67  2.5348310E-01
   7115.00  2.1786287E-01
   7115.33  1.8823971E-01
   7115.67  1.6470081E-01
   7116.00  1.4547719E-01
   7116.33  1.3153213E-01
   7116.67  1.2236938E-01
   7117.00  1.1715478E-01
   7117.33  1.1502399E-01
   7117.67  1.1478721E-01
   7118.00  1.1618865E-01
   7118.33  1.1946169E-01
   7118.67  1.2430552E-01
   7119.00  1.3008699E-01
   7119.33  1.3486716E-01
   7119.67  1.3688904E-01
   7120.00  1.3587685E-01
   7120.33  1.3311653E-01
   7120.67  1.3116388E-01
   7121.00  1.3143529E-01
   7121.33  1.3488492E-01
   7121.67  1.4132800E-01
   7122.00  1.5099259E-01
   7122.33  1.6428133E-01
   7122.67  1.7979735E-01
   7123.00  1.9619833E-01
   7123.33  2.1292794E-01
   7123.67  2.3113181E-01
   7124.00  2.5268777E-01
   7124.33  2.8000111E-01
   7124.67  3.1131867E-01
   7125.00  3.4163713E-01
   7125.33  3.6264872E-01
   7125.67  3.7388031E-01
   7126.00  3.7902138E-01
   7126.33  3.8274955E-01
   7126.67  3.8773478E-01
   7127.00  3.9444854E-01
   7127.33  4.0307919E-01
   7127.67  4.1340619E-01
   7128.00  4.2539315E-01
   7128.33  4.3918438E-01
   7128.67  4.5469348E-01
   7129.00  4.7211110E-01
   7129.33  4.9143795E-01
   7129.67  5.1131414E-01
   7130.00  5.3034075E-01
   7130.33  5.4684795E-01
   7130.67  5.6016165E-01
   7131.00  5.6996477E-01
   7131.33  5.7645721E-01
   7131.67  5.8148682E-01
   7132.00  5.8657194E-01
   7132.33  5.9299093E-01
   7132.67  6.0033138E-01
   7133.00  6.0755087E-01
   7133.33  6.1361251E-01
