    FDMNES
    energy     <xanes>
   7097.00  4.6180179E-03
   7097.33  4.7167227E-03
   7097.67  4.8193583E-03
   7098.00  4.9261610E-03
   7098.33  5.0379912E-03
   7098.67  5.1546237E-03
   7099.00  5.2763732E-03
   7099.33  5.4043349E-03
   7099.67  5.5382706E-03
   7100.00  5.6786103E-03
   7100.33  5.8267843E-03
   7100.67  5.9825532E-03
   7101.00  6.1465249E-03
   7101.33  6.3206247E-03
   7101.67  6.5046425E-03
   7102.00  6.6994712E-03
   7102.33  6.9078045E-03
   7102.67  7.1295299E-03
   7103.00  7.3660249E-03
   7103.33  7.6212445E-03
   7103.67  7.8953360E-03
   7104.00  8.1905569E-03
   7104.33  8.5130874E-03
   7104.67  8.8637337E-03
   7105.00  9.2464957E-03
   7105.33  9.6718515E-03
   7105.67  1.0142337E-02
   7106.00  1.0665801E-02
   7106.33  1.1262077E-02
   7106.67  1.1938668E-02
   7107.00  1.2713267E-02
   7107.33  1.3629674E-02
   7107.67  1.4712038E-02
   7108.00  1.6009020E-02
   7108.33  1.7642038E-02
   7108.67  1.9706809E-02
   7109.00  2.2384926E-02
   7109.33  2.6158546E-02
   7109.67  3.1582027E-02
   7110.00  3.9745807E-02
   7110.33  5.3792699E-02
   7110.67  7.6975045E-02
   7111.00  1.0955723E-01
   7111.33  1.4102068E-01
   7111.67  1.6059652E-01
   7112.00  1.6536357E-01
   7112.33  1.5965033E-01
   7112.67  1.5308236E-01
   7113.00  1.4632653E-01
   7113.33  1.3044162E-01
   7113.67  1.1126654E-01
   7114.00  9.5706140E-02
   7114.33  8.6266792E-02
   7114.67  8.1367046E-02
   7115.00  8.0150827E-02
   7115.33  8.2378779E-02
   7115.67  8.7335973E-02
   7116.00  9.4900744E-02
   7116.33  1.0540192E-01
   7116.67  1.1860116E-01
   7117.00  1.3459586E-01
   7117.33  1.5382349E-01
   7117.67  1.7582923E-01
   7118.00  2.0018460E-01
   7118.33  2.2574160E-01
   7118.67  2.5023199E-01
   7119.00  2.7246228E-01
   7119.33  2.9451109E-01
   7119.67  3.2051064E-01
   7120.00  3.5182139E-01
   7120.33  3.8684400E-01
   7120.67  4.2021163E-01
   7121.00  4.4683697E-01
   7121.33  4.6277459E-01
   7121.67  4.7159120E-01
   7122.00  4.7673917E-01
   7122.33  4.8046252E-01
   7122.67  4.8344725E-01
   7123.00  4.8565866E-01
   7123.33  4.8732655E-01
   7123.67  4.8918674E-01
   7124.00  4.9177448E-01
   7124.33  4.9548655E-01
   7124.67  5.0022585E-01
   7125.00  5.0606843E-01
   7125.33  5.1352124E-01
   7125.67  5.2280002E-01
   7126.00  5.3401768E-01
   7126.33  5.4716324E-01
   7126.67  5.6144305E-01
   7127.00  5.7607655E-01
   7127.33  5.8972910E-01
   7127.67  6.0120410E-01
   7128.00  6.0976114E-01
   7128.33  6.1501556E-01
   7128.67  6.1800348E-01
   7129.00  6.1937672E-01
   7129.33  6.1937264E-01
   7129.67  6.1801911E-01
   7130.00  6.1498882E-01
   7130.33  6.0984385E-01
   7130.67  6.0310826E-01
   7131.00  5.9538732E-01
   7131.33  5.8748146E-01
   7131.67  5.8001649E-01
   7132.00  5.7318024E-01
   7132.33  5.6694695E-01
   7132.67  5.6111421E-01
   7133.00  5.5572956E-01
   7133.33  5.5112325E-01
   7133.67  5.4747827E-01
   7134.00  5.4492625E-01
   7134.33  5.4360771E-01
   7134.67  5.4326746E-01
   7135.00  5.4374934E-01
   7135.33  5.4492698E-01
   7135.67  5.4652621E-01
   7136.00  5.4839927E-01
   7136.33  5.5042986E-01
   7136.67  5.5251267E-01
   7137.00  5.5461975E-01
   7137.33  5.5681681E-01
   7137.67  5.5920933E-01
   7138.00  5.6188548E-01
   7138.33  5.6490649E-01
   7138.67  5.6813059E-01
   7139.00  5.7137305E-01
   7139.33  5.7432493E-01
   7139.67  5.7674579E-01
   7140.00  5.7845150E-01
   7140.33  5.7920617E-01
   7140.67  5.7906602E-01
   7141.00  5.7803336E-01
   7141.33  5.7603846E-01
   7141.67  5.7325022E-01
   7142.00  5.6973453E-01
   7142.33  5.6549886E-01
   7142.67  5.6072081E-01
   7143.00  5.5549283E-01
   7143.33  5.4989121E-01
   7143.67  5.4407549E-01
   7144.00  5.3814160E-01
   7144.33  5.3219183E-01
   7144.67  5.2632135E-01
   7145.00  5.2060013E-01
   7145.33  5.1512404E-01
   7145.67  5.0992102E-01
   7146.00  5.0502878E-01
   7146.33  5.0052390E-01
   7146.67  4.9638708E-01
   7147.00  4.9263191E-01
   7147.33  4.8931458E-01
   7147.67  4.8638411E-01
   7148.00  4.8383041E-01
   7148.33  4.8167606E-01
   7148.67  4.7984376E-01
   7149.00  4.7829678E-01
   7149.33  4.7701344E-01
   7149.67  4.7590729E-01
   7150.00  4.7492679E-01
   7150.33  4.7402105E-01
   7150.67  4.7312770E-01
   7151.00  4.7220714E-01
   7151.33  4.7121519E-01
   7151.67  4.7013552E-01
   7152.00  4.6895776E-01
   7152.33  4.6766884E-01
   7152.67  4.6629025E-01
   7153.00  4.6483587E-01
   7153.33  4.6332010E-01
   7153.67  4.6177392E-01
   7154.00  4.6021671E-01
   7154.33  4.5866608E-01
   7154.67  4.5713337E-01
   7155.00  4.5562699E-01
   7155.33  4.5415661E-01
   7155.67  4.5271626E-01
   7156.00  4.5129913E-01
   7156.33  4.4990246E-01
   7156.67  4.4852318E-01
   7157.00  4.4716110E-01
   7157.33  4.4581850E-01
   7157.67  4.4449386E-01
   7158.00  4.4318601E-01
   7158.33  4.4189704E-01
   7158.67  4.4063140E-01
   7159.00  4.3939748E-01
   7159.33  4.3821112E-01
   7159.67  4.3707661E-01
   7160.00  4.3599999E-01
   7160.33  4.3499305E-01
   7160.67  4.3404884E-01
   7161.00  4.3316529E-01
   7161.33  4.3234380E-01
   7161.67  4.3156797E-01
   7162.00  4.3082617E-01
   7162.33  4.3010559E-01
   7162.67  4.2938889E-01
   7163.00  4.2866404E-01
   7163.33  4.2791658E-01
   7163.67  4.2714077E-01
   7164.00  4.2633313E-01
   7164.33  4.2548994E-01
   7164.67  4.2461975E-01
   7165.00  4.2372969E-01
   7165.33  4.2283083E-01
   7165.67  4.2193998E-01
   7166.00  4.2107331E-01
   7166.33  4.2025748E-01
