    FDMNES
    energy     <xanes>
   7097.00  4.6185424E-03
   7097.33  4.7218461E-03
   7097.67  4.8298401E-03
   7098.00  4.9428518E-03
   7098.33  5.0619838E-03
   7098.67  5.1870288E-03
   7099.00  5.3184376E-03
   7099.33  5.4576663E-03
   7099.67  5.6045091E-03
   7100.00  5.7596043E-03
   7100.33  5.9249285E-03
   7100.67  6.1003043E-03
   7101.00  6.2866656E-03
   7101.33  6.4867839E-03
   7101.67  6.7005696E-03
   7102.00  6.9294414E-03
   7102.33  7.1774406E-03
   7102.67  7.4446951E-03
   7103.00  7.7334620E-03
   7103.33  8.0499189E-03
   7103.67  8.3947077E-03
   7104.00  8.7716268E-03
   7104.33  9.1906897E-03
   7104.67  9.6537658E-03
   7105.00  1.0167715E-02
   7105.33  1.0750028E-02
   7105.67  1.1405667E-02
   7106.00  1.2148212E-02
   7106.33  1.3011391E-02
   7106.67  1.4008744E-02
   7107.00  1.5170745E-02
   7107.33  1.6572037E-02
   7107.67  1.8253908E-02
   7108.00  2.0298415E-02
   7108.33  2.2908667E-02
   7108.67  2.6240846E-02
   7109.00  3.0590028E-02
   7109.33  3.6732975E-02
   7109.67  4.5537737E-02
   7110.00  5.8702255E-02
   7110.33  8.1013994E-02
   7110.67  1.1660944E-01
   7111.00  1.6290773E-01
   7111.33  2.0707631E-01
   7111.67  2.5978418E-01
   7112.00  3.2802576E-01
   7112.33  3.8070824E-01
   7112.67  3.8489886E-01
   7113.00  3.6006619E-01
   7113.33  3.3906806E-01
   7113.67  3.0539595E-01
   7114.00  2.4810109E-01
   7114.33  1.9197714E-01
   7114.67  1.5100551E-01
   7115.00  1.2367608E-01
   7115.33  1.0677407E-01
   7115.67  9.5833489E-02
   7116.00  8.8842843E-02
   7116.33  8.4480125E-02
   7116.67  8.1688923E-02
   7117.00  8.0267461E-02
   7117.33  8.0307787E-02
   7117.67  8.1629188E-02
   7118.00  8.4234468E-02
   7118.33  8.8208830E-02
   7118.67  9.3048561E-02
   7119.00  9.8180152E-02
   7119.33  1.0304391E-01
   7119.67  1.0762612E-01
   7120.00  1.1210769E-01
   7120.33  1.1660919E-01
   7120.67  1.2092905E-01
   7121.00  1.2487483E-01
   7121.33  1.2867826E-01
   7121.67  1.3292161E-01
   7122.00  1.3800124E-01
   7122.33  1.4429008E-01
   7122.67  1.5171025E-01
   7123.00  1.6027391E-01
   7123.33  1.7017768E-01
   7123.67  1.8130831E-01
   7124.00  1.9365158E-01
   7124.33  2.0728145E-01
   7124.67  2.2189399E-01
   7125.00  2.3719623E-01
   7125.33  2.5254644E-01
   7125.67  2.6693657E-01
   7126.00  2.7940959E-01
   7126.33  2.8892636E-01
   7126.67  2.9598728E-01
   7127.00  3.0138455E-01
   7127.33  3.0623224E-01
