    FDMNES
    energy     <xanes>
   7097.00  4.6968378E-03
   7097.33  4.7973803E-03
   7097.67  4.9020039E-03
   7098.00  5.0109596E-03
   7098.33  5.1251501E-03
   7098.67  5.2443487E-03
   7099.00  5.3688908E-03
   7099.33  5.4999309E-03
   7099.67  5.6372298E-03
   7100.00  5.7812476E-03
   7100.33  5.9334980E-03
   7100.67  6.0937425E-03
   7101.00  6.2626325E-03
   7101.33  6.4422134E-03
   7101.67  6.6322787E-03
   7102.00  6.8337856E-03
   7102.33  7.0496026E-03
   7102.67  7.2796257E-03
   7103.00  7.5253282E-03
   7103.33  7.7909218E-03
   7103.67  8.0765703E-03
   7104.00  8.3846733E-03
   7104.33  8.7217879E-03
   7104.67  9.0887443E-03
   7105.00  9.4897463E-03
   7105.33  9.9358071E-03
   7105.67  1.0429470E-02
   7106.00  1.0978832E-02
   7106.33  1.1604373E-02
   7106.67  1.2313426E-02
   7107.00  1.3123732E-02
   7107.33  1.4079194E-02
   7107.67  1.5202636E-02
   7108.00  1.6540846E-02
   7108.33  1.8210015E-02
   7108.67  2.0296432E-02
   7109.00  2.2964517E-02
   7109.33  2.6645199E-02
   7109.67  3.1807038E-02
   7110.00  3.9365228E-02
   7110.33  5.1936128E-02
   7110.67  7.2363148E-02
   7111.00  1.0204488E-01
   7111.33  1.3660916E-01
   7111.67  1.6861397E-01
   7112.00  1.8765977E-01
   7112.33  1.9250019E-01
   7112.67  1.9320603E-01
   7113.00  1.9162684E-01
   7113.33  1.8954624E-01
   7113.67  1.7919772E-01
   7114.00  1.5907117E-01
   7114.33  1.3623038E-01
   7114.67  1.1695797E-01
   7115.00  1.0345463E-01
   7115.33  9.7106865E-02
   7115.67  9.7175175E-02
   7116.00  1.0430272E-01
   7116.33  1.2164722E-01
   7116.67  1.5063471E-01
   7117.00  1.8934583E-01
   7117.33  2.2090756E-01
   7117.67  2.3286779E-01
   7118.00  2.3206864E-01
   7118.33  2.2757823E-01
   7118.67  2.2650488E-01
   7119.00  2.3225797E-01
   7119.33  2.4541937E-01
   7119.67  2.6359081E-01
   7120.00  2.8551165E-01
   7120.33  3.0870123E-01
   7120.67  3.2971690E-01
   7121.00  3.4684066E-01
   7121.33  3.5915518E-01
   7121.67  3.6788307E-01
   7122.00  3.7353112E-01
   7122.33  3.7540503E-01
   7122.67  3.7400668E-01
   7123.00  3.7080290E-01
   7123.33  3.6883386E-01
   7123.67  3.7045013E-01
   7124.00  3.7659596E-01
   7124.33  3.8725942E-01
   7124.67  3.9980397E-01
   7125.00  4.1225110E-01
   7125.33  4.2403328E-01
   7125.67  4.3685505E-01
   7126.00  4.5240342E-01
   7126.33  4.7157033E-01
   7126.67  4.9246261E-01
   7127.00  5.1306897E-01
   7127.33  5.3137858E-01
   7127.67  5.4708799E-01
   7128.00  5.6033293E-01
   7128.33  5.7099344E-01
   7128.67  5.7915201E-01
   7129.00  5.8454312E-01
   7129.33  5.8709046E-01
   7129.67  5.8803662E-01
   7130.00  5.8831176E-01
   7130.33  5.8884496E-01
   7130.67  5.9026836E-01
   7131.00  5.9294977E-01
   7131.33  5.9726682E-01
   7131.67  6.0302029E-01
   7132.00  6.1004554E-01
   7132.33  6.1809403E-01
   7132.67  6.2660974E-01
   7133.00  6.3534934E-01
   7133.33  6.4431212E-01
   7133.67  6.5324695E-01
   7134.00  6.6135108E-01
   7134.33  6.6718074E-01
   7134.67  6.7039288E-01
   7135.00  6.7097658E-01
   7135.33  6.6879234E-01
   7135.67  6.6439111E-01
   7136.00  6.5810489E-01
   7136.33  6.5033632E-01
   7136.67  6.4192746E-01
   7137.00  6.3342353E-01
   7137.33  6.2531714E-01
   7137.67  6.1773787E-01
   7138.00  6.1063018E-01
   7138.33  6.0382202E-01
   7138.67  5.9706329E-01
   7139.00  5.9024534E-01
   7139.33  5.8333054E-01
   7139.67  5.7635233E-01
   7140.00  5.6935186E-01
   7140.33  5.6242941E-01
   7140.67  5.5572564E-01
   7141.00  5.4940050E-01
   7141.33  5.4370603E-01
   7141.67  5.3870859E-01
   7142.00  5.3447958E-01
   7142.33  5.3115756E-01
   7142.67  5.2864192E-01
   7143.00  5.2691051E-01
   7143.33  5.2600673E-01
   7143.67  5.2576456E-01
   7144.00  5.2609681E-01
   7144.33  5.2692492E-01
   7144.67  5.2802308E-01
   7145.00  5.2921611E-01
   7145.33  5.3026111E-01
   7145.67  5.3094638E-01
   7146.00  5.3109863E-01
   7146.33  5.3048804E-01
   7146.67  5.2913637E-01
   7147.00  5.2705401E-01
   7147.33  5.2423167E-01
   7147.67  5.2087347E-01
   7148.00  5.1710827E-01
   7148.33  5.1306713E-01
   7148.67  5.0894180E-01
   7149.00  5.0486439E-01
   7149.33  5.0100562E-01
   7149.67  4.9747894E-01
   7150.00  4.9439556E-01
   7150.33  4.9194671E-01
   7150.67  4.9017127E-01
   7151.00  4.8915101E-01
   7151.33  4.8906283E-01
   7151.67  4.8984015E-01
   7152.00  4.9147409E-01
   7152.33  4.9399240E-01
   7152.67  4.9715307E-01
   7153.00  5.0077388E-01
   7153.33  5.0460859E-01
   7153.67  5.0832696E-01
   7154.00  5.1166686E-01
   7154.33  5.1428465E-01
   7154.67  5.1608066E-01
   7155.00  5.1698872E-01
