    FDMNES
    energy     <xanes>
   7097.00  5.6640329E-03
   7097.33  5.8182735E-03
   7097.67  5.9804280E-03
   7098.00  6.1510804E-03
   7098.33  6.3321434E-03
   7098.67  6.5233069E-03
   7099.00  6.7253798E-03
   7099.33  6.9409127E-03
   7099.67  7.1696030E-03
   7100.00  7.4126002E-03
   7100.33  7.6733960E-03
   7100.67  7.9517426E-03
   7101.00  8.2493245E-03
   7101.33  8.5710696E-03
   7101.67  8.9168885E-03
   7102.00  9.2893394E-03
   7102.33  9.6956342E-03
   7102.67  1.0136066E-02
   7103.00  1.0614690E-02
   7103.33  1.1142533E-02
   7103.67  1.1720773E-02
   7104.00  1.2356179E-02
   7104.33  1.3066543E-02
   7104.67  1.3855110E-02
   7105.00  1.4733935E-02
   7105.33  1.5733735E-02
   7105.67  1.6862818E-02
   7106.00  1.8144504E-02
   7106.33  1.9636717E-02
   7106.67  2.1361245E-02
   7107.00  2.3368465E-02
   7107.33  2.5781526E-02
   7107.67  2.8663143E-02
   7108.00  3.2140493E-02
   7108.33  3.6525104E-02
   7108.67  4.2032321E-02
   7109.00  4.9069551E-02
   7109.33  5.8675537E-02
   7109.67  7.1863035E-02
   7110.00  9.0566178E-02
   7110.33  1.2015080E-01
   7110.67  1.6665539E-01
   7111.00  2.3688257E-01
   7111.33  3.4120714E-01
   7111.67  4.8678341E-01
   7112.00  6.6585463E-01
   7112.33  8.1527575E-01
   7112.67  8.7849605E-01
   7113.00  8.3727651E-01
   7113.33  6.9172594E-01
   7113.67  5.3551843E-01
   7114.00  4.1288112E-01
   7114.33  3.3011605E-01
   7114.67  2.7241648E-01
   7115.00  2.3231333E-01
   7115.33  2.0530604E-01
   7115.67  1.8639279E-01
   7116.00  1.7394790E-01
   7116.33  1.6745811E-01
   7116.67  1.6439874E-01
   7117.00  1.6182264E-01
   7117.33  1.5784551E-01
   7117.67  1.5466333E-01
   7118.00  1.5323916E-01
   7118.33  1.5299006E-01
   7118.67  1.5314347E-01
   7119.00  1.5286163E-01
   7119.33  1.4974865E-01
   7119.67  1.4255612E-01
   7120.00  1.3322507E-01
   7120.33  1.2653986E-01
   7120.67  1.2391105E-01
   7121.00  1.2463041E-01
   7121.33  1.2783355E-01
   7121.67  1.3242410E-01
   7122.00  1.3787539E-01
   7122.33  1.4426901E-01
