    FDMNES
    energy     <xanes>
   7097.00  5.4301196E-03
   7097.33  5.5707924E-03
   7097.67  5.7184034E-03
   7098.00  5.8734565E-03
   7098.33  6.0376157E-03
   7098.67  6.2106005E-03
   7099.00  6.3931101E-03
   7099.33  6.5873624E-03
   7099.67  6.7930868E-03
   7100.00  7.0112814E-03
   7100.33  7.2449872E-03
   7100.67  7.4939898E-03
   7101.00  7.7597628E-03
   7101.33  8.0466170E-03
   7101.67  8.3544964E-03
   7102.00  8.6856636E-03
   7102.33  9.0464801E-03
   7102.67  9.4372733E-03
   7103.00  9.8616864E-03
   7103.33  1.0329577E-02
   7103.67  1.0842172E-02
   7104.00  1.1405688E-02
   7104.33  1.2036356E-02
   7104.67  1.2737555E-02
   7105.00  1.3520696E-02
   7105.33  1.4414649E-02
   7105.67  1.5428253E-02
   7106.00  1.6584527E-02
   7106.33  1.7940316E-02
   7106.67  1.9519759E-02
   7107.00  2.1375586E-02
   7107.33  2.3636546E-02
   7107.67  2.6376737E-02
   7108.00  2.9741046E-02
   7108.33  3.4087565E-02
   7108.67  3.9697566E-02
   7109.00  4.7097780E-02
   7109.33  5.7669670E-02
   7109.67  7.2952916E-02
   7110.00  9.5944429E-02
   7110.33  1.3525969E-01
   7110.67  2.0071400E-01
   7111.00  2.9847524E-01
   7111.33  4.1143002E-01
   7111.67  5.0756815E-01
   7112.00  5.7307692E-01
   7112.33  5.8889431E-01
   7112.67  5.4632095E-01
   7113.00  4.5819279E-01
   7113.33  3.6285708E-01
   7113.67  2.8317581E-01
   7114.00  2.2076177E-01
   7114.33  1.7617301E-01
   7114.67  1.4537519E-01
   7115.00  1.2482192E-01
   7115.33  1.1145450E-01
   7115.67  1.0161112E-01
   7116.00  9.4311857E-02
   7116.33  9.0018377E-02
   7116.67  8.8312276E-02
   7117.00  8.8927850E-02
   7117.33  9.1854291E-02
   7117.67  9.6654998E-02
   7118.00  1.0330310E-01
   7118.33  1.1220141E-01
   7118.67  1.2324715E-01
   7119.00  1.3645312E-01
   7119.33  1.5198957E-01
   7119.67  1.6812796E-01
   7120.00  1.8156494E-01
   7120.33  1.8846154E-01
   7120.67  1.9123123E-01
   7121.00  1.9398591E-01
   7121.33  2.0137049E-01
   7121.67  2.1526850E-01
   7122.00  2.3686250E-01
   7122.33  2.6813271E-01
   7122.67  3.0822418E-01
   7123.00  3.5638760E-01
   7123.33  4.1185329E-01
   7123.67  4.7236984E-01
   7124.00  5.3624257E-01
   7124.33  5.9864025E-01
   7124.67  6.5237038E-01
   7125.00  6.9221016E-01
   7125.33  7.1554436E-01
   7125.67  7.2887431E-01
   7126.00  7.3739872E-01
   7126.33  7.4440954E-01
