    FDMNES
    energy     <xanes>
   7097.00  4.4513742E-03
   7097.33  4.5475108E-03
   7097.67  4.6475495E-03
   7098.00  4.7517318E-03
   7098.33  4.8609234E-03
   7098.67  4.9749104E-03
   7099.00  5.0940166E-03
   7099.33  5.2193525E-03
   7099.67  5.3506937E-03
   7100.00  5.4884869E-03
   7100.33  5.6341936E-03
   7100.67  5.7875936E-03
   7101.00  5.9493225E-03
   7101.33  6.1213654E-03
   7101.67  6.3035384E-03
   7102.00  6.4967822E-03
   7102.33  6.7038973E-03
   7102.67  6.9248102E-03
   7103.00  7.1609791E-03
   7103.33  7.4165458E-03
   7103.67  7.6917169E-03
   7104.00  7.9888858E-03
   7104.33  8.3145512E-03
   7104.67  8.6696085E-03
   7105.00  9.0582776E-03
   7105.33  9.4915548E-03
   7105.67  9.9720842E-03
   7106.00  1.0508020E-02
   7106.33  1.1119903E-02
   7106.67  1.1815179E-02
   7107.00  1.2611645E-02
   7107.33  1.3553157E-02
   7107.67  1.4662228E-02
   7108.00  1.5984832E-02
   7108.33  1.7634277E-02
   7108.67  1.9691238E-02
   7109.00  2.2308365E-02
   7109.33  2.5877519E-02
   7109.67  3.0792799E-02
   7110.00  3.7808395E-02
   7110.33  4.9051378E-02
   7110.67  6.7208837E-02
   7111.00  9.6311524E-02
   7111.33  1.4336977E-01
   7111.67  2.0355994E-01
   7112.00  2.5437630E-01
   7112.33  2.5431269E-01
   7112.67  2.1329964E-01
   7113.00  1.6677437E-01
   7113.33  1.3637243E-01
   7113.67  1.2011572E-01
   7114.00  1.1352206E-01
   7114.33  1.0678524E-01
   7114.67  9.5900561E-02
   7115.00  8.6193139E-02
   7115.33  8.0796036E-02
   7115.67  7.8451188E-02
   7116.00  7.8343732E-02
   7116.33  8.0124202E-02
   7116.67  8.3337854E-02
   7117.00  8.7933293E-02
   7117.33  9.4141617E-02
   7117.67  1.0191757E-01
   7118.00  1.1142963E-01
   7118.33  1.2318204E-01
   7118.67  1.3724087E-01
   7119.00  1.5391722E-01
   7119.33  1.7397025E-01
   7119.67  1.9734712E-01
   7120.00  2.2413107E-01
   7120.33  2.5425833E-01
   7120.67  2.8604255E-01
   7121.00  3.1787498E-01
   7121.33  3.4879207E-01
   7121.67  3.8021028E-01
   7122.00  4.1294570E-01
   7122.33  4.4516037E-01
