    FDMNES
    energy     <xanes>
   7097.00  4.4094184E-03
   7097.33  4.5041159E-03
   7097.67  4.6027939E-03
   7098.00  4.7057131E-03
   7098.33  4.8137808E-03
   7098.67  4.9267986E-03
   7099.00  5.0451218E-03
   7099.33  5.1699328E-03
   7099.67  5.3010302E-03
   7100.00  5.4389127E-03
   7100.33  5.5851649E-03
   7100.67  5.7396025E-03
   7101.00  5.9029498E-03
   7101.33  6.0774035E-03
   7101.67  6.2628415E-03
   7102.00  6.4603589E-03
   7102.33  6.6731277E-03
   7102.67  6.9011889E-03
   7103.00  7.1462809E-03
   7103.33  7.4132186E-03
   7103.67  7.7024394E-03
   7104.00  8.0168714E-03
   7104.33  8.3642947E-03
   7104.67  8.7461096E-03
   7105.00  9.1676310E-03
   7105.33  9.6424707E-03
   7105.67  1.0174494E-02
   7106.00  1.0774325E-02
   7106.33  1.1468406E-02
   7106.67  1.2267544E-02
   7107.00  1.3195931E-02
   7107.33  1.4312887E-02
   7107.67  1.5652003E-02
   7108.00  1.7279609E-02
   7108.33  1.9360071E-02
   7108.67  2.2022179E-02
   7109.00  2.5508120E-02
   7109.33  3.0455000E-02
   7109.67  3.7577590E-02
   7110.00  4.8271862E-02
   7110.33  6.6562182E-02
   7110.67  9.6991530E-02
   7111.00  1.4189964E-01
   7111.33  1.9002811E-01
   7111.67  2.2612104E-01
   7112.00  2.4862077E-01
   7112.33  2.5747450E-01
   7112.67  2.5527317E-01
   7113.00  2.3011795E-01
   7113.33  1.8839927E-01
   7113.67  1.5243133E-01
   7114.00  1.2638923E-01
   7114.33  1.0741587E-01
   7114.67  9.1166877E-02
   7115.00  7.8809505E-02
   7115.33  7.1411351E-02
   7115.67  6.6453302E-02
   7116.00  6.2876001E-02
   7116.33  6.1008308E-02
   7116.67  6.0772588E-02
   7117.00  6.1898717E-02
   7117.33  6.4035382E-02
   7117.67  6.6781132E-02
   7118.00  7.0211571E-02
   7118.33  7.4690110E-02
   7118.67  8.0308196E-02
