    FDMNES
    energy     <xanes>
   7097.00  4.1976546E-03
   7097.33  4.2875273E-03
   7097.67  4.3811648E-03
   7098.00  4.4788107E-03
   7098.33  4.5813177E-03
   7098.67  4.6884934E-03
   7099.00  4.8006675E-03
   7099.33  4.9189453E-03
   7099.67  5.0431280E-03
   7100.00  5.1736744E-03
   7100.33  5.3120551E-03
   7100.67  5.4580808E-03
   7101.00  5.6124106E-03
   7101.33  5.7770638E-03
   7101.67  5.9518965E-03
   7102.00  6.1378918E-03
   7102.33  6.3379300E-03
   7102.67  6.5519929E-03
   7103.00  6.7816163E-03
   7103.33  7.0311050E-03
   7103.67  7.3007516E-03
   7104.00  7.5930955E-03
   7104.33  7.9149613E-03
   7104.67  8.2674012E-03
   7105.00  8.6549292E-03
   7105.33  9.0892242E-03
   7105.67  9.5732825E-03
   7106.00  1.0115935E-02
   7106.33  1.0739338E-02
   7106.67  1.1451969E-02
   7107.00  1.2273562E-02
   7107.33  1.3252792E-02
   7107.67  1.4416305E-02
   7108.00  1.5817776E-02
   7108.33  1.7591000E-02
   7108.67  1.9840865E-02
   7109.00  2.2767078E-02
   7109.33  2.6901890E-02
   7109.67  3.2862892E-02
   7110.00  4.1871113E-02
   7110.33  5.7420907E-02
   7110.67  8.2625501E-02
   7111.00  1.1536339E-01
   7111.33  1.3979662E-01
   7111.67  1.4805384E-01
   7112.00  1.4901825E-01
   7112.33  1.5967984E-01
   7112.67  1.8209229E-01
   7113.00  2.0868012E-01
   7113.33  2.3050881E-01
   7113.67  2.4470015E-01
   7114.00  2.5487804E-01
   7114.33  2.7228569E-01
   7114.67  2.8406982E-01
   7115.00  2.6008410E-01
   7115.33  2.0980414E-01
   7115.67  1.6610585E-01
   7116.00  1.3427026E-01
   7116.33  1.1118575E-01
   7116.67  9.3265189E-02
   7117.00  8.0563690E-02
   7117.33  7.2465383E-02
   7117.67  6.7134438E-02
   7118.00  6.4116184E-02
   7118.33  6.3213163E-02
   7118.67  6.3723594E-02
   7119.00  6.5350952E-02
   7119.33  6.8048116E-02
   7119.67  7.1726073E-02
   7120.00  7.6480222E-02
   7120.33  8.2517551E-02
   7120.67  8.9728445E-02
   7121.00  9.8223199E-02
   7121.33  1.0843683E-01
   7121.67  1.2038108E-01
   7122.00  1.3407958E-01
   7122.33  1.4958069E-01
   7122.67  1.6639571E-01
   7123.00  1.8415220E-01
   7123.33  2.0238057E-01
   7123.67  2.2070524E-01
   7124.00  2.3918695E-01
   7124.33  2.5826893E-01
   7124.67  2.7831976E-01
   7125.00  2.9946049E-01
   7125.33  3.2099359E-01
   7125.67  3.4105713E-01
   7126.00  3.5861149E-01
   7126.33  3.7379472E-01
   7126.67  3.8669885E-01
   7127.00  3.9694355E-01
   7127.33  4.0548644E-01
   7127.67  4.1461255E-01
   7128.00  4.2547587E-01
