    FDMNES
    energy     <xanes>
   7097.00  4.4025688E-03
   7097.33  4.4969126E-03
   7097.67  4.5952128E-03
   7098.00  4.6977277E-03
   7098.33  4.8053580E-03
   7098.67  4.9179058E-03
   7099.00  5.0357231E-03
   7099.33  5.1599827E-03
   7099.67  5.2904832E-03
   7100.00  5.4277185E-03
   7100.33  5.5732591E-03
   7100.67  5.7269200E-03
   7101.00  5.8894175E-03
   7101.33  6.0629268E-03
   7101.67  6.2473234E-03
   7102.00  6.4436891E-03
   7102.33  6.6551612E-03
   7102.67  6.8817747E-03
   7103.00  7.1252444E-03
   7103.33  7.3903264E-03
   7103.67  7.6774428E-03
   7104.00  7.9894783E-03
   7104.33  8.3341049E-03
   7104.67  8.7126866E-03
   7105.00  9.1304501E-03
   7105.33  9.6007928E-03
   7105.67  1.0127487E-02
   7106.00  1.0720960E-02
   7106.33  1.1407181E-02
   7106.67  1.2196698E-02
   7107.00  1.3113205E-02
   7107.33  1.4214820E-02
   7107.67  1.5534316E-02
   7108.00  1.7136531E-02
   7108.33  1.9182156E-02
   7108.67  2.1796868E-02
   7109.00  2.5217242E-02
   7109.33  3.0065997E-02
   7109.67  3.7042451E-02
   7110.00  4.7513016E-02
   7110.33  6.5401823E-02
   7110.67  9.4953555E-02
   7111.00  1.3772310E-01
   7111.33  1.8325455E-01
   7111.67  2.1941041E-01
   7112.00  2.4330712E-01
   7112.33  2.5352518E-01
   7112.67  2.5697541E-01
   7113.00  2.4019697E-01
   7113.33  1.9894859E-01
   7113.67  1.5795052E-01
   7114.00  1.2823459E-01
   7114.33  1.0815527E-01
   7114.67  9.1280677E-02
   7115.00  7.8711825E-02
   7115.33  7.1356331E-02
   7115.67  6.6504291E-02
   7116.00  6.3052387E-02
   7116.33  6.1292260E-02
   7116.67  6.1153155E-02
   7117.00  6.2394439E-02
   7117.33  6.4670250E-02
   7117.67  6.7419329E-02
   7118.00  7.0562138E-02
   7118.33  7.4518803E-02
   7118.67  7.9638793E-02
   7119.00  8.6225970E-02
   7119.33  9.4779681E-02
   7119.67  1.0531389E-01
   7120.00  1.1800299E-01
   7120.33  1.3330375E-01
   7120.67  1.5102036E-01
   7121.00  1.7115220E-01
   7121.33  1.9387311E-01
   7121.67  2.1862226E-01
   7122.00  2.4496751E-01
   7122.33  2.7215389E-01
   7122.67  2.9895129E-01
   7123.00  3.2440466E-01
   7123.33  3.4728603E-01
   7123.67  3.6716695E-01
   7124.00  3.8403854E-01
   7124.33  3.9847395E-01
   7124.67  4.1142581E-01
   7125.00  4.2257604E-01
   7125.33  4.3076911E-01
   7125.67  4.3627612E-01
   7126.00  4.3983803E-01
   7126.33  4.4248206E-01
   7126.67  4.4519919E-01
   7127.00  4.4832849E-01
   7127.33  4.5191958E-01
   7127.67  4.5594918E-01
   7128.00  4.6066178E-01
   7128.33  4.6642958E-01
   7128.67  4.7294112E-01
   7129.00  4.7971350E-01
   7129.33  4.8621891E-01
   7129.67  4.9234885E-01
   7130.00  4.9829242E-01
   7130.33  5.0459150E-01
   7130.67  5.1191361E-01
   7131.00  5.2097249E-01
   7131.33  5.3305423E-01
   7131.67  5.4885463E-01
   7132.00  5.6915886E-01
   7132.33  5.9500468E-01
   7132.67  6.2523035E-01
   7133.00  6.5840030E-01
   7133.33  6.9205517E-01
   7133.67  7.2368065E-01
   7134.00  7.5194583E-01
   7134.33  7.7541993E-01
   7134.67  7.9372529E-01
   7135.00  8.0623371E-01
   7135.33  8.1203867E-01
   7135.67  8.1229467E-01
   7136.00  8.0772595E-01
   7136.33  7.9903658E-01
   7136.67  7.8796018E-01
   7137.00  7.7548107E-01
