    FDMNES
    energy     <xanes>
   7097.00  5.0376957E-03
   7097.33  5.1521443E-03
   7097.67  5.2715436E-03
   7098.00  5.3962134E-03
   7098.33  5.5272741E-03
   7098.67  5.6644706E-03
   7099.00  5.8082335E-03
   7099.33  5.9600097E-03
   7099.67  6.1195318E-03
   7100.00  6.2873943E-03
   7100.33  6.4655124E-03
   7100.67  6.6536238E-03
   7101.00  6.8525742E-03
   7101.33  7.0649736E-03
   7101.67  7.2906049E-03
   7102.00  7.5307148E-03
   7102.33  7.7889876E-03
   7102.67  8.0653415E-03
   7103.00  8.3616950E-03
   7103.33  8.6834790E-03
   7103.67  9.0309523E-03
   7104.00  9.4072278E-03
   7104.33  9.8207582E-03
   7104.67  1.0272632E-02
   7105.00  1.0768249E-02
   7105.33  1.1321720E-02
   7105.67  1.1936214E-02
   7106.00  1.2621958E-02
   7106.33  1.3404803E-02
   7106.67  1.4293577E-02
   7107.00  1.5310089E-02
   7107.33  1.6508271E-02
   7107.67  1.7914584E-02
   7108.00  1.9584230E-02
   7108.33  2.1653689E-02
   7108.67  2.4218199E-02
   7109.00  2.7460411E-02
   7109.33  3.1853268E-02
   7109.67  3.7881322E-02
   7110.00  4.6483905E-02
   7110.33  6.0280994E-02
   7110.67  8.1821247E-02
   7111.00  1.1207118E-01
   7111.33  1.5212318E-01
   7111.67  2.0594170E-01
   7112.00  2.6632110E-01
   7112.33  3.0440686E-01
   7112.67  3.1265744E-01
   7113.00  3.0287566E-01
   7113.33  2.6039990E-01
   7113.67  2.1018235E-01
   7114.00  1.7523261E-01
   7114.33  1.6036667E-01
   7114.67  1.6025625E-01
   7115.00  1.7424186E-01
   7115.33  2.0647773E-01
   7115.67  2.5757814E-01
   7116.00  3.2303334E-01
   7116.33  3.7904417E-01
   7116.67  4.0967627E-01
   7117.00  4.2177618E-01
   7117.33  4.0951598E-01
   7117.67  3.6963093E-01
   7118.00  3.1735894E-01
   7118.33  2.7319863E-01
   7118.67  2.4177216E-01
   7119.00  2.2044509E-01
   7119.33  2.0482718E-01
   7119.67  1.9192951E-01
   7120.00  1.8207244E-01
   7120.33  1.7599331E-01
   7120.67  1.7301153E-01
   7121.00  1.7283824E-01
   7121.33  1.7565811E-01
   7121.67  1.8144002E-01
   7122.00  1.9075290E-01
   7122.33  2.0459899E-01
   7122.67  2.2195926E-01
   7123.00  2.4126267E-01
   7123.33  2.5994609E-01
   7123.67  2.7599265E-01
   7124.00  2.8865188E-01
   7124.33  2.9797982E-01
   7124.67  3.0528364E-01
   7125.00  3.1125206E-01
   7125.33  3.1693700E-01
   7125.67  3.2388982E-01
   7126.00  3.3330751E-01
   7126.33  3.4612099E-01
   7126.67  3.6121491E-01
   7127.00  3.7739846E-01
   7127.33  3.9401819E-01
   7127.67  4.1142374E-01
   7128.00  4.3031540E-01
   7128.33  4.5175883E-01
   7128.67  4.7593450E-01
   7129.00  5.0275978E-01
   7129.33  5.3180619E-01
   7129.67  5.6176199E-01
   7130.00  5.9149990E-01
   7130.33  6.1924581E-01
   7130.67  6.4353211E-01
   7131.00  6.6303653E-01
   7131.33  6.7596131E-01
   7131.67  6.8285091E-01
   7132.00  6.8447586E-01
   7132.33  6.8227551E-01
   7132.67  6.7916748E-01
   7133.00  6.7742518E-01
   7133.33  6.8001782E-01
   7133.67  6.8863053E-01
   7134.00  7.0448320E-01
   7134.33  7.2767588E-01
   7134.67  7.5323918E-01
   7135.00  7.7568196E-01
   7135.33  7.8851349E-01
   7135.67  7.9102370E-01
   7136.00  7.8441456E-01
   7136.33  7.7048333E-01
   7136.67  7.5242659E-01
   7137.00  7.3174918E-01
   7137.33  7.0961797E-01
   7137.67  6.8730066E-01
   7138.00  6.6558476E-01
   7138.33  6.4518634E-01
   7138.67  6.2610129E-01
   7139.00  6.0832226E-01
   7139.33  5.9216758E-01
   7139.67  5.7788370E-01
   7140.00  5.6603744E-01
