    FDMNES
    energy     <xanes>
   7097.00  4.8886810E-03
   7097.33  5.0022597E-03
   7097.67  5.1209276E-03
   7098.00  5.2450277E-03
   7098.33  5.3757355E-03
   7098.67  5.5128086E-03
   7099.00  5.6567145E-03
   7099.33  5.8089899E-03
   7099.67  5.9693874E-03
   7100.00  6.1385614E-03
   7100.33  6.3185747E-03
   7100.67  6.5091988E-03
   7101.00  6.7113801E-03
   7101.33  6.9279754E-03
   7101.67  7.1588298E-03
   7102.00  7.4053643E-03
   7102.33  7.6716892E-03
   7102.67  7.9578439E-03
   7103.00  8.2660620E-03
   7103.33  8.6025405E-03
   7103.67  8.9677900E-03
   7104.00  9.3655263E-03
   7104.33  9.8056553E-03
   7104.67  1.0289829E-02
   7105.00  1.0824687E-02
   7105.33  1.1427306E-02
   7105.67  1.2102235E-02
   7106.00  1.2862503E-02
   7106.33  1.3740657E-02
   7106.67  1.4749324E-02
   7107.00  1.5917546E-02
   7107.33  1.7316702E-02
   7107.67  1.8985606E-02
   7108.00  2.1002093E-02
   7108.33  2.3559017E-02
   7108.67  2.6803270E-02
   7109.00  3.1012784E-02
   7109.33  3.6917237E-02
   7109.67  4.5322345E-02
   7110.00  5.7801120E-02
   7110.33  7.8835318E-02
   7110.67  1.1301731E-01
   7111.00  1.6129706E-01
   7111.33  2.1503998E-01
   7111.67  2.7258101E-01
   7112.00  3.2157842E-01
   7112.33  3.2560080E-01
   7112.67  3.0190137E-01
   7113.00  2.7461460E-01
   7113.33  2.4105227E-01
   7113.67  2.0435939E-01
   7114.00  1.7842749E-01
   7114.33  1.7160121E-01
   7114.67  1.8118465E-01
   7115.00  2.0609381E-01
   7115.33  2.4186682E-01
   7115.67  2.7234714E-01
   7116.00  2.8764471E-01
   7116.33  2.9202584E-01
   7116.67  2.9253764E-01
   7117.00  2.8674455E-01
   7117.33  2.7218893E-01
   7117.67  2.5329602E-01
   7118.00  2.3384067E-01
   7118.33  2.1603938E-01
   7118.67  1.9971065E-01
   7119.00  1.8467964E-01
   7119.33  1.7129449E-01
